主成分,順位,特徴,負荷量,絶対負荷量
PC4,16,場合別2_体育的部活動,0.07098974287509918,0.07098974287509918
PC4,17,場合別2_下校（降園）中,0.06406494230031967,0.06406494230031967
PC4,18,発生場所2_教室（保育室）,-0.06278938055038452,0.06278938055038452
PC4,19,場合別2_昼食時休憩時間中,-0.057014018297195435,0.057014018297195435
PC4,20,通学方法_徒歩,0.05554686114192009,0.05554686114192009
PC5,1,発生場所1_学校外（園外）,0.32552456855773926,0.32552456855773926
PC5,2,被災学校種_中,-0.3039325773715973,0.3039325773715973
PC5,3,場合別1_各教科等,0.2904399633407593,0.2904399633407593
PC5,4,被災学校種_高,0.2672303318977356,0.2672303318977356
PC5,5,発生場所1_学校内・校舎内（園内・園舎内）,-0.26278647780418396,0.26278647780418396
PC5,6,場合別1_休憩時間,-0.26120424270629883,0.26120424270629883
PC5,7,場合別1_課外指導,-0.2506892681121826,0.2506892681121826
PC5,8,場合別2_体育（保健体育）,0.24321617186069489,0.24321617186069489
PC5,9,場合別2_体育的部活動,-0.24297800660133362,0.24297800660133362
