単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
付け,7,7,0.1148,1823
丸太,7,6,0.0984,1824
並べる,7,6,0.0984,1825
かぶさる,7,7,0.1148,1826
散歩,7,7,0.1148,1827
傷口,7,7,0.1148,1828
アスレチック,7,7,0.1148,1829
真ん中,7,7,0.1148,1830
閉じ込める,7,6,0.0984,1831
へる,7,7,0.1148,1832
犬,7,5,0.082,1833
ぐらつく,7,7,0.1148,1834
ひっくり返る,7,7,0.1148,1835
乗り上げる,7,7,0.1148,1836
よい,7,7,0.1148,1837
ままごと,7,6,0.0984,1838
本棚,7,7,0.1148,1839
バケツ,7,6,0.0984,1840
引きずる,7,7,0.1148,1841
二塁,7,7,0.1148,1842
美術,7,7,0.1148,1843
負荷,7,7,0.1148,1844
おく,7,7,0.1148,1845
平均,7,6,0.0984,1846
自習,7,7,0.1148,1847
あまる,7,7,0.1148,1848
ステンレス,7,7,0.1148,1849
ピン,7,6,0.0984,1850
促す,7,7,0.1148,1851
追い抜く,7,7,0.1148,1852
旋盤,7,5,0.082,1853
交差点,7,7,0.1148,1854
一時,7,7,0.1148,1855
狭い,7,7,0.1148,1856
中断,7,7,0.1148,1857
下り,7,7,0.1148,1858
ダンクシュート,7,7,0.1148,1859
大学,7,7,0.1148,1860
野外,7,7,0.1148,1861
裾,7,7,0.1148,1862
池,7,5,0.082,1863
横向き,7,6,0.0984,1864
植え込み,7,7,0.1148,1865
鉄板,7,6,0.0984,1866
双方,7,6,0.0984,1867
跳ね上がる,7,7,0.1148,1868
漕ぐ,7,5,0.082,1869
職場,7,7,0.1148,1870
課外,7,7,0.1148,1871
運転,7,7,0.1148,1872
ケンカ,7,5,0.082,1873
返却,7,7,0.1148,1874
顎骨,7,7,0.1148,1875
落書き,7,5,0.082,1876
馬,7,6,0.0984,1877
揚げ,7,7,0.1148,1878
社会,7,7,0.1148,1879
自身,7,7,0.1148,1880
針,7,4,0.0656,1881
垂直,7,7,0.1148,1882
普段,7,7,0.1148,1883
ホッケー,7,7,0.1148,1884
消す,7,7,0.1148,1885
はずす,7,7,0.1148,1886
同様,7,7,0.1148,1887
十分,7,7,0.1148,1888
フリスビー,7,5,0.082,1889
相手方,7,6,0.0984,1890
認める,7,7,0.1148,1891
下半身,7,6,0.0984,1892
大量,7,7,0.1148,1893
蒸発,7,2,0.0328,1894
興奮,7,7,0.1148,1895
ねじ,7,6,0.0984,1896
引っぱる,7,6,0.0984,1897
擦過,7,7,0.1148,1898
器械体操,7,7,0.1148,1899
対向,7,6,0.0984,1900
訓練,7,6,0.0984,1901
避難,7,6,0.0984,1902
阻止,7,7,0.1148,1903
すね,7,6,0.0984,1904
シャワー,7,7,0.1148,1905
用水路,7,5,0.082,1906
抵抗,7,7,0.1148,1907
パネル,7,4,0.0656,1908
差,7,7,0.1148,1909
熱中,7,5,0.082,1910
症候群,7,7,0.1148,1911
争い,7,7,0.1148,1912
算数,7,7,0.1148,1913
電話,7,5,0.082,1914
レーン,7,5,0.082,1915
顆骨折,7,7,0.1148,1916
顆上骨,7,7,0.1148,1917
打撲傷,7,7,0.1148,1918
脛骨,7,7,0.1148,1919
疲れる,7,7,0.1148,1920
補強,7,7,0.1148,1921
ベット,7,3,0.0492,1922
壊れる,7,6,0.0984,1923
間隔,7,6,0.0984,1924
本塁,7,7,0.1148,1925
殴打,7,7,0.1148,1926
竹とんぼ,7,4,0.0656,1927
ノート,7,7,0.1148,1928
前衛,7,6,0.0984,1929
後衛,7,7,0.1148,1930
三塁手,7,6,0.0984,1931
含める,7,7,0.1148,1932
改善,7,7,0.1148,1933
報告,7,7,0.1148,1934
時点,7,7,0.1148,1935
スクラム,7,6,0.0984,1936
取り組む,7,6,0.0984,1937
呼び掛ける,7,7,0.1148,1938
治まる,7,7,0.1148,1939
セーフティー,7,6,0.0984,1940
腹筋,7,6,0.0984,1941
顔色,7,7,0.1148,1942
詰まる,7,6,0.0984,1943
気道,7,7,0.1148,1944
蒼白,7,7,0.1148,1945
裁断,7,4,0.0656,1946
心拍,7,6,0.0984,1947
軟骨,7,3,0.0492,1948
歯車,7,2,0.0328,1949
栓,6,3,0.0492,1950
悪口,6,6,0.0984,1951
先生,6,6,0.0984,1952
ピッチング,6,6,0.0984,1953
親子,6,5,0.082,1954
よじ登る,6,6,0.0984,1955
感じ,6,6,0.0984,1956
上段,6,6,0.0984,1957
まとめる,6,6,0.0984,1958
ピラミッド,6,6,0.0984,1959
広い,6,6,0.0984,1960
期間,6,6,0.0984,1961
一つ,6,6,0.0984,1962
コントロール,6,6,0.0984,1963
大丈夫,6,6,0.0984,1964
保持,6,6,0.0984,1965
延長,6,6,0.0984,1966
合わせる,6,6,0.0984,1967
牛乳,6,4,0.0656,1968
集中,6,6,0.0984,1969
ホテル,6,6,0.0984,1970
業,6,6,0.0984,1971
務める,6,6,0.0984,1972
バイク,6,4,0.0656,1973
草むら,6,5,0.082,1974
すりむく,6,6,0.0984,1975
囲む,6,5,0.082,1976
雑談,6,6,0.0984,1977
kg,6,6,0.0984,1978
たれる,6,6,0.0984,1979
根元,6,6,0.0984,1980
投てき,6,5,0.082,1981
飛びつく,6,6,0.0984,1982
膝下,6,6,0.0984,1983
コップ,6,3,0.0492,1984
またがる,6,6,0.0984,1985
口元,6,6,0.0984,1986
南側,6,6,0.0984,1987
一方,6,6,0.0984,1988
空振り,6,6,0.0984,1989
補綴,6,6,0.0984,1990
砂糖,6,5,0.082,1991
多数,6,6,0.0984,1992
デッキ,6,4,0.0656,1993
ブラシ,6,3,0.0492,1994
一斉,6,5,0.082,1995
広範囲,6,6,0.0984,1996
不意,6,6,0.0984,1997
葉,6,5,0.082,1998
バラ,6,6,0.0984,1999
スクールバス,6,5,0.082,2000
ガス,6,5,0.082,2001
遠く,6,6,0.0984,2002
やすい,6,6,0.0984,2003
ノブ,6,6,0.0984,2004
地区,6,6,0.0984,2005
緩める,6,6,0.0984,2006
かわす,6,6,0.0984,2007
空気,6,4,0.0656,2008
正門,6,6,0.0984,2009
居る,6,6,0.0984,2010
とり,6,6,0.0984,2011
片づける,6,6,0.0984,2012
ふち,6,6,0.0984,2013
手の甲,6,6,0.0984,2014
越し,6,6,0.0984,2015
割り,6,6,0.0984,2016
のける,6,6,0.0984,2017
南,6,5,0.082,2018
つけ根,6,6,0.0984,2019
橈骨,6,6,0.0984,2020
ダンス,6,6,0.0984,2021
寄宿舎,6,5,0.082,2022
歯磨き,6,6,0.0984,2023
まわす,6,5,0.082,2024
折り返す,6,4,0.0656,2025
ヵ所,6,4,0.0656,2026
炊飯,6,6,0.0984,2027
読書,6,6,0.0984,2028
突進,6,6,0.0984,2029
あわてる,6,6,0.0984,2030
回旋,6,6,0.0984,2031
塔,6,6,0.0984,2032
化学,6,5,0.082,2033
ボルト,6,6,0.0984,2034
追突,6,6,0.0984,2035
あご,6,6,0.0984,2036
絵本,6,5,0.082,2037
手伝う,6,6,0.0984,2038
貼る,6,6,0.0984,2039
相談,6,4,0.0656,2040
個室,6,4,0.0656,2041
開閉,6,6,0.0984,2042
エタノール,6,2,0.0328,2043
机上,6,6,0.0984,2044
立ち止まる,6,6,0.0984,2045
引き寄せる,6,6,0.0984,2046
連続,6,6,0.0984,2047
視界,6,5,0.082,2048
まね,6,6,0.0984,2049
血,6,6,0.0984,2050
ひく,6,6,0.0984,2051
㎝）,6,6,0.0984,2052
ガスコンロ,6,6,0.0984,2053
転び,6,6,0.0984,2054
撮る,6,5,0.082,2055
のせる,6,6,0.0984,2056
完全,6,6,0.0984,2057
折りたたみ,6,6,0.0984,2058
約束,6,6,0.0984,2059
部位,6,6,0.0984,2060
腱,6,6,0.0984,2061
通用,6,6,0.0984,2062
マス,6,5,0.082,2063
講習,6,6,0.0984,2064
皮,6,6,0.0984,2065
着替える,6,6,0.0984,2066
みそ,6,2,0.0328,2067
汁,6,4,0.0656,2068
土手,6,6,0.0984,2069
届く,6,6,0.0984,2070
手伝い,6,6,0.0984,2071
突起,6,6,0.0984,2072
ペダル,6,6,0.0984,2073
脱ぐ,6,6,0.0984,2074
ドリル,6,4,0.0656,2075
シューズ,6,5,0.082,2076
構える,6,6,0.0984,2077
重み,6,5,0.082,2078
図画,6,6,0.0984,2079
割,6,6,0.0984,2080
アイロン,6,3,0.0492,2081
留め,6,5,0.082,2082
傷つける,6,6,0.0984,2083
巻き,6,5,0.082,2084
おこなう,6,6,0.0984,2085
マスク,6,6,0.0984,2086
装置,6,5,0.082,2087
前面,6,6,0.0984,2088
行い,6,6,0.0984,2089
向こう,6,6,0.0984,2090
擦過傷,6,6,0.0984,2091
積む,6,5,0.082,2092
ボックス,6,5,0.082,2093
ヘッド,6,6,0.0984,2094
現れる,6,6,0.0984,2095
窓側,6,6,0.0984,2096
吹き抜け,6,6,0.0984,2097
突き刺さる,6,6,0.0984,2098
飾り,6,5,0.082,2099
整列,6,6,0.0984,2100
すくう,6,6,0.0984,2101
通り抜ける,6,6,0.0984,2102
押さえつける,6,6,0.0984,2103
色,6,6,0.0984,2104
挫滅創,6,6,0.0984,2105
込み,6,6,0.0984,2106
バンド,6,5,0.082,2107
複合,6,6,0.0984,2108
見つかる,6,6,0.0984,2109
歩ける,6,6,0.0984,2110
頭蓋骨,6,6,0.0984,2111
脚長,6,6,0.0984,2112
嗅覚,6,6,0.0984,2113
携帯,6,5,0.082,2114
仕切り,6,4,0.0656,2115
白玉,6,2,0.0328,2116
役割,6,5,0.082,2117
B,6,4,0.0656,2118
術後,6,6,0.0984,2119
セーフティ,6,6,0.0984,2120
橈骨遠,6,5,0.082,2121
ホワイト,6,3,0.0492,2122
学園,6,6,0.0984,2123
段違い,6,6,0.0984,2124
羽,6,4,0.0656,2125
プラスティック,6,4,0.0656,2126
ささい,6,6,0.0984,2127
処理,6,6,0.0984,2128
監督,6,6,0.0984,2129
照明,6,5,0.082,2130
飛び越す,6,6,0.0984,2131
異物,6,5,0.082,2132
遊撃手,6,4,0.0656,2133
グラブ,6,6,0.0984,2134
経つ,6,5,0.082,2135
ダンベル,6,4,0.0656,2136
ボレー,6,5,0.082,2137
牽制,6,5,0.082,2138
刀,6,5,0.082,2139
ひざ,6,6,0.0984,2140
光,6,5,0.082,2141
訴え,6,6,0.0984,2142
イレギュラーバウンド,6,6,0.0984,2143
脳震盪,6,6,0.0984,2144
ルーム,6,6,0.0984,2145
変性,6,6,0.0984,2146
回収,6,5,0.082,2147
休日,6,6,0.0984,2148
支え,6,6,0.0984,2149
事件,6,6,0.0984,2150
抱え込む,6,5,0.082,2151
防護,6,6,0.0984,2152
与える,6,6,0.0984,2153
化,6,4,0.0656,2154
盲,6,6,0.0984,2155
虹彩,6,6,0.0984,2156
脈絡,6,6,0.0984,2157
緑内障,6,6,0.0984,2158
傍ら,6,6,0.0984,2159
板材,6,4,0.0656,2160
上前,6,6,0.0984,2161
自発,6,6,0.0984,2162
困難,6,5,0.082,2163
大内,6,6,0.0984,2164
水面,6,6,0.0984,2165
環,6,5,0.082,2166
蝶番,6,6,0.0984,2167
扇風機,6,5,0.082,2168
はしご,6,4,0.0656,2169
陰部,6,6,0.0984,2170
椎,6,5,0.082,2171
玉,5,5,0.082,2172
オフェンス,5,5,0.082,2173
蛇口,5,5,0.082,2174
学生,5,3,0.0492,2175
はり,5,5,0.082,2176
翌朝,5,5,0.082,2177
もめる,5,5,0.082,2178
アーム,5,4,0.0656,2179
運び出す,5,5,0.082,2180
つぶれる,5,5,0.082,2181
進入,5,5,0.082,2182
コンビネーション,5,5,0.082,2183
集まる,5,5,0.082,2184
たてる,5,5,0.082,2185
済ませる,5,5,0.082,2186
夜間,5,5,0.082,2187
弓道,5,5,0.082,2188
個,5,5,0.082,2189
遅い,5,5,0.082,2190
はさまる,5,5,0.082,2191
泥,5,4,0.0656,2192
向う,5,5,0.082,2193
歩き,5,5,0.082,2194
腎,5,3,0.0492,2195
続行,5,5,0.082,2196
口腔,5,5,0.082,2197
看板,5,5,0.082,2198
手甲,5,5,0.082,2199
近づける,5,5,0.082,2200
ポート,5,5,0.082,2201
上口,5,5,0.082,2202
押し合い,5,5,0.082,2203
止まれる,5,5,0.082,2204
姿,5,5,0.082,2205
ごみ,5,5,0.082,2206
話し合い,5,5,0.082,2207
揚げる,5,5,0.082,2208
岩,5,4,0.0656,2209
土,5,4,0.0656,2210
花,5,5,0.082,2211
金網,5,4,0.0656,2212
国語,5,5,0.082,2213
申し出る,5,4,0.0656,2214
遅刻,5,4,0.0656,2215
壁面,5,4,0.0656,2216
ダンボール,5,4,0.0656,2217
つき,5,4,0.0656,2218
東,5,1,0.0164,2219
制,5,5,0.082,2220
レバー,5,5,0.082,2221
伸びる,5,5,0.082,2222
茹でる,5,4,0.0656,2223
写真,5,5,0.082,2224
鉄柱,5,4,0.0656,2225
下足,5,5,0.082,2226
からまる,5,5,0.082,2227
わき,5,5,0.082,2228
境,5,5,0.082,2229
きっかけ,5,5,0.082,2230
踏みつける,5,5,0.082,2231
ナイフ,5,4,0.0656,2232
吊る,5,5,0.082,2233
曲がり角,5,5,0.082,2234
家庭科,5,5,0.082,2235
つっこむ,5,5,0.082,2236
靱帯,5,4,0.0656,2237
エッジ,5,5,0.082,2238
海,5,5,0.082,2239
波,5,5,0.082,2240
うさぎ,5,3,0.0492,2241
転換,5,5,0.082,2242
後ずさる,5,5,0.082,2243
燃え移る,5,4,0.0656,2244
手のひら,5,5,0.082,2245
走り抜ける,5,5,0.082,2246
防具,5,5,0.082,2247
いたずら,5,5,0.082,2248
管,5,3,0.0492,2249
投入,5,4,0.0656,2250
歌,5,5,0.082,2251
下車,5,5,0.082,2252
かえる,5,5,0.082,2253
気持ち,5,5,0.082,2254
ガーゼ,5,5,0.082,2255
太鼓,5,2,0.0328,2256
飛び乗る,5,5,0.082,2257
田んぼ,5,4,0.0656,2258
着,5,5,0.082,2259
打ち上げる,5,5,0.082,2260
飯ごう,5,5,0.082,2261
カミソリ,5,2,0.0328,2262
覗く,5,5,0.082,2263
勘違い,5,5,0.082,2264
前かがみ,5,5,0.082,2265
左折,5,5,0.082,2266
北側,5,5,0.082,2267
枚,5,4,0.0656,2268
寄りかかる,5,5,0.082,2269
水槽,5,3,0.0492,2270
踏み切り,5,4,0.0656,2271
必要,5,5,0.082,2272
戸外,5,5,0.082,2273
捕まる,5,5,0.082,2274
接種,5,3,0.0492,2275
お玉,5,3,0.0492,2276
むく,5,5,0.082,2277
動き出す,5,5,0.082,2278
絡む,5,5,0.082,2279
危険,5,5,0.082,2280
見せる,5,5,0.082,2281
上方,5,5,0.082,2282
凍る,5,5,0.082,2283
新聞紙,5,4,0.0656,2284
つくる,5,5,0.082,2285
抱きつく,5,5,0.082,2286
知らせる,5,5,0.082,2287
ハウス,5,4,0.0656,2288
カバン,5,4,0.0656,2289
材料,5,4,0.0656,2290
教材,5,5,0.082,2291
マンホール,5,5,0.082,2292
舎,5,4,0.0656,2293
書く,5,5,0.082,2294
メンバー,5,5,0.082,2295
信号,5,5,0.082,2296
診察,5,5,0.082,2297
中段,5,5,0.082,2298
芝生,5,5,0.082,2299
加湿,5,3,0.0492,2300
カー,5,3,0.0492,2301
邪魔,5,5,0.082,2302
軍手,5,5,0.082,2303
口前,5,5,0.082,2304
スキップ,5,5,0.082,2305
すき間,5,5,0.082,2306
勉強,5,5,0.082,2307
ふる,5,5,0.082,2308
こぐ,5,5,0.082,2309
左端,5,5,0.082,2310
追い越す,5,5,0.082,2311
ステップ,5,5,0.082,2312
づくり,5,5,0.082,2313
付着,5,5,0.082,2314
アンカー,5,5,0.082,2315
読む,5,5,0.082,2316
バチ,5,3,0.0492,2317
往復,5,5,0.082,2318
側壁,5,5,0.082,2319
点火,5,4,0.0656,2320
囲う,5,5,0.082,2321
後続,5,5,0.082,2322
ホース,5,4,0.0656,2323
ホウキ,5,2,0.0328,2324
調子,5,4,0.0656,2325
スタンツ,5,5,0.082,2326
失神,5,5,0.082,2327
ぶる,5,5,0.082,2328
石灰,5,3,0.0492,2329
生地,5,3,0.0492,2330
洗浄,5,5,0.082,2331
小さい,5,5,0.082,2332
スープ,5,3,0.0492,2333
員,5,5,0.082,2334
はめる,5,5,0.082,2335
､,5,3,0.0492,2336
駆け寄る,5,5,0.082,2337
ピロティ,5,4,0.0656,2338
接近,5,5,0.082,2339
張り出す,5,5,0.082,2340
股,5,5,0.082,2341
入浴,5,4,0.0656,2342
通りかかる,5,5,0.082,2343
解く,5,4,0.0656,2344
偶然,5,5,0.082,2345
砂,5,5,0.082,2346
挨拶,5,5,0.082,2347
押し倒す,5,5,0.082,2348
橋,5,5,0.082,2349
走り,5,5,0.082,2350
手当,5,5,0.082,2351
殴り合い,5,5,0.082,2352
横たわる,5,5,0.082,2353
振り,5,5,0.082,2354
覆う,5,5,0.082,2355
くれる,5,5,0.082,2356
帽子,5,4,0.0656,2357
ほお骨,5,5,0.082,2358
半月,5,5,0.082,2359
実技,5,5,0.082,2360
対応,5,5,0.082,2361
打順,5,5,0.082,2362
－,5,3,0.0492,2363
踏切,5,5,0.082,2364
スリップ,5,5,0.082,2365
寝転がる,5,5,0.082,2366
段ボール,5,3,0.0492,2367
連れる,5,5,0.082,2368
腓骨,5,5,0.082,2369
外科,5,4,0.0656,2370
寝かせる,5,5,0.082,2371
返る,5,5,0.082,2372
春休み,5,5,0.082,2373
計画,5,4,0.0656,2374
飛球,5,4,0.0656,2375
棒高跳び,5,5,0.082,2376
林間,5,5,0.082,2377
トンボ,5,3,0.0492,2378
補,5,5,0.082,2379
軌道,5,4,0.0656,2380
彫刻,5,5,0.082,2381
角度,5,5,0.082,2382
得る,5,5,0.082,2383
フィルム,5,2,0.0328,2384
水晶,5,5,0.082,2385
殺る,5,5,0.082,2386
わら,5,3,0.0492,2387
座り,5,5,0.082,2388
ポイント,5,4,0.0656,2389
朦朧,5,5,0.082,2390
当時,5,5,0.082,2391
農業,5,5,0.082,2392
ねじれる,5,5,0.082,2393
ターザンロープ,5,3,0.0492,2394
ボールペン,5,2,0.0328,2395
自ら,5,5,0.082,2396
宿舎,5,5,0.082,2397
通す,5,4,0.0656,2398
武道館,5,5,0.082,2399
挿入,5,4,0.0656,2400
塁間,5,5,0.082,2401
診療,5,4,0.0656,2402
スパーリング,5,4,0.0656,2403
体育館前,5,4,0.0656,2404
取り除く,5,5,0.082,2405
教職員,5,5,0.082,2406
裂孔原,5,4,0.0656,2407
もうろう,5,5,0.082,2408
教官,5,5,0.082,2409
凶行,5,5,0.082,2410
不自然,5,5,0.082,2411
交互,5,5,0.082,2412
列車,5,4,0.0656,2413
疾走,5,5,0.082,2414
ビート,5,4,0.0656,2415
のしかかる,5,5,0.082,2416
張り出し,5,2,0.0328,2417
沈む,5,5,0.082,2418
内股,5,5,0.082,2419
駆けつける,5,5,0.082,2420
ひねり,5,5,0.082,2421
ラン,5,5,0.082,2422
腰痛,5,4,0.0656,2423
骨盤,5,5,0.082,2424
増す,5,5,0.082,2425
くも膜,5,5,0.082,2426
ウエイト,5,4,0.0656,2427
とれる,5,5,0.082,2428
示指,5,5,0.082,2429
スピーカー,5,2,0.0328,2430
用いる,5,5,0.082,2431
人指し指,5,5,0.082,2432
スライド,5,5,0.082,2433
時刻,5,5,0.082,2434
重り,5,3,0.0492,2435
洗濯,5,2,0.0328,2436
鳴らす,4,4,0.0656,2437
短距離,4,4,0.0656,2438
引率,4,4,0.0656,2439
箸,4,4,0.0656,2440
待ち時間,4,4,0.0656,2441
はらう,4,3,0.0492,2442
足場,4,3,0.0492,2443
圧力,4,4,0.0656,2444
寒い,4,4,0.0656,2445
ひじ,4,4,0.0656,2446
２つ,4,4,0.0656,2447
ミーティング,4,4,0.0656,2448
問いかける,4,4,0.0656,2449
持病,4,4,0.0656,2450
襲う,4,4,0.0656,2451
クロス,4,4,0.0656,2452
早朝,4,4,0.0656,2453
スペース,4,4,0.0656,2454
線路,4,3,0.0492,2455
びっくり,4,4,0.0656,2456
ロック,4,4,0.0656,2457
接合,4,4,0.0656,2458
掃く,4,2,0.0328,2459
発熱,4,4,0.0656,2460
簡易,4,4,0.0656,2461
交流,4,4,0.0656,2462
些細,4,4,0.0656,2463
そしゃく,4,4,0.0656,2464
流動,4,4,0.0656,2465
気球,4,1,0.0164,2466
燃える,4,4,0.0656,2467
注ぐ,4,4,0.0656,2468
溶かす,4,4,0.0656,2469
試験管,4,3,0.0492,2470
逆,4,4,0.0656,2471
口角,4,4,0.0656,2472
科学,4,4,0.0656,2473
こぼす,4,4,0.0656,2474
台座,4,3,0.0492,2475
出入り,4,4,0.0656,2476
打ち切る,4,4,0.0656,2477
桟,4,4,0.0656,2478
喧嘩,4,4,0.0656,2479
工事,4,4,0.0656,2480
急激,4,4,0.0656,2481
鈍い,4,4,0.0656,2482
進路,4,4,0.0656,2483
むける,4,4,0.0656,2484
ノッカー,4,3,0.0492,2485
留める,4,4,0.0656,2486
幹,4,4,0.0656,2487
新入生,4,4,0.0656,2488
小雨,4,4,0.0656,2489
積木,4,2,0.0328,2490
排泄,4,4,0.0656,2491
残す,4,4,0.0656,2492
滑らす,4,4,0.0656,2493
木の根,4,4,0.0656,2494
昇る,4,4,0.0656,2495
かけあい,4,4,0.0656,2496
教壇,4,4,0.0656,2497
図書館,4,3,0.0492,2498
刃先,4,4,0.0656,2499
髪の毛,4,4,0.0656,2500
口げんか,4,4,0.0656,2501
英語,4,4,0.0656,2502
でる,4,4,0.0656,2503
払い,4,4,0.0656,2504
抑える,4,4,0.0656,2505
沸かす,4,4,0.0656,2506
入学,4,3,0.0492,2507
予定,4,4,0.0656,2508
砂利,4,4,0.0656,2509
かむ,4,4,0.0656,2510
持ち出す,4,4,0.0656,2511
もつ,4,4,0.0656,2512
上唇,4,4,0.0656,2513
プレイルーム,4,4,0.0656,2514
㎝、,4,3,0.0492,2515
子ども,4,3,0.0492,2516
突き飛ばす,4,4,0.0656,2517
割り箸,4,3,0.0492,2518
早退,4,3,0.0492,2519
ひっぱる,4,4,0.0656,2520
かけ,4,4,0.0656,2521
あける,4,4,0.0656,2522
中間,4,4,0.0656,2523
演奏,4,3,0.0492,2524
歌う,4,3,0.0492,2525
こうもり,4,4,0.0656,2526
真下,4,4,0.0656,2527
拾い上げる,4,4,0.0656,2528
遮る,4,4,0.0656,2529
桜,4,4,0.0656,2530
細い,4,4,0.0656,2531
子供,4,4,0.0656,2532
あて,4,4,0.0656,2533
のぼり,4,4,0.0656,2534
U,4,2,0.0328,2535
加熱,4,4,0.0656,2536
め,4,4,0.0656,2537
移す,4,4,0.0656,2538
きく,4,4,0.0656,2539
持参,4,4,0.0656,2540
ジャージ,4,4,0.0656,2541
面部,4,4,0.0656,2542
介,4,3,0.0492,2543
引き戸,4,3,0.0492,2544
自動車,4,4,0.0656,2545
出かける,4,4,0.0656,2546
門扉,4,4,0.0656,2547
記念,4,3,0.0492,2548
碑,4,2,0.0328,2549
ケロイド,4,4,0.0656,2550
勧める,4,4,0.0656,2551
教える,4,4,0.0656,2552
入り,4,3,0.0492,2553
ごま,4,2,0.0328,2554
凹凸,4,4,0.0656,2555
体制,4,4,0.0656,2556
フラ,4,2,0.0328,2557
積み上げる,4,4,0.0656,2558
釜戸,4,2,0.0328,2559
すりガラス,4,4,0.0656,2560
足下,4,4,0.0656,2561
デッドボール,4,4,0.0656,2562
つば,4,4,0.0656,2563
はね返る,4,4,0.0656,2564
預かる,4,4,0.0656,2565
削ぐ,4,4,0.0656,2566
幼稚園,4,4,0.0656,2567
伝える,4,4,0.0656,2568
貸す,4,3,0.0492,2569
踏み台,4,4,0.0656,2570
プレート,4,4,0.0656,2571
中身,4,4,0.0656,2572
流し台,4,3,0.0492,2573
突き抜ける,4,4,0.0656,2574
植える,4,4,0.0656,2575
園芸,4,4,0.0656,2576
北,4,4,0.0656,2577
上履き,4,4,0.0656,2578
中学生,4,4,0.0656,2579
バス停,4,4,0.0656,2580
集積,4,4,0.0656,2581
対面,4,3,0.0492,2582
踏みはずす,4,4,0.0656,2583
タイル,4,4,0.0656,2584
泣き声,4,4,0.0656,2585
フープ,4,2,0.0328,2586
べっ甲,4,3,0.0492,2587
稲刈り,4,3,0.0492,2588
リフト,4,4,0.0656,2589
ターン,4,4,0.0656,2590
湯煎,4,2,0.0328,2591
凧,4,4,0.0656,2592
カッター,4,4,0.0656,2593
慣れる,4,4,0.0656,2594
のぼる,4,4,0.0656,2595
上昇,4,3,0.0492,2596
材,4,3,0.0492,2597
被服,4,4,0.0656,2598
蛍光,4,3,0.0492,2599
灯,4,3,0.0492,2600
はずれ,4,4,0.0656,2601
充血,4,4,0.0656,2602
向かい合う,4,4,0.0656,2603
種,4,4,0.0656,2604
ケガ,4,4,0.0656,2605
ピロ,4,3,0.0492,2606
１つ,4,4,0.0656,2607
投げ飛ばす,4,4,0.0656,2608
着る,4,4,0.0656,2609
助け,4,4,0.0656,2610
求める,4,4,0.0656,2611
さしかかる,4,4,0.0656,2612
手元,4,4,0.0656,2613
トップ,4,4,0.0656,2614
速度,4,4,0.0656,2615
肋木,4,4,0.0656,2616
植物,4,4,0.0656,2617
野菜,4,4,0.0656,2618
踏ん張る,4,4,0.0656,2619
流血,4,4,0.0656,2620
伝う,4,4,0.0656,2621
近付く,4,4,0.0656,2622
駐輪場,4,4,0.0656,2623
れっする,4,4,0.0656,2624
味噌汁,4,4,0.0656,2625
オトガイ,4,3,0.0492,2626
またぐ,4,4,0.0656,2627
歩道橋,4,4,0.0656,2628
かすめる,4,4,0.0656,2629
まく,4,4,0.0656,2630
ハサミ,4,3,0.0492,2631
考査,4,4,0.0656,2632
地,4,4,0.0656,2633
船,4,3,0.0492,2634
踏み切る,4,4,0.0656,2635
すり,4,3,0.0492,2636
心身,4,3,0.0492,2637
毎,4,4,0.0656,2638
迎える,4,4,0.0656,2639
破る,4,4,0.0656,2640
ゲレンデ,4,4,0.0656,2641
食堂,4,3,0.0492,2642
DF,4,3,0.0492,2643
からだ,4,4,0.0656,2644
サーキット,4,4,0.0656,2645
梁,4,4,0.0656,2646
帰り支度,4,4,0.0656,2647
合間,4,4,0.0656,2648
勝手,4,4,0.0656,2649
立ち上がり,4,4,0.0656,2650
肢体,4,4,0.0656,2651
ターゲット,4,4,0.0656,2652
バード,4,4,0.0656,2653
レフト,4,4,0.0656,2654
太鼓橋,4,4,0.0656,2655
あいさつ,4,4,0.0656,2656
交差,4,4,0.0656,2657
アキレス腱,4,2,0.0328,2658
エバーマット,4,4,0.0656,2659
使い方,4,4,0.0656,2660
綱引き,4,4,0.0656,2661
誤り,4,4,0.0656,2662
散水,4,2,0.0328,2663
スプリング,4,4,0.0656,2664
腕相撲,4,4,0.0656,2665
影,4,3,0.0492,2666
跡,4,2,0.0328,2667
移植,4,4,0.0656,2668
溶接,4,4,0.0656,2669
グラインダー,4,3,0.0492,2670
内容,4,4,0.0656,2671
車両,4,4,0.0656,2672
車線,4,3,0.0492,2673
収納,4,4,0.0656,2674
競り合い,4,4,0.0656,2675
小脳,4,4,0.0656,2676
旗,4,4,0.0656,2677
踵,4,4,0.0656,2678
酸素,4,4,0.0656,2679
バール,4,1,0.0164,2680
度目,4,4,0.0656,2681
就寝,4,4,0.0656,2682
巡視,4,4,0.0656,2683
そこねる,4,4,0.0656,2684
高め,4,4,0.0656,2685
ストレート,4,4,0.0656,2686
エスカレート,4,4,0.0656,2687
はじめる,4,4,0.0656,2688
ささる,4,4,0.0656,2689
パートナー,4,4,0.0656,2690
跳ね返り,4,4,0.0656,2691
くすぐる,4,4,0.0656,2692
通り,4,4,0.0656,2693
乱打,4,3,0.0492,2694
コンタクトレンズ,4,3,0.0492,2695
検定,4,3,0.0492,2696
太い,4,4,0.0656,2697
ブルペン,4,4,0.0656,2698
ミス,4,4,0.0656,2699
重,4,4,0.0656,2700
