単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
サイド,46,42,0.6886,483
全身,46,45,0.7378,484
掛ける,46,43,0.705,485
ベランダ,46,35,0.5739,486
園児,46,40,0.6558,487
鍋,46,24,0.3935,488
外野,46,40,0.6558,489
注意,45,43,0.705,490
入ろう,45,45,0.7378,491
タイヤ,45,31,0.5083,492
バント,45,40,0.6558,493
枠,45,41,0.6722,494
柱,45,43,0.705,495
右目,45,45,0.7378,496
両足,45,45,0.7378,497
スピード,45,42,0.6886,498
跳箱,45,38,0.6231,499
破裂,45,45,0.7378,500
ドッジボール,44,44,0.7214,501
トラブル,44,43,0.705,502
巻き込む,44,43,0.705,503
ひっかく,44,41,0.6722,504
立てる,44,44,0.7214,505
バウンド,44,44,0.7214,506
損ねる,44,44,0.7214,507
下りる,44,42,0.6886,508
機,44,35,0.5739,509
卓球,44,29,0.4755,510
右肩,43,38,0.6231,511
引く,43,42,0.6886,512
片付け,43,43,0.705,513
落とす,43,42,0.6886,514
キャッチ,43,41,0.6722,515
担当,43,42,0.6886,516
実施,42,42,0.6886,517
友だち,42,35,0.5739,518
ごと,42,42,0.6886,519
上腕,42,39,0.6394,520
押さえる,42,41,0.6722,521
通学,42,40,0.6558,522
溝,42,34,0.5575,523
着替え,42,36,0.5903,524
脱臼,42,42,0.6886,525
枝,42,31,0.5083,526
倒れ込む,42,42,0.6886,527
投球,42,39,0.6394,528
スマッシュ,42,36,0.5903,529
音,41,38,0.6231,530
戦,41,41,0.6722,531
式,41,41,0.6722,532
腹,41,39,0.6394,533
ディフェンス,41,39,0.6394,534
リレー,41,40,0.6558,535
引っ掛かる,41,41,0.6722,536
片付ける,41,39,0.6394,537
近づく,41,38,0.6231,538
閉まる,41,39,0.6394,539
踏み外す,41,41,0.6722,540
眼鏡,41,36,0.5903,541
対,41,39,0.6394,542
暗い,41,40,0.6558,543
植え込む,41,41,0.6722,544
運動会,40,40,0.6558,545
時限,40,37,0.6067,546
可動,40,40,0.6558,547
いす,40,31,0.5083,548
脚,40,35,0.5739,549
ハンドル,40,37,0.6067,550
飛ばす,40,33,0.5411,551
クラブ,40,35,0.5739,552
バー,40,22,0.3607,553
あたる,40,39,0.6394,554
抜ける,40,38,0.6231,555
処置,40,40,0.6558,556
四肢,40,40,0.6558,557
胸骨,40,39,0.6394,558
顧問,39,34,0.5575,559
理科,39,38,0.6231,560
通る,39,38,0.6231,561
すべり台,39,29,0.4755,562
嘔吐,39,35,0.5739,563
反対,39,37,0.6067,564
自由,39,39,0.6394,565
衝撃,39,39,0.6394,566
キャッチャー,39,38,0.6231,567
キーパー,39,36,0.5903,568
ロッカー,39,30,0.4919,569
飛び出す,39,39,0.6394,570
中心,39,39,0.6394,571
入り口,39,36,0.5903,572
振り返る,39,38,0.6231,573
部室,39,30,0.4919,574
機械,39,23,0.3771,575
柄,38,28,0.4591,576
打ち返す,38,36,0.5903,577
スパイク,38,38,0.6231,578
金属,38,37,0.6067,579
程度,38,35,0.5739,580
固定,38,35,0.5739,581
生活,38,38,0.6231,582
グループ,38,29,0.4755,583
面,38,36,0.5903,584
縄跳び,38,27,0.4427,585
症状,37,35,0.5739,586
続ける,37,36,0.5903,587
見学,37,32,0.5247,588
正面,37,37,0.6067,589
合同,37,36,0.5903,590
熱傷,37,37,0.6067,591
関わる,37,37,0.6067,592
年生,37,32,0.5247,593
制限,37,37,0.6067,594
減じる,37,37,0.6067,595
ベンチ,36,29,0.4755,596
畳,36,34,0.5575,597
飛び込み,36,32,0.5247,598
音楽,36,32,0.5247,599
翌日,36,34,0.5575,600
帰る,36,35,0.5739,601
冷却,36,35,0.5739,602
管理,36,35,0.5739,603
口論,35,34,0.5575,604
しゃがむ,35,34,0.5575,605
フェンス,35,27,0.4427,606
位置,35,34,0.5575,607
