前件,後件,項目数,共起事例数,支持度,信頼度,lift
発生場所1=学校外（園外） | 通学方法=自転車,場合別2=登校（登園）中,3,74,0.012133136579767174,0.5401459854014599,24.957199734571997
通学方法=自転車,場合別2=登校（登園）中,2,74,0.012133136579767174,0.5362318840579711,24.77635046113307
通学方法=自転車,場合別1=通学中 | 場合別2=登校（登園）中,3,74,0.012133136579767174,0.5362318840579711,24.77635046113307
場合別1=通学中 | 通学方法=自転車,場合別2=登校（登園）中,3,74,0.012133136579767174,0.5362318840579711,24.77635046113307
通学方法=自転車,場合別2=登校（登園）中 | 発生場所1=学校外（園外）,3,74,0.012133136579767174,0.5362318840579711,24.77635046113307
場合別2=登校（登園）中,通学方法=自転車,2,74,0.012133136579767174,0.5606060606060606,24.776350461133067
場合別2=登校（登園）中,場合別1=通学中 | 通学方法=自転車,3,74,0.012133136579767174,0.5606060606060606,24.776350461133067
場合別1=通学中 | 場合別2=登校（登園）中,通学方法=自転車,3,74,0.012133136579767174,0.5606060606060606,24.776350461133067
場合別2=登校（登園）中 | 発生場所1=学校外（園外）,通学方法=自転車,3,74,0.012133136579767174,0.5606060606060606,24.776350461133067
通学方法=徒歩,発生場所1=学校外（園外） | 被災学校種=小,3,121,0.019839317920970653,0.7610062893081762,24.300405018275217
発生場所1=学校外（園外） | 被災学校種=小,通学方法=徒歩,3,121,0.019839317920970653,0.6335078534031413,24.300405018275214
場合別2=下校（降園）中,発生場所2=道路 | 通学方法=徒歩,3,97,0.01590424659780292,0.5271739130434783,24.17468944099379
発生場所2=道路 | 通学方法=徒歩,場合別2=下校（降園）中,3,97,0.01590424659780292,0.7293233082706767,24.174689440993788
場合別2=下校（降園）中 | 発生場所1=学校外（園外）,通学方法=徒歩,3,115,0.018855550090178717,0.6284153005464481,24.1050623775647
通学方法=徒歩,場合別2=下校（降園）中 | 発生場所1=学校外（園外）,3,115,0.018855550090178717,0.7232704402515723,24.105062377564696
場合別2=下校（降園）中,通学方法=徒歩,2,115,0.018855550090178717,0.625,23.974056603773587
場合別2=下校（降園）中,場合別1=通学中 | 通学方法=徒歩,3,115,0.018855550090178717,0.625,23.974056603773587
場合別1=通学中 | 場合別2=下校（降園）中,通学方法=徒歩,3,115,0.018855550090178717,0.625,23.974056603773587
場合別2=下校（降園）中,発生場所1=学校外（園外） | 通学方法=徒歩,3,115,0.018855550090178717,0.625,23.974056603773587
通学方法=徒歩,場合別2=下校（降園）中,2,115,0.018855550090178717,0.7232704402515723,23.974056603773583
通学方法=徒歩,場合別1=通学中 | 場合別2=下校（降園）中,3,115,0.018855550090178717,0.7232704402515723,23.974056603773583
場合別1=通学中 | 通学方法=徒歩,場合別2=下校（降園）中,3,115,0.018855550090178717,0.7232704402515723,23.974056603773583
発生場所1=学校外（園外） | 通学方法=徒歩,場合別2=下校（降園）中,3,115,0.018855550090178717,0.7232704402515723,23.974056603773583
場合別2=下校（降園）中,性別=男 | 通学方法=徒歩,3,70,0.011477291359239219,0.3804347826086957,23.920327207530256
性別=男 | 通学方法=徒歩,場合別2=下校（降園）中,3,70,0.011477291359239219,0.7216494845360825,23.920327207530253
被災学校種=小 | 通学方法=徒歩,場合別2=下校（降園）中,3,87,0.01426463354648303,0.71900826446281,23.832779374775424
場合別2=下校（降園）中,被災学校種=小 | 通学方法=徒歩,3,87,0.01426463354648303,0.47282608695652173,23.83277937477542
場合別2=下校（降園）中,和暦=平成 | 通学方法=徒歩,3,94,0.015412362682406953,0.5108695652173914,23.78468304015931
和暦=平成 | 通学方法=徒歩,場合別2=下校（降園）中,3,94,0.015412362682406953,0.7175572519083969,23.784683040159308
場合別2=下校（降園）中,場合別1=通学中 | 被災学校種=小,3,89,0.014592556156747007,0.483695652173913,23.600478260869565
