列名,値,件数,割合（％）,列内順位
場合別2,文化的行事,24,0.3935,25
場合別2,その他健康安全・体育的行事,23,0.3771,26
場合別2,遠足,22,0.3607,27
場合別2,工業,20,0.3279,28
場合別2,自立活動,17,0.2787,29
場合別2,児童（生徒・学生）会活動,15,0.2459,30
場合別2,体育的クラブ活動,13,0.2131,31
場合別2,通学（通園）に準ずるとき,12,0.1968,32
場合別2,大掃除,9,0.1476,33
場合別2,文化的クラブ活動,7,0.1148,34
場合別2,水泳指導,7,0.1148,35
場合別2,農業,7,0.1148,36
場合別2,勤労生産・奉仕的行事,5,0.082,37
場合別2,その他儀式的行事,5,0.082,38
場合別2,道徳,1,0.0164,39
場合別2,林間学校,1,0.0164,40
競技種目,（欠損）,3061,50.1886,1
競技種目,野球（含軟式）,765,12.543,2
競技種目,サッカー・フットサル,423,6.9356,3
競技種目,バスケットボール,233,3.8203,4
競技種目,ソフトボール,138,2.2627,5
競技種目,柔道,129,2.1151,6
競技種目,バドミントン,125,2.0495,7
競技種目,バレーボール,115,1.8856,8
競技種目,その他,101,1.656,9
競技種目,テニス（含ソフトテニス）,93,1.5248,10
競技種目,ラグビー,91,1.492,11
競技種目,水泳,84,1.3773,12
競技種目,持久走・長距離走,81,1.3281,13
競技種目,マット運動,78,1.2789,14
競技種目,跳箱運動,61,1.0002,15
競技種目,ハンドボール,53,0.869,16
競技種目,体操（組体操）,37,0.6067,17
競技種目,卓球,35,0.5739,18
競技種目,短距離走,32,0.5247,19
競技種目,球技（その他）,32,0.5247,20
競技種目,鉄棒運動,31,0.5083,21
競技種目,走り高跳び,30,0.4919,22
競技種目,準備・整理運動,27,0.4427,23
競技種目,陸上競技（その他）,26,0.4263,24
競技種目,剣道,25,0.4099,25
競技種目,体操（その他）,20,0.3279,26
競技種目,投てき,18,0.2951,27
競技種目,ドッジボール,17,0.2787,28
競技種目,スキー,15,0.2459,29
競技種目,レスリング,12,0.1968,30
競技種目,障害走（ハードル）,11,0.1804,31
