語1,語2,共起事例数,Jaccard（ネットワーク重み）
練習,頭部,110,0.04719004719004719
視力,部,110,0.04633529907329402
状,部,110,0.0458906967042136
部,頭,110,0.042868277474668745
減退,視力,109,0.6228571428571429
機能,障害,109,0.24008810572687225
強打,足,109,0.07967836257309942
足,顔面,109,0.06825297432686286
ボール,選手,109,0.06106442577030812
くる,れる,109,0.05659397715472482
ぶつかる,ボール,109,0.05322265625
練習,頭,109,0.04710458081244598
残存,部,109,0.04443538524256013
部,飛ぶ,109,0.04384553499597747
減退,眼,108,0.07277628032345014
しまう,ボール,108,0.04838709677419355
前歯,相手,107,0.06903225806451613
教室,転倒,107,0.06195715112912565
れる,体育館,107,0.05967651979921919
線,部,107,0.044976881042454814
前歯,顔,106,0.09680365296803653
バスケットボール,試合,106,0.09363957597173145
転倒,道路,106,0.0803030303030303
強い,相手,106,0.07692307692307693
体育,倒れる,106,0.07587687902648532
ボール,強打,106,0.04555221314997851
廊下,教室,105,0.1248513674197384
倒れる,走る,105,0.08670520231213873
場,相手,105,0.06220379146919431
ボール,球,105,0.05989731888191671
しまう,れる,105,0.05384615384615385
ぶつかる,練習,105,0.0420504605526632
人,部,105,0.03937007874015748
時間,走る,104,0.07313642756680731
れる,障害,104,0.06603174603174604
球,眼,104,0.06491885143570537
ボール,守備,104,0.061465721040189124
ノック,当たる,104,0.05803571428571429
自転車,負傷,104,0.05413846954711088
地面,部,104,0.039304610733182165
機能,残る,103,0.11244541484716157
しまう,手,103,0.08259823576583801
前歯,試合,103,0.06389578163771713
くる,顔面,103,0.06307409675443969
打つ,相手,103,0.06288156288156288
れる,休憩,103,0.06175059952038369
チーム,ボール,103,0.06023391812865497
痕,部,103,0.04335016835016835
床,部,103,0.038418500559492724
廊下,時間,102,0.09392265193370165
強打,自転車,102,0.09264305177111716
くる,ぶつかる,102,0.09034543844109831
場,走る,102,0.06854838709677419
れる,骨折,102,0.06284658040665435
口,負傷,102,0.0504950495049505
性,練習,102,0.045987376014427414
当たる,手,102,0.045576407506702415
練習,蹴る,102,0.04312896405919662
守備,部,102,0.042642140468227424
眼,顔面,102,0.04235880398671096
床,練習,102,0.04199258954302182
練習,足,102,0.03873908089631599
受診,運動,101,0.10233029381965553
つまずく,転倒,101,0.07639939485627836
場,打つ,101,0.062384187770228534
体育,相手,101,0.05951679434295816
練習,飛ぶ,101,0.04506916555109326
取る,練習,101,0.04414335664335664
自転車,道路,100,0.21505376344086022
地面,強打,100,0.08779631255487269
れる,顔,100,0.05920663114268798
体育館,眼,100,0.05173305742369374
れる,打つ,100,0.04826254826254826
捕る,練習,100,0.046707146193367584
ノック,部,100,0.04149377593360996
人,練習,100,0.0413393964448119
加える,部,100,0.04110152075626798
取る,部,100,0.03933910306845004
膝,部,100,0.038774718883288095
意識,搬送,99,0.18299445471349354
床,足,99,0.09602327837051407
受診,場,99,0.09287054409005628
前歯,床,99,0.08886894075403949
体育,打つ,99,0.06088560885608856
れる,手,99,0.052884615384615384
当たる,遊ぶ,99,0.04598235020901068
残存,障害,98,0.2024793388429752
手術,病院,98,0.19678714859437751
体育館,床,98,0.10571736785329018
接触,転倒,98,0.07025089605734768
床,顔面,98,0.0698005698005698
れる,押す,98,0.06945428773919206
れる,蹴る,98,0.05979255643685174
受診,負傷,98,0.05405405405405406
ネット,部,98,0.04079933388842631
廊下,走る,97,0.09969167523124357
バッティング,打つ,97,0.09547244094488189
れる,自転車,97,0.05936352509179926
野球,顔面,97,0.05900243309002433
れる,人,97,0.057328605200945626
バット,当たる,97,0.05335533553355336
くる,転倒,97,0.052319309600863
つく,手,96,0.11594202898550725
球,野球,96,0.11414982164090369
地面,顔面,96,0.06997084548104957
地面,負傷,96,0.04885496183206107
場,転倒,96,0.046966731898238745
相手,転倒,96,0.04648910411622276
試合,転倒,96,0.045219029674988226
残存,練習,96,0.04338002711251695
ボール,友人,96,0.04328223624887286
打球,直撃,95,0.12751677852348994
口,歯,95,0.10638297872340426
休憩,友人,95,0.0923226433430515
場,性,95,0.09108341323106424
体育,搬送,95,0.07857733664185278
強打,時間,95,0.06180871828236825
走る,顔面,95,0.05764563106796117
当たる,視力,95,0.05352112676056338
しまう,転倒,95,0.05063965884861407
治療,練習,95,0.04051172707889126
補綴,部,95,0.03914297486608982
歯科,部,95,0.03909465020576132
倒れる,車,94,0.11959287531806616
性,運動,94,0.09720785935884178
打球,試合,94,0.07686017988552739
友人,足,94,0.07436708860759493
手,時間,94,0.06906686260102865
れる,瘢痕,94,0.061478090255068674
しまう,顔面,94,0.056558363417569195
体育,顔面,94,0.05119825708061002
当たる,球,94,0.050865800865800864
ネット,練習,94,0.04366000928936368
捕る,部,94,0.03916666666666667
休憩,部,94,0.035338345864661655
友人,部,94,0.03221384509938314
手,持つ,93,0.11018957345971564
打つ,打球,93,0.08508691674290943
残る,野球,93,0.06614509246088193
友人,強打,93,0.06605113636363637
体育,手,93,0.0649895178197065
体育館,試合,93,0.06485355648535565
転倒,顔,93,0.057692307692307696
れる,地面,93,0.05555555555555555
右手,負傷,93,0.049310710498409335
強い,眼,93,0.04757033248081841
人,負傷,93,0.04673366834170854
手術,練習,93,0.04025974025974026
失う,部,93,0.038114754098360654
滑る,部,93,0.03555045871559633
倒れる,床,92,0.0935910478128179
接触,相手,92,0.0872865275142315
試合,蹴る,92,0.07232704402515723
強い,試合,92,0.06344827586206897
眼,飛ぶ,92,0.05565638233514821
当たる,顔,92,0.044530493707647625
当たる,足,92,0.040315512708150744
部,部員,92,0.03904923599320883
残存,瘢痕,91,0.20919540229885059
バスケットボール,相手,91,0.08356290174471992
運動,骨折,91,0.08235294117647059
休憩,場,91,0.0741042345276873
前歯,打つ,91,0.06095110515740121
友人,顔面,91,0.05552165954850519
残る,試合,91,0.054458408138839016
ぶつかる,転倒,91,0.05362404242781379
れる,遊ぶ,91,0.05078125
接触,部,91,0.036857027136492505
病院,部,91,0.03653151344841429
車,部,91,0.03642914331465172
