単語,出現事例数
複数,1
うつぶす,1
セーフティー,1
傾ける,1
縄,1
一周,1
逆,1
エプロン,1
子ども,1
配る,1
家庭科,1
握り,1
側壁,1
申し出る,1
揺れる,1
殺る,1
走り込み,1
礼,1
終,1
空き,1
",",1
円,1
発,1
約束,1
差し掛る,1
横壁,1
職場,1
被災,1
休止,1
声援,1
ダウン,1
抱き合う,1
伝える,1
先生,1
出し物,1
感謝,1
演じる,1
棒高跳び,1
接す,1
ダメージ,1
うい,1
紛失,1
壊死,1
歯髄,1
防止,1
とうしろ,1
開催,1
どく,1
よじ登る,1
オート,1
出入り口,1
外部,1
忘れ,1
施錠,1
消し,1
熱,1
熱い,1
退出,1
ギャラリー,1
吊る,1
天井,1
すぎ,1
鉄格子,1
弓道,1
就労,1
朝食,1
習慣,1
息,1
苦しい,1
小さい,1
脇道,1
公立,1
もうろう,1
呼びかける,1
棟,1
スケートリンク,1
密集,1
小学校,1
長靴,1
集まる,1
加勢,1
劇,1
相談,1
違う,1
あり,1
保つ,1
切り替え,1
加減,1
医,1
困難,1
感情,1
成長,1
持病,1
指,1
現時点,1
発達,1
触る,1
過剰,1
適切,1
チョーク,1
出っ張る,1
教壇,1
円筒,1
担当,1
玩具,1
畳,1
講師,1
手袋,1
放課,1
傷,1
眼鏡,1
引き離す,1
絞める,1
違反,1
傾斜,1
打,1
痛,1
創作,1
全速力,1
呼び掛ける,1
応じる,1
開き,1
ネクストバッターズサークル,1
巴,1
防御,1
パネル,1
座席,1
レイアップシュート,1
ハーフ,1
組み,1
休日,1
市長,1
杯,1
越し,1
スイッチ,1
ボックス,1
想定,1
暇,1
トップ,1
地上,1
不正,1
事情,1
捕まえる,1
考査,1
聴く,1
行為,1
見つかる,1
試験,1
どおり,1
敷地,1
入れ直す,1
くるまれる,1
ゴミ,1
布,1
課外,1
ふりまわす,1
駅前,1
スポーツ,1
垂らす,1
不安定,1
独歩,1
便器,1
洋式,1
青信号,1
はかる,1
オリエンテーリング,1
林間,1
曲がり角,1
親子,1
通過,1
両側,1
武道館,1
含める,1
球場,1
地点,1
増す,1
凸凹,1
コバチ,1
手放し,1
抱え込む,1
インコース,1
かする,1
デイフェンス,1
強化,1
投げ入れる,1
背負い投げ,1
近い,1
出入り,1
対向,1
塾,1
軽口,1
寮,1
差し入れる,1
床の間,1
折り畳む,1
外そう,1
ぬかるむ,1
土,1
そしゃく,1
機能,1
残存,1
障害,1
築山,1
ドッヂビー,1
受けとる,1
凹む,1
水切り,1
異なる,1
下半身,1
ダンベル,1
仰向け,1
想像,1
プロレス,1
棚,1
円卓,1
格好,1
水田,1
ファウルグラウンド,1
機具,1
攻め寄る,1
湿る,1
バーベル,1
㎏,1
寸前,1
タグ,1
下駄,1
制止,1
箱,1
排泄,1
寝かせる,1
幹,1
随意,1
ケガ,1
まねごと,1
付ける,1
公道,1
お腹,1
線,1
挨拶,1
づくり,1
体力,1
ロータリー,1
屋外,1
武道,1
当てる,1
木,1
歩ける,1
軸,1
試す,1
叩きつける,1
アパート,1
近所,1
通報,1
シャワー,1
ブース,1
浴びる,1
押し合い,1
掃く,1
マッチ,1
みぞおち,1
かかと,1
くらくら,1
サウナ,1
ノブ,1
涼む,1
露天風呂,1
乱打,1
隣接,1
制球,1
竹刀,1
下腿,1
バインダー,1
園児,1
引き渡す,1
ほどく,1
たれる,1
B,1
出会い頭,1
予鈴,1
鳴る,1
標,1
田んぼ,1
予後,1
炎症,1
パドル,1
ラフティング,1
修学旅行,1
電信柱,1
ピッチング,1
自習,1
きく,1
瘢痕,1
パンク,1
めまい,1
分間,1
噛みしめる,1
国語,1
環境,1
私語,1
走り回る,1
起立,1
飛び散る,1
スナッグゴルフ,1
観戦,1
仕掛ける,1
払う,1
整列,1
断る,1
くぐり抜ける,1
医師,1
診断,1
ドッジフリスビー,1
フリスビー,1
弾く,1
黄色,1
残雪,1
エレベーター,1
自力,1
集い,1
集団,1
座り込む,1
サッカーゴールネット,1
前面,1
広げる,1
新聞紙,1
下級生,1
示す,1
させる,1
抵抗,1
ラリー,1
修復,1
吸収,1
伴う,1
合奏,1
喪失,1
呼吸,1
滑り出す,1
隙間,1
入院,1
住宅,1
植え込み,1
自席,1
