語1,語2,共起事例数,Jaccard（ネットワーク重み）
れる,ボール,33,0.060109289617486336
体育館,顔面,33,0.05935251798561151
ぶつかる,顔面,33,0.05679862306368331
前歯,衝突,33,0.04376657824933687
バット,前歯,33,0.04119850187265917
せる,足,32,0.2119205298013245
折,脱臼,32,0.13733905579399142
チーム,試合,32,0.12598425196850394
しまう,本,32,0.0935672514619883
下校,強打,32,0.08465608465608465
折,試合,32,0.08398950131233596
口,直撃,32,0.07511737089201878
接触,転倒,32,0.07373271889400922
廊下,転倒,32,0.07239819004524888
強打,顔,32,0.0706401766004415
当たる,飛ぶ,32,0.07048458149779736
取る,当たる,32,0.07017543859649122
くる,口,32,0.06722689075630252
球,練習,32,0.06625258799171843
しまう,口,32,0.06584362139917696
練習,選手,32,0.06374501992031872
歯,登校,32,0.06374501992031872
歯,走る,32,0.06072106261859583
崩す,歯,32,0.06015037593984962
手,歯,32,0.059813084112149535
直撃,顔面,32,0.05755395683453238
本,負傷,32,0.05755395683453238
ぶつかる,部,32,0.05536332179930796
自転車,部,32,0.04783258594917788
前歯,持つ,32,0.043184885290148446
バッター,打つ,31,0.13901345291479822
相手,肘,31,0.13478260869565217
バスケットボール,試合,31,0.11191335740072202
バット,野球,31,0.10801393728222997
バット,試合,31,0.09717868338557993
れる,加える,31,0.08959537572254335
れる,歯科,31,0.08959537572254335
床,打つ,31,0.08611111111111111
本,顔,31,0.08446866485013624
前輪,転倒,31,0.07579462102689487
当たる,捕る,31,0.06981981981981981
負傷,走る,31,0.06783369803063458
ぶつける,負傷,31,0.06638115631691649
口唇,部,31,0.061630218687872766
ボール,床,31,0.055357142857142855
前歯,肘,31,0.041891891891891894
前歯,口元,31,0.04
前歯,直撃,31,0.03929024081115336
口,顔面,31,0.037943696450428395
せる,滑る,30,0.24390243902439024
バット,直撃,30,0.16483516483516483
れる,補綴,30,0.08695652173913043
強打,登校,30,0.08287292817679558
場,試合,30,0.08241758241758242
打つ,本,30,0.07751937984496124
試合,顔,30,0.07692307692307693
口元,負傷,30,0.07009345794392523
当たる,肘,30,0.06976744186046512
バッター,当たる,30,0.06944444444444445
バスケットボール,ボール,30,0.06772009029345373
ボール,口元,30,0.06564551422319474
バランス,負傷,30,0.06423982869379015
当たる,脱臼,30,0.06396588486140725
打ちつける,顔面,30,0.058027079303675046
バット,歯,30,0.056925996204933584
道路,顔面,30,0.056179775280898875
口元,部,30,0.05555555555555555
前歯,唇,30,0.040160642570281124
前歯,捕る,30,0.03968253968253968
前歯,飛ぶ,30,0.03911342894393742
イレギュラー,ノック,29,0.24786324786324787
下り坂,自転車,29,0.13004484304932734
バット,場,29,0.12033195020746888
直撃,野球,29,0.10545454545454545
破る,運動,29,0.10139860139860139
ソフトボール,口,29,0.0728643216080402
当たる,投げる,29,0.06651376146788991
当たる,振る,29,0.06531531531531531
当たる,選手,29,0.0640176600441501
サッカー,歯,29,0.06079664570230608
強打,相手,29,0.05991735537190083
打球,歯,29,0.058
ボール,強い,29,0.057539682539682536
練習,脱臼,29,0.05555555555555555
部,飛ぶ,29,0.05451127819548872
前歯,治療,29,0.04
前歯,打ち付ける,29,0.03972602739726028
サッカー,前歯,29,0.038461538461538464
友人,時間,28,0.12903225806451613
時間,足,28,0.11764705882352941
サッカー,相手,28,0.11428571428571428
床,教室,28,0.109375
床,手,28,0.09859154929577464
加える,時間,28,0.09556313993174062
場,破る,28,0.09210526315789473
くる,野球,28,0.08588957055214724
れる,顔,28,0.08358208955223881
強打,時間,28,0.07035175879396985
バッター,ボール,28,0.06572769953051644
口,手,28,0.06167400881057269
崩す,負傷,28,0.060215053763440864
強い,負傷,28,0.058823529411764705
イレギュラーバウンド,部,28,0.056910569105691054
廊下,歯,28,0.056910569105691054
しまう,負傷,28,0.05555555555555555
バッティング,部,28,0.055445544554455446
地面,歯,28,0.05415860735009671
くる,転倒,28,0.05394990366088632
れる,当たる,28,0.0498220640569395
当たる,顔,28,0.049557522123893805
前歯,接触,28,0.03679369250985545
前歯,打球,28,0.03598971722365039
ソフトボール,バッター,27,0.2903225806451613
下校,道路,27,0.17307692307692307
ぶつかる,頭,27,0.1569767441860465
加える,治療,27,0.1330049261083744
歯科,治療,27,0.1330049261083744
イレギュラーバウンド,野球,27,0.1267605633802817
バッティング,野球,27,0.11946902654867257
球,野球,27,0.11688311688311688
くる,走る,27,0.11392405063291139
床,廊下,27,0.1134453781512605
体育,運動,27,0.09574468085106383
折,運動,27,0.09342560553633218
時間,補綴,27,0.09246575342465753
時間,歯科,27,0.09183673469387756
場,折,27,0.08823529411764706
ぶつける,本,27,0.08626198083067092
強い,相手,27,0.08571428571428572
強打,教室,27,0.07297297297297298
打つ,自転車,27,0.06905370843989769
口,振る,27,0.06835443037974684
強打,手,27,0.0678391959798995
口,飛ぶ,27,0.0661764705882353
ボール,投げる,27,0.06279069767441861
休憩,転倒,27,0.06264501160092807
バッティング,当たる,27,0.06264501160092807
地面,負傷,27,0.06040268456375839
下校,負傷,27,0.05947136563876652
唇,歯,27,0.05708245243128964
イレギュラー,練習,27,0.056133056133056136
練習,頭,27,0.05304518664047151
練習,飛ぶ,27,0.05283757338551859
球,部,27,0.05283757338551859
欠損,部,27,0.05263157894736842
友人,歯,27,0.05018587360594796
バット,顔面,27,0.04695652173913043
時間,顔面,27,0.04607508532423208
足,部,27,0.045
前歯,折る,27,0.036834924965893585
バット,飛ぶ,26,0.15950920245398773
治療,補綴,26,0.12871287128712872
バット,手,26,0.12380952380952381
ハンドル,自転車,26,0.11764705882352941
ソフトボール,打つ,26,0.10655737704918032
バランス,床,26,0.09059233449477352
口元,試合,26,0.08783783783783784
れる,破る,26,0.0790273556231003
しまう,打つ,26,0.07761194029850746
折れる,相手,26,0.0771513353115727
イレギュラーバウンド,ボール,26,0.06326034063260341
口,守備,26,0.06310679611650485
負傷,頭,26,0.06175771971496437
打ちつける,転倒,26,0.06046511627906977
イレギュラー,当たる,26,0.06046511627906977
ボール,選手,26,0.05803571428571429
ソフトボール,当たる,26,0.05752212389380531
ボール,打球,26,0.05639913232104121
友人,負傷,26,0.05555555555555555
振る,練習,26,0.052104208416833664
接触,練習,26,0.051587301587301584
友人,当たる,26,0.05148514851485148
練習,顎,26,0.05078125
教室,歯,26,0.050682261208576995
折れる,転倒,26,0.04961832061068702
下校,歯,26,0.049429657794676805
部,頭,26,0.04878048780487805
前歯,膝,26,0.03494623655913978
出血,前歯,26,0.03494623655913978
前歯,行く,26,0.034482758620689655
バット,素振り,25,0.21739130434782608
守備,打球,25,0.17985611510791366
接触,相手,25,0.0984251968503937
時間,破る,25,0.09124087591240876
折,時間,25,0.09090909090909091
崩す,床,25,0.0880281690140845
しまう,折れる,25,0.08741258741258741
体育,場,25,0.08305647840531562
れる,折,25,0.0755287009063444
破る,顔,25,0.07507507507507508
くる,相手,25,0.07462686567164178
しまう,自転車,25,0.07142857142857142
強打,道路,25,0.07102272727272728
相手,顔,25,0.06775067750677506
床,本,25,0.06596306068601583
打つ,野球,25,0.06544502617801047
バッター,口,25,0.06476683937823834
打つ,相手,25,0.06443298969072164
口,選手,25,0.06157635467980296
下り坂,転倒,25,0.061124694376528114
ボール,衝突,25,0.056433408577878104
ソフトボール,ボール,25,0.056179775280898875
体育,強打,25,0.05605381165919283
イレギュラーバウンド,練習,25,0.05296610169491525
体育館,転倒,25,0.052854122621564484
口,足,25,0.052521008403361345
口唇,練習,25,0.051440329218107
手,転倒,25,0.05040322580645161
つく,顔面,25,0.04873294346978557
補綴,顔面,25,0.03793626707132018
加える,顔面,25,0.037821482602118005
歯科,顔面,25,0.037821482602118005
つまずく,前歯,25,0.033783783783783786
前歯,投げる,25,0.033288948069241014
搬送,救急,24,0.9230769230769231
捕る,球,24,0.2553191489361702
時間,遊ぶ,24,0.13714285714285715
れる,搬送,24,0.13333333333333333
れる,救急,24,0.13186813186813187
場,欠損,24,0.1276595744680851
バット,運動,24,0.10480349344978165
友人,足,24,0.100418410041841
野球,飛ぶ,24,0.0933852140077821
地面,顔,24,0.09230769230769231
体育,手,24,0.08955223880597014
サッカー,試合,24,0.08727272727272728
ぶつかる,本,24,0.0759493670886076
強打,顎,24,0.06779661016949153
相手,破る,24,0.06629834254143646
折,相手,24,0.06611570247933884
倒れる,強打,24,0.06575342465753424
折れる,試合,24,0.06575342465753424
本,破る,24,0.06557377049180328
れる,本,24,0.0646900269541779
前のめり,転倒,24,0.05783132530120482
つまずく,転倒,24,0.05741626794258373
イレギュラーバウンド,当たる,24,0.057007125890736345
転倒,顎,24,0.05333333333333334
友人,口,24,0.05263157894736842
口,時間,24,0.05228758169934641
脱臼,転倒,24,0.05183585313174946
ぶつかる,負傷,24,0.05063291139240506
チーム,練習,24,0.049281314168377825
練習,肘,24,0.04918032786885246
ぶつかる,転倒,24,0.04809619238476954
守備,歯,24,0.04809619238476954
人,歯,24,0.04743083003952569
イレギュラー,部,24,0.047337278106508875
前輪,顔面,24,0.047337278106508875
肘,部,24,0.046966731898238745
ノック,歯,24,0.046153846153846156
選手,顔面,24,0.0446927374301676
遊ぶ,顔面,24,0.044444444444444446
バランス,部,24,0.041025641025641026
ふざける,前歯,24,0.03247631935047361
ノック,捕る,23,0.1619718309859155
廊下,教室,23,0.1554054054054054
場,打球,23,0.1050228310502283
ブレーキ,自転車,23,0.1036036036036036
他校,試合,23,0.09583333333333334
ぶつかる,折れる,23,0.09055118110236221
ソフトボール,試合,23,0.08156028368794327
試合,頭,23,0.0798611111111111
くる,体育,23,0.07796610169491526
手,打つ,23,0.076158940397351
折れる,顔,23,0.07371794871794872
折,顔,23,0.06845238095238096
ぶつかる,試合,23,0.06784660766961652
試合,運動,23,0.06497175141242938
打つ,折,23,0.0647887323943662
くる,試合,23,0.06336088154269973
出血,口,23,0.05974025974025974
強打,走る,23,0.0583756345177665
チーム,ボール,23,0.053738317757009345
場,強打,23,0.052752293577981654
サッカー,当たる,23,0.051224944320712694
強打,折,23,0.05054945054945055
他校,練習,23,0.04946236559139785
ボール,脱臼,23,0.049145299145299144
出血,歯,23,0.04893617021276596
時間,負傷,23,0.04852320675105485
ボール,走る,23,0.0465587044534413
歯,飛ぶ,23,0.04627766599597585
取る,歯,23,0.04609218436873747
途中,顔面,23,0.045275590551181105
歯,脱臼,23,0.045098039215686274
取る,練習,23,0.04448742746615087
人,練習,23,0.04380952380952381
振る,部,23,0.04380952380952381
倒れる,練習,23,0.043726235741444866
サッカー,顔面,23,0.043560606060606064
衝突,部,23,0.043560606060606064
廊下,顔面,23,0.042435424354243544
倒れる,部,23,0.04189435336976321
脱臼,顔面,23,0.04144144144144144
体育,部,23,0.03645007923930269
前歯,欠ける,23,0.03159340659340659
前歯,追いかける,23,0.03112313937753721
イレギュラー,前歯,23,0.030913978494623656
つく,前歯,23,0.030789825970548863
出る,前歯,23,0.030789825970548863
ソフトボール,前歯,23,0.030026109660574413
前歯,守備,23,0.029601029601029602
休憩,友人,22,0.13836477987421383
欠損,運動,22,0.12716763005780346
手,滑る,22,0.10328638497652583
ぶつける,走る,22,0.10091743119266056
自転車,走行,22,0.1004566210045662
床,打ちつける,22,0.09777777777777778
イレギュラー,野球,22,0.09606986899563319
体育館,顔,22,0.0842911877394636
バッター,試合,22,0.08239700374531835
地面,打つ,22,0.07829181494661921
バランス,顔,22,0.07719298245614035
守備,試合,22,0.07482993197278912
滑る,自転車,22,0.0718954248366013
れる,場,22,0.06984126984126984
場,打つ,22,0.06528189910979229
れる,床,22,0.06340057636887608
強打,遊ぶ,22,0.061971830985915494
打つ,破る,22,0.061971830985915494
加える,床,22,0.06043956043956044
床,歯科,22,0.06043956043956044
折,本,22,0.05962059620596206
打つ,補綴,22,0.058666666666666666
加える,打つ,22,0.058355437665782495
打つ,歯科,22,0.058355437665782495
転倒,階段,22,0.05250596658711217
ボール,追いかける,22,0.052256532066508314
口,脱臼,22,0.051643192488262914
