単語,総出現回数,出現事例数,事例出現率（％）,頻度順位
夏季,3,3,0.1895,941
握る,3,3,0.1895,942
フレーム,3,3,0.1895,943
ダイビング,3,3,0.1895,944
フライング,3,3,0.1895,945
後衛,3,3,0.1895,946
速攻,3,3,0.1895,947
周,3,2,0.1263,948
幅,3,3,0.1895,949
女子,3,3,0.1895,950
ベッド,3,2,0.1263,951
信号,3,3,0.1895,952
後片付け,3,3,0.1895,953
引っかける,3,3,0.1895,954
取れる,3,3,0.1895,955
通りかかる,3,3,0.1895,956
宙,3,3,0.1895,957
マシン,3,3,0.1895,958
パンチ,3,3,0.1895,959
ピッチングマシーン,3,3,0.1895,960
裂ける,3,3,0.1895,961
鏡,3,3,0.1895,962
白線,3,2,0.1263,963
近寄る,3,3,0.1895,964
集合,3,3,0.1895,965
大量,3,3,0.1895,966
上着,3,2,0.1263,967
休業,3,3,0.1895,968
バッド,3,2,0.1263,969
近距離,3,3,0.1895,970
メートル,3,3,0.1895,971
程度,3,3,0.1895,972
亜,3,3,0.1895,973
亀裂,3,3,0.1895,974
笑う,3,2,0.1263,975
奥歯,3,3,0.1895,976
出入口,3,2,0.1263,977
ふる,3,3,0.1895,978
左足,3,3,0.1895,979
氷,3,2,0.1263,980
マネージャー,3,3,0.1895,981
至近,3,3,0.1895,982
乱取り,3,3,0.1895,983
ボクシング,3,3,0.1895,984
拳,3,3,0.1895,985
追突,3,3,0.1895,986
カバン,3,3,0.1895,987
巻き込む,3,3,0.1895,988
広い,3,3,0.1895,989
観察,3,3,0.1895,990
校外,3,3,0.1895,991
ミニ,3,2,0.1263,992
上履き,3,3,0.1895,993
箒,3,2,0.1263,994
芝生,3,2,0.1263,995
スマッシュ,3,3,0.1895,996
込む,3,3,0.1895,997
団,3,3,0.1895,998
最後,3,3,0.1895,999
続ける,3,3,0.1895,1000
予選,3,3,0.1895,1001
自主,3,3,0.1895,1002
ワン,3,3,0.1895,1003
ラクロス,3,2,0.1263,1004
動作,3,2,0.1263,1005
岩,3,2,0.1263,1006
ごっこ,3,3,0.1895,1007
やめる,3,3,0.1895,1008
帽子,3,1,0.0632,1009
落ち,3,3,0.1895,1010
腫れる,3,3,0.1895,1011
掴む,3,3,0.1895,1012
割れる,3,3,0.1895,1013
柱,3,3,0.1895,1014
卓球,3,3,0.1895,1015
片方,3,3,0.1895,1016
ファウルボール,3,3,0.1895,1017
捕手,3,2,0.1263,1018
おでこ,3,3,0.1895,1019
倒立,3,2,0.1263,1020
ダッシュ,3,3,0.1895,1021
訴える,3,3,0.1895,1022
傷める,3,3,0.1895,1023
捻挫,3,3,0.1895,1024
通行,3,3,0.1895,1025
校,3,3,0.1895,1026
休み,3,3,0.1895,1027
マンホール,3,3,0.1895,1028
室内,3,3,0.1895,1029
受け取る,3,3,0.1895,1030
二塁,3,3,0.1895,1031
背,3,3,0.1895,1032
杖,3,1,0.0632,1033
年,3,3,0.1895,1034
抜歯,3,3,0.1895,1035
横断,3,3,0.1895,1036
教科,3,3,0.1895,1037
春季,3,3,0.1895,1038
周囲,3,3,0.1895,1039
沿い,3,2,0.1263,1040
ピッチングマシン,3,3,0.1895,1041
ゲージ,3,1,0.0632,1042
空中,3,3,0.1895,1043
チアリーディング,3,3,0.1895,1044
脳貧血,3,3,0.1895,1045
A,3,3,0.1895,1046
外側,3,3,0.1895,1047
朝礼,3,2,0.1263,1048
取り,3,3,0.1895,1049
競り合う,3,3,0.1895,1050
境目,3,3,0.1895,1051
土台,3,3,0.1895,1052
擦過傷,3,3,0.1895,1053
弾み,3,3,0.1895,1054
縄跳び,3,3,0.1895,1055
余り,3,3,0.1895,1056
れっする,3,3,0.1895,1057
コーン,3,1,0.0632,1058
社会,3,2,0.1263,1059
飛びつく,3,3,0.1895,1060
回し,3,3,0.1895,1061
橋,3,3,0.1895,1062
欄干,3,2,0.1263,1063
凍結,3,3,0.1895,1064
いす,3,3,0.1895,1065
フェイント,3,3,0.1895,1066
棒引き,3,3,0.1895,1067
食いしばる,3,2,0.1263,1068
可能,3,3,0.1895,1069
製,3,3,0.1895,1070
木製,3,3,0.1895,1071
ファウルフライ,3,3,0.1895,1072
ダンベル,3,1,0.0632,1073
探す,2,2,0.1263,1074
(,2,2,0.1263,1075
裸足,2,2,0.1263,1076
上靴,2,2,0.1263,1077
ペットボトル,2,2,0.1263,1078
職員,2,2,0.1263,1079
駆け足,2,1,0.0632,1080
反転,2,2,0.1263,1081
伏せ,2,2,0.1263,1082
舗装,2,2,0.1263,1083
妹,2,1,0.0632,1084
急ぎ足,2,2,0.1263,1085
左端,2,2,0.1263,1086
生,2,2,0.1263,1087
医療,2,2,0.1263,1088
機関,2,2,0.1263,1089
後日,2,2,0.1263,1090
受講,2,2,0.1263,1091
休養,2,2,0.1263,1092
スライダー,2,2,0.1263,1093
胴上げ,2,1,0.0632,1094
気がつく,2,2,0.1263,1095
鍵,2,2,0.1263,1096
選択,2,2,0.1263,1097
足りる,2,2,0.1263,1098
話し合い,2,2,0.1263,1099
深い,2,2,0.1263,1100
歌う,2,2,0.1263,1101
攻め込む,2,2,0.1263,1102
判断,2,2,0.1263,1103
コーチ,2,1,0.0632,1104
危ない,2,2,0.1263,1105
暴投,2,2,0.1263,1106
役割,2,2,0.1263,1107
対応,2,2,0.1263,1108
飛びかかる,2,2,0.1263,1109
奪い合う,2,2,0.1263,1110
実験,2,2,0.1263,1111
テーブル,2,2,0.1263,1112
上体,2,2,0.1263,1113
止め,2,2,0.1263,1114
はさまる,2,2,0.1263,1115
不良,2,2,0.1263,1116
かたち,2,2,0.1263,1117
補習,2,2,0.1263,1118
看板,2,2,0.1263,1119
ひっかける,2,2,0.1263,1120
サボテン,2,2,0.1263,1121
くずす,2,2,0.1263,1122
巻込む,2,2,0.1263,1123
クランク,2,2,0.1263,1124
頭上,2,2,0.1263,1125
服,2,2,0.1263,1126
ロッカー,2,1,0.0632,1127
牛乳,2,2,0.1263,1128
話す,2,2,0.1263,1129
跳び箱,2,1,0.0632,1130
喧嘩,2,2,0.1263,1131
打ち合い,2,2,0.1263,1132
挟む,2,2,0.1263,1133
日常,2,2,0.1263,1134
プレイルーム,2,2,0.1263,1135
自陣,2,2,0.1263,1136
押し倒す,2,2,0.1263,1137
決勝,2,1,0.0632,1138
休む,2,2,0.1263,1139
歩,2,2,0.1263,1140
起こる,2,2,0.1263,1141
屋内,2,2,0.1263,1142
脳,2,2,0.1263,1143
生じる,2,2,0.1263,1144
稽古,2,2,0.1263,1145
旋盤,2,1,0.0632,1146
材,2,1,0.0632,1147
くぐる,2,2,0.1263,1148
取り付ける,2,2,0.1263,1149
金具,2,2,0.1263,1150
出過ぎる,2,2,0.1263,1151
さしかかる,2,2,0.1263,1152
空き缶,2,2,0.1263,1153
スポーク,2,2,0.1263,1154
挟,2,2,0.1263,1155
脱げる,2,2,0.1263,1156
樹木,2,2,0.1263,1157
上前,2,2,0.1263,1158
あがる,2,2,0.1263,1159
びっくり,2,2,0.1263,1160
拭く,2,2,0.1263,1161
やすい,2,2,0.1263,1162
ワックス,2,2,0.1263,1163
合図,2,2,0.1263,1164
乗せる,2,2,0.1263,1165
つかまえる,2,2,0.1263,1166
滑り降りる,2,2,0.1263,1167
着替える,2,2,0.1263,1168
駆け込む,2,2,0.1263,1169
ハーモニカ,2,1,0.0632,1170
回り,2,2,0.1263,1171
おりる,2,2,0.1263,1172
取りあう,2,2,0.1263,1173
磨く,2,2,0.1263,1174
股間,2,2,0.1263,1175
行進,2,2,0.1263,1176
一番,2,2,0.1263,1177
施設,2,2,0.1263,1178
下山,2,2,0.1263,1179
トンボ,2,2,0.1263,1180
アイスホッケー,2,2,0.1263,1181
とばす,2,2,0.1263,1182
路肩,2,2,0.1263,1183
乗用車,2,2,0.1263,1184
敷く,2,2,0.1263,1185
速い,2,2,0.1263,1186
安定,2,2,0.1263,1187
農業,2,2,0.1263,1188
機械,2,1,0.0632,1189
ワイヤー,2,2,0.1263,1190
洗う,2,2,0.1263,1191
扇風機,2,2,0.1263,1192
制服,2,2,0.1263,1193
対抗,2,2,0.1263,1194
受け渡し,2,2,0.1263,1195
スノーボード,2,1,0.0632,1196
プレーヤー,2,2,0.1263,1197
風,2,2,0.1263,1198
球体,2,2,0.1263,1199
勢,2,2,0.1263,1200
ピロティ,2,2,0.1263,1201
主治医,2,1,0.0632,1202
感じる,2,2,0.1263,1203
まね,2,2,0.1263,1204
前側,2,2,0.1263,1205
狭い,2,2,0.1263,1206
差しかかる,2,2,0.1263,1207
通行人,2,2,0.1263,1208
出発,2,2,0.1263,1209
後尾,2,1,0.0632,1210
促す,2,2,0.1263,1211
介助,2,2,0.1263,1212
オムツ,2,1,0.0632,1213
衣服,2,2,0.1263,1214
閉める,2,2,0.1263,1215
音,2,2,0.1263,1216
掛け,2,2,0.1263,1217
抑える,2,2,0.1263,1218
構内,2,2,0.1263,1219
けす,2,2,0.1263,1220
突く,2,2,0.1263,1221
消しゴム,2,2,0.1263,1222
スキップ,2,2,0.1263,1223
バス,2,2,0.1263,1224
土手,2,2,0.1263,1225
字,2,2,0.1263,1226
前衛,2,2,0.1263,1227
自ら,2,2,0.1263,1228
開ける,2,2,0.1263,1229
入学,2,2,0.1263,1230
かけあう,2,2,0.1263,1231
サークル,2,2,0.1263,1232
通り過ぎる,2,2,0.1263,1233
同様,2,2,0.1263,1234
陰,2,2,0.1263,1235
落ち葉,2,2,0.1263,1236
猫,2,2,0.1263,1237
コントロール,2,2,0.1263,1238
イレギュラーボール,2,2,0.1263,1239
腹筋,2,2,0.1263,1240
投,2,2,0.1263,1241
不意,2,2,0.1263,1242
フロアー,2,2,0.1263,1243
右折,2,2,0.1263,1244
反射,2,2,0.1263,1245
なくなる,2,2,0.1263,1246
走り去る,2,2,0.1263,1247
マラソン,2,2,0.1263,1248
片付ける,2,2,0.1263,1249
腹ばい,2,2,0.1263,1250
流れる,2,2,0.1263,1251
放り出す,2,2,0.1263,1252
別れ,2,2,0.1263,1253
会話,2,2,0.1263,1254
振り付け,2,2,0.1263,1255
迫る,2,2,0.1263,1256
直す,2,2,0.1263,1257
摩擦,2,2,0.1263,1258
ランチ,2,2,0.1263,1259
ルーム,2,2,0.1263,1260
すくう,2,2,0.1263,1261
ズボン,2,2,0.1263,1262
壁面,2,2,0.1263,1263
作る,2,2,0.1263,1264
多目的,2,2,0.1263,1265
手の甲,2,2,0.1263,1266
逃げ,2,2,0.1263,1267
オーバー,2,2,0.1263,1268
夕食,2,2,0.1263,1269
宿舎,2,2,0.1263,1270
出せる,2,2,0.1263,1271
実践,2,2,0.1263,1272
発砲,2,1,0.0632,1273
スチロール,2,1,0.0632,1274
真似,2,2,0.1263,1275
風呂,2,2,0.1263,1276
追い越す,2,2,0.1263,1277
バッグ,2,2,0.1263,1278
隅,2,2,0.1263,1279
移る,2,2,0.1263,1280
漕ぐ,2,2,0.1263,1281
点灯,2,2,0.1263,1282
結果,2,2,0.1263,1283
便座,2,2,0.1263,1284
視線,2,1,0.0632,1285
合わせる,2,2,0.1263,1286
そらす,2,2,0.1263,1287
座,2,2,0.1263,1288
手本,2,2,0.1263,1289
cm,2,2,0.1263,1290
遊動円木,2,1,0.0632,1291
全校,2,2,0.1263,1292
目隠し,2,1,0.0632,1293
鼻血,2,2,0.1263,1294
図書,2,2,0.1263,1295
土間,2,1,0.0632,1296
ふさがる,2,2,0.1263,1297
バギー,2,1,0.0632,1298
スクーター,2,1,0.0632,1299
貼る,2,2,0.1263,1300
キャンプ,2,2,0.1263,1301
多い,2,2,0.1263,1302
大型,2,2,0.1263,1303
庭,2,2,0.1263,1304
ぶら下がる,2,2,0.1263,1305
向う,2,2,0.1263,1306
阻止,2,2,0.1263,1307
記録,2,2,0.1263,1308
尻,2,2,0.1263,1309
全体,2,2,0.1263,1310
そこなう,2,2,0.1263,1311
ミニゲーム,2,2,0.1263,1312
コンクール,2,2,0.1263,1313
目的,2,2,0.1263,1314
到着,2,2,0.1263,1315
凍る,2,2,0.1263,1316
上り,2,2,0.1263,1317
補助,2,2,0.1263,1318
動かす,2,2,0.1263,1319
組み合う,2,2,0.1263,1320
鞄,2,1,0.0632,1321
子,2,2,0.1263,1322
加わる,2,2,0.1263,1323
ちょっかい,2,2,0.1263,1324
ガラス,2,1,0.0632,1325
借りる,2,2,0.1263,1326
身長,2,1,0.0632,1327
計,2,1,0.0632,1328
暗い,2,2,0.1263,1329
並列,2,2,0.1263,1330
クリア,2,2,0.1263,1331
フラッグ,2,2,0.1263,1332
担ぐ,2,1,0.0632,1333
半面,2,2,0.1263,1334
スタート,2,2,0.1263,1335
差,2,2,0.1263,1336
頭頂,2,2,0.1263,1337
頸椎,2,2,0.1263,1338
とり,2,2,0.1263,1339
入浴,2,2,0.1263,1340
道幅,2,2,0.1263,1341
草地,2,2,0.1263,1342
畑,2,2,0.1263,1343
サーキット,2,2,0.1263,1344
ころぶ,2,2,0.1263,1345
危険,2,2,0.1263,1346
対戦,2,2,0.1263,1347
いさかい,2,2,0.1263,1348
よい,2,2,0.1263,1349
症状,2,2,0.1263,1350
実施,2,2,0.1263,1351
反れる,2,2,0.1263,1352
暑い,2,2,0.1263,1353
器具,2,2,0.1263,1354
筋,2,2,0.1263,1355
トレ,2,2,0.1263,1356
シャフト,2,1,0.0632,1357
ボタン,2,1,0.0632,1358
左下,2,2,0.1263,1359
クラスメイト,2,2,0.1263,1360
右肩,2,2,0.1263,1361
頚部,2,2,0.1263,1362
掛かる,2,1,0.0632,1363
ひどい,2,2,0.1263,1364
泥,2,2,0.1263,1365
付き添う,2,1,0.0632,1366
ソフトテニス,2,1,0.0632,1367
植,2,2,0.1263,1368
経過,2,2,0.1263,1369
本校,2,2,0.1263,1370
型,2,2,0.1263,1371
平均,2,1,0.0632,1372
ボランティア,2,2,0.1263,1373
読む,2,2,0.1263,1374
紙芝居,2,1,0.0632,1375
ブランコ,2,1,0.0632,1376
こぎ,2,2,0.1263,1377
ムカデ,2,2,0.1263,1378
回収,2,2,0.1263,1379
送る,2,2,0.1263,1380
牽制,2,2,0.1263,1381
たまる,2,2,0.1263,1382
腰掛ける,2,2,0.1263,1383
朦朧,2,2,0.1263,1384
河川敷,2,2,0.1263,1385
当番,2,2,0.1263,1386
降雪,2,2,0.1263,1387
巻き上げる,2,1,0.0632,1388
軌道,2,2,0.1263,1389
半身,2,2,0.1263,1390
変える,2,2,0.1263,1391
マーク,2,1,0.0632,1392
頭痛,2,2,0.1263,1393
にくい,2,2,0.1263,1394
予行,2,2,0.1263,1395
張り合う,2,2,0.1263,1396
方,2,2,0.1263,1397
繋ぐ,2,1,0.0632,1398
とおせる,2,1,0.0632,1399
ぼる,2,1,0.0632,1400
塀,2,2,0.1263,1401
帰り道,2,2,0.1263,1402
横切る,2,2,0.1263,1403
時限,2,2,0.1263,1404
すり抜ける,2,2,0.1263,1405
フォロー,2,2,0.1263,1406
引っぱる,2,2,0.1263,1407
長距離,2,2,0.1263,1408
軟式,2,2,0.1263,1409
攻防,2,2,0.1263,1410
おんぶ,2,1,0.0632,1411
太鼓,2,1,0.0632,1412
リズム,2,2,0.1263,1413
帯,2,2,0.1263,1414
タッチ,2,2,0.1263,1415
左右,2,2,0.1263,1416
用具,2,2,0.1263,1417
重い,2,2,0.1263,1418
リング,2,2,0.1263,1419
フラ,2,1,0.0632,1420
フープ,2,1,0.0632,1421
モップ,2,1,0.0632,1422
ルール,2,2,0.1263,1423
ローラー,2,1,0.0632,1424
ガード,2,2,0.1263,1425
着用,2,2,0.1263,1426
減速,2,2,0.1263,1427
手元,2,2,0.1263,1428
パニック,2,2,0.1263,1429
被さる,2,2,0.1263,1430
まわる,2,2,0.1263,1431
競う,2,2,0.1263,1432
学,2,2,0.1263,1433
活,2,2,0.1263,1434
",",2,1,0.0632,1435
円,2,1,0.0632,1436
発,2,1,0.0632,1437
体験,2,2,0.1263,1438
投げ捨てる,2,2,0.1263,1439
フットボール,2,2,0.1263,1440
ラン,2,2,0.1263,1441
砕ける,2,2,0.1263,1442
三塁手,2,2,0.1263,1443
存在,2,2,0.1263,1444
施錠,2,1,0.0632,1445
出入り口,2,1,0.0632,1446
進入,2,2,0.1263,1447
どく,2,1,0.0632,1448
ギャラリー,2,1,0.0632,1449
抱える,2,2,0.1263,1450
反応,2,2,0.1263,1451
養護,2,2,0.1263,1452
掲示,2,2,0.1263,1453
困難,2,1,0.0632,1454
担当,2,1,0.0632,1455
講師,2,1,0.0632,1456
畳,2,1,0.0632,1457
抜かす,2,2,0.1263,1458
呼び掛ける,2,1,0.0632,1459
つながる,2,2,0.1263,1460
考査,2,1,0.0632,1461
矯正,2,2,0.1263,1462
針金,2,2,0.1263,1463
着,2,2,0.1263,1464
懸垂,2,2,0.1263,1465
口前,2,2,0.1263,1466
ドッヂビー,2,1,0.0632,1467
バーベル,2,1,0.0632,1468
下駄,2,1,0.0632,1469
箱,2,1,0.0632,1470
しっぽ,2,2,0.1263,1471
くう,2,2,0.1263,1472
スペース,2,2,0.1263,1473
背走,2,2,0.1263,1474
アパート,2,1,0.0632,1475
シャワー,2,1,0.0632,1476
のける,2,2,0.1263,1477
境界,2,2,0.1263,1478
か月,2,2,0.1263,1479
B,2,1,0.0632,1480
起立,2,1,0.0632,1481
保存,2,2,0.1263,1482
液,2,2,0.1263,1483
籠,2,2,0.1263,1484
近隣,2,2,0.1263,1485
虫,1,1,0.0632,1486
くぼむ,1,1,0.0632,1487
ヒューム,1,1,0.0632,1488
下水道,1,1,0.0632,1489
助走,1,1,0.0632,1490
排水,1,1,0.0632,1491
ころがす,1,1,0.0632,1492
摺り,1,1,0.0632,1493
偶然,1,1,0.0632,1494
かげ,1,1,0.0632,1495
認識,1,1,0.0632,1496
キャップ,1,1,0.0632,1497
余暇,1,1,0.0632,1498
追い抜く,1,1,0.0632,1499
跳ね,1,1,0.0632,1500
中学,1,1,0.0632,1501
百足,1,1,0.0632,1502
たつ,1,1,0.0632,1503
最初,1,1,0.0632,1504
のせる,1,1,0.0632,1505
アイススケート,1,1,0.0632,1506
氷上,1,1,0.0632,1507
歯ぐき,1,1,0.0632,1508
チャンス,1,1,0.0632,1509
守り,1,1,0.0632,1510
替わる,1,1,0.0632,1511
不在,1,1,0.0632,1512
外周,1,1,0.0632,1513
温水,1,1,0.0632,1514
ウォーター,1,1,0.0632,1515
捕まる,1,1,0.0632,1516
しゃがみこむ,1,1,0.0632,1517
踵,1,1,0.0632,1518
めがける,1,1,0.0632,1519
悪ふざけ,1,1,0.0632,1520
突き上げる,1,1,0.0632,1521
伝い,1,1,0.0632,1522
人数,1,1,0.0632,1523
ほしい,1,1,0.0632,1524
ひな壇,1,1,0.0632,1525
自動,1,1,0.0632,1526
販売,1,1,0.0632,1527
ブーツ,1,1,0.0632,1528
セービング,1,1,0.0632,1529
あびる,1,1,0.0632,1530
切傷,1,1,0.0632,1531
上半身,1,1,0.0632,1532
エラー,1,1,0.0632,1533
むく,1,1,0.0632,1534
死球,1,1,0.0632,1535
希望,1,1,0.0632,1536
手伝い,1,1,0.0632,1537
徹す,1,1,0.0632,1538
本塁,1,1,0.0632,1539
付き,1,1,0.0632,1540
けた,1,1,0.0632,1541
出かける,1,1,0.0632,1542
突破,1,1,0.0632,1543
春,1,1,0.0632,1544
下部,1,1,0.0632,1545
襟,1,1,0.0632,1546
周回,1,1,0.0632,1547
真似事,1,1,0.0632,1548
足技,1,1,0.0632,1549
立てかける,1,1,0.0632,1550
前後,1,1,0.0632,1551
くい込む,1,1,0.0632,1552
スクールバス,1,1,0.0632,1553
乗,1,1,0.0632,1554
リ,1,1,0.0632,1555
みつける,1,1,0.0632,1556
名前,1,1,0.0632,1557
気持ち,1,1,0.0632,1558
マンション,1,1,0.0632,1559
大変,1,1,0.0632,1560
窪む,1,1,0.0632,1561
スニーカー,1,1,0.0632,1562
画面,1,1,0.0632,1563
工事,1,1,0.0632,1564
かばう,1,1,0.0632,1565
す,1,1,0.0632,1566
高跳,1,1,0.0632,1567
びをしていたが,1,1,0.0632,1568
崩し,1,1,0.0632,1569
のめり込む,1,1,0.0632,1570
収穫,1,1,0.0632,1571
T,1,1,0.0632,1572
滑り台,1,1,0.0632,1573
とれる,1,1,0.0632,1574
打ち,1,1,0.0632,1575
片づける,1,1,0.0632,1576
戸締り,1,1,0.0632,1577
継ぐ,1,1,0.0632,1578
印刷物,1,1,0.0632,1579
もらえる,1,1,0.0632,1580
嫌がらせ,1,1,0.0632,1581
動揺,1,1,0.0632,1582
吹き抜け,1,1,0.0632,1583
いじめる,1,1,0.0632,1584
なぐる,1,1,0.0632,1585
教務,1,1,0.0632,1586
背中合わせ,1,1,0.0632,1587
びをしていたとき,1,1,0.0632,1588
この間,1,1,0.0632,1589
製造,1,1,0.0632,1590
バーベキュー,1,1,0.0632,1591
撒く,1,1,0.0632,1592
電動,1,1,0.0632,1593
ユニ,1,1,0.0632,1594
ホック,1,1,0.0632,1595
備える,1,1,0.0632,1596
コール,1,1,0.0632,1597
ウェイトトレーニング,1,1,0.0632,1598
プレス,1,1,0.0632,1599
持ち上がる,1,1,0.0632,1600
振盪,1,1,0.0632,1601
予想,1,1,0.0632,1602
フォーメーション,1,1,0.0632,1603
翌月,1,1,0.0632,1604
支台歯,1,1,0.0632,1605
切り替える,1,1,0.0632,1606
防ぐ,1,1,0.0632,1607
乱,1,1,0.0632,1608
格技,1,1,0.0632,1609
上段,1,1,0.0632,1610
工業,1,1,0.0632,1611
切削,1,1,0.0632,1612
締め付ける,1,1,0.0632,1613
力不足,1,1,0.0632,1614
製図,1,1,0.0632,1615
ギア,1,1,0.0632,1616
踏切,1,1,0.0632,1617
起伏,1,1,0.0632,1618
トンネル,1,1,0.0632,1619
標識,1,1,0.0632,1620
路地,1,1,0.0632,1621
迂回,1,1,0.0632,1622
円柱,1,1,0.0632,1623
民家,1,1,0.0632,1624
叩き,1,1,0.0632,1625
わきの下,1,1,0.0632,1626
くすぐる,1,1,0.0632,1627
文鎮,1,1,0.0632,1628
塗りたて,1,1,0.0632,1629
つむ,1,1,0.0632,1630
い,1,1,0.0632,1631
林道,1,1,0.0632,1632
進路,1,1,0.0632,1633
変更,1,1,0.0632,1634
山,1,1,0.0632,1635
頂上,1,1,0.0632,1636
行動,1,1,0.0632,1637
駆け出す,1,1,0.0632,1638
まわり,1,1,0.0632,1639
雪,1,1,0.0632,1640
積もる,1,1,0.0632,1641
ゆする,1,1,0.0632,1642
こ,1,1,0.0632,1643
更衣,1,1,0.0632,1644
タオル,1,1,0.0632,1645
下段,1,1,0.0632,1646
鼓笛隊,1,1,0.0632,1647
ドリル,1,1,0.0632,1648
吹く,1,1,0.0632,1649
言い合う,1,1,0.0632,1650
収まる,1,1,0.0632,1651
鍵盤,1,1,0.0632,1652
くわえる,1,1,0.0632,1653
バケツ,1,1,0.0632,1654
汲む,1,1,0.0632,1655
数学,1,1,0.0632,1656
話しかける,1,1,0.0632,1657
のしかかる,1,1,0.0632,1658
円盤,1,1,0.0632,1659
ポート,1,1,0.0632,1660
訪れる,1,1,0.0632,1661
自然,1,1,0.0632,1662
登山,1,1,0.0632,1663
立ち木,1,1,0.0632,1664
中学校,1,1,0.0632,1665
屋根,1,1,0.0632,1666
塁間,1,1,0.0632,1667
なおす,1,1,0.0632,1668
教える,1,1,0.0632,1669
メン,1,1,0.0632,1670
行なう,1,1,0.0632,1671
暴力,1,1,0.0632,1672
振るう,1,1,0.0632,1673
科学,1,1,0.0632,1674
蛍,1,1,0.0632,1675
幼虫,1,1,0.0632,1676
採取,1,1,0.0632,1677
用水,1,1,0.0632,1678
市民,1,1,0.0632,1679
会館,1,1,0.0632,1680
知らん顔,1,1,0.0632,1681
エッヂ,1,1,0.0632,1682
出会い,1,1,0.0632,1683
しら,1,1,0.0632,1684
緩やか,1,1,0.0632,1685
冬,1,1,0.0632,1686
建設,1,1,0.0632,1687
さび,1,1,0.0632,1688
ノー,1,1,0.0632,1689
壁際,1,1,0.0632,1690
ふり,1,1,0.0632,1691
うく,1,1,0.0632,1692
ばたつかせる,1,1,0.0632,1693
艇庫,1,1,0.0632,1694
きっかけ,1,1,0.0632,1695
走り抜ける,1,1,0.0632,1696
行方,1,1,0.0632,1697
仲間,1,1,0.0632,1698
並,1,1,0.0632,1699
総体,1,1,0.0632,1700
休暇,1,1,0.0632,1701
変化,1,1,0.0632,1702
ミス,1,1,0.0632,1703
向かい側,1,1,0.0632,1704
他者,1,1,0.0632,1705
ファールチップボール,1,1,0.0632,1706
箇所,1,1,0.0632,1707
しそこなう,1,1,0.0632,1708
硬球,1,1,0.0632,1709
刺殺,1,1,0.0632,1710
連係,1,1,0.0632,1711
転送,1,1,0.0632,1712
下敷き,1,1,0.0632,1713
冷やす,1,1,0.0632,1714
装着,1,1,0.0632,1715
許可,1,1,0.0632,1716
マンツーマン,1,1,0.0632,1717
受身,1,1,0.0632,1718
携帯,1,1,0.0632,1719
電話,1,1,0.0632,1720
耳障り,1,1,0.0632,1721
脅す,1,1,0.0632,1722
ローラースケート,1,1,0.0632,1723
リンク,1,1,0.0632,1724
でこぼこ,1,1,0.0632,1725
面す,1,1,0.0632,1726
砂防,1,1,0.0632,1727
街路,1,1,0.0632,1728
灯,1,1,0.0632,1729
ウレタン,1,1,0.0632,1730
水中,1,1,0.0632,1731
乗り,1,1,0.0632,1732
ろう,1,1,0.0632,1733
午後,1,1,0.0632,1734
単元,1,1,0.0632,1735
コンビニ,1,1,0.0632,1736
買い物,1,1,0.0632,1737
それぞれ,1,1,0.0632,1738
安全,1,1,0.0632,1739
連れる,1,1,0.0632,1740
交換,1,1,0.0632,1741
替える,1,1,0.0632,1742
個室,1,1,0.0632,1743
アコーディオン,1,1,0.0632,1744
カーテン,1,1,0.0632,1745
開く,1,1,0.0632,1746
臥,1,1,0.0632,1747
傾姿勢,1,1,0.0632,1748
鉄柵,1,1,0.0632,1749
転げ落ちる,1,1,0.0632,1750
処置,1,1,0.0632,1751
流す,1,1,0.0632,1752
にる,1,1,0.0632,1753
髪,1,1,0.0632,1754
慌てる,1,1,0.0632,1755
隠す,1,1,0.0632,1756
保育,1,1,0.0632,1757
立て,1,1,0.0632,1758
片側,1,1,0.0632,1759
取手,1,1,0.0632,1760
U,1,1,0.0632,1761
青,1,1,0.0632,1762
腕立て伏せ,1,1,0.0632,1763
歌,1,1,0.0632,1764
つっかかる,1,1,0.0632,1765
小石,1,1,0.0632,1766
ノルマ,1,1,0.0632,1767
かくれんぼ,1,1,0.0632,1768
世界,1,1,0.0632,1769
地図,1,1,0.0632,1770
からかう,1,1,0.0632,1771
小学生,1,1,0.0632,1772
飛び出る,1,1,0.0632,1773
四肢,1,1,0.0632,1774
飛び越す,1,1,0.0632,1775
とびでる,1,1,0.0632,1776
原因,1,1,0.0632,1777
つかみ合う,1,1,0.0632,1778
着ける,1,1,0.0632,1779
仮装,1,1,0.0632,1780
えり,1,1,0.0632,1781
研修,1,1,0.0632,1782
アップ,1,1,0.0632,1783
鍛える,1,1,0.0632,1784
連打,1,1,0.0632,1785
薄れる,1,1,0.0632,1786
チップ,1,1,0.0632,1787
遠い,1,1,0.0632,1788
空手,1,1,0.0632,1789
くらむ,1,1,0.0632,1790
消失,1,1,0.0632,1791
呼び出す,1,1,0.0632,1792
もみ合う,1,1,0.0632,1793
はみ出る,1,1,0.0632,1794
見通し,1,1,0.0632,1795
ふた,1,1,0.0632,1796
穴,1,1,0.0632,1797
つま先,1,1,0.0632,1798
巻きこむ,1,1,0.0632,1799
違和感,1,1,0.0632,1800
薄暗い,1,1,0.0632,1801
車体,1,1,0.0632,1802
灰色,1,1,0.0632,1803
故障,1,1,0.0632,1804
差す,1,1,0.0632,1805
血,1,1,0.0632,1806
跳び越す,1,1,0.0632,1807
おどる,1,1,0.0632,1808
