項目数,項目集合,事例数,支持度,支持度（％）
2,場合別2=体育的部活動 | 被災学校種=中,129,0.08149084017687934,8.1491
2,場合別2=体育的部活動 | 被災学年=3,129,0.08149084017687934,8.1491
2,和暦=平成 | 給付年度=19,127,0.08022741629816804,8.0227
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=中,126,0.07959570435881239,7.9596
2,被災学年=3 | 被災学校種=中,126,0.07959570435881239,7.9596
2,場合別1=課外指導 | 発生場所2=体育館・屋内運動場,120,0.07580543272267846,7.5805
2,場合別2=体育的部活動 | 発生場所2=体育館・屋内運動場,119,0.07517372078332281,7.5174
2,発生場所1=学校外（園外） | 発生場所2=学校外運動場・競技場,119,0.07517372078332281,7.5174
2,性別=女 | 被災学年=2,118,0.07454200884396715,7.4542
2,場合別1=通学中 | 場合別2=登校（登園）中,117,0.0739102969046115,7.391
2,場合別2=登校（登園）中 | 発生場所1=学校外（園外）,117,0.0739102969046115,7.391
2,場合別1=課外指導 | 発生場所2=学校外運動場・競技場,116,0.07327858496525584,7.3279
2,場合別2=体育的部活動 | 発生場所2=学校外運動場・競技場,116,0.07327858496525584,7.3279
2,和暦=令和 | 場合別1=課外指導,116,0.07327858496525584,7.3279
2,和暦=平成 | 場合別2=下校（降園）中,115,0.07264687302590019,7.2647
2,発生場所1=学校外（園外） | 被災学年=3,115,0.07264687302590019,7.2647
2,発生場所2=運動場・校庭（園庭） | 被災学校種=中,115,0.07264687302590019,7.2647
2,和暦=平成 | 給付年度=18,115,0.07264687302590019,7.2647
2,被災学年=1 | 被災学校種=中,114,0.07201516108654453,7.2015
2,場合別2=登校（登園）中 | 発生場所2=道路,113,0.07138344914718889,7.1383
2,和暦=令和 | 場合別2=体育的部活動,113,0.07138344914718889,7.1383
2,場合別1=各教科等 | 発生場所1=学校内・校舎内（園内・園舎内）,111,0.07012002526847758,7.012
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学校種=小,111,0.07012002526847758,7.012
2,性別=男 | 発生場所2=学校外運動場・競技場,111,0.07012002526847758,7.012
2,場合別1=休憩時間 | 被災学校種=小,110,0.06948831332912192,6.9488
2,性別=女 | 被災学年=3,110,0.06948831332912192,6.9488
2,性別=女 | 被災学校種=中,108,0.06822488945041061,6.8225
2,発生場所2=学校外運動場・競技場 | 被災学校種=高,107,0.06759317751105495,6.7593
2,和暦=平成 | 給付年度=20,107,0.06759317751105495,6.7593
2,和暦=平成 | 給付年度=17,106,0.06696146557169931,6.6961
2,場合別2=登校（登園）中 | 通学方法=自転車,106,0.06696146557169931,6.6961
2,和暦=令和 | 発生場所1=学校内・校舎外（園内・園舎外）,106,0.06696146557169931,6.6961
2,場合別1=各教科等 | 発生場所1=学校内・校舎外（園内・園舎外）,105,0.06632975363234365,6.633
2,和暦=平成 | 給付年度=22,105,0.06632975363234365,6.633
2,発生場所2=道路 | 被災学年=1,104,0.065698041692988,6.5698
2,性別=女 | 発生場所1=学校内・校舎外（園内・園舎外）,103,0.06506632975363234,6.5066
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学年=1,103,0.06506632975363234,6.5066
2,場合別1=各教科等 | 被災学校種=高,103,0.06506632975363234,6.5066
2,場合別2=下校（降園）中 | 通学方法=自転車,103,0.06506632975363234,6.5066
2,場合別1=課外指導 | 性別=女,102,0.06443461781427669,6.4435
2,和暦=平成 | 給付年度=21,102,0.06443461781427669,6.4435
2,和暦=平成 | 発生場所2=学校外運動場・競技場,101,0.06380290587492103,6.3803
2,性別=女 | 発生場所2=道路,100,0.06317119393556538,6.3171
2,性別=女 | 被災学年=1,100,0.06317119393556538,6.3171
2,場合別1=通学中 | 被災学年=1,100,0.06317119393556538,6.3171
2,和暦=平成 | 競技種目=バスケットボール,99,0.06253948199620973,6.2539
2,和暦=令和 | 発生場所2=運動場・校庭（園庭）,99,0.06253948199620973,6.2539
2,場合別2=体育的部活動 | 性別=女,98,0.06190777005685408,6.1908
2,場合別1=通学中 | 性別=女,97,0.06127605811749842,6.1276
2,発生場所1=学校外（園外） | 被災学校種=中,97,0.06127605811749842,6.1276
2,場合別2=体育（保健体育） | 発生場所1=学校内・校舎外（園内・園舎外）,96,0.060644346178142766,6.0644
2,発生場所1=学校内・校舎内（園内・園舎内） | 発生場所2=廊下,96,0.060644346178142766,6.0644
2,性別=男 | 給付年度=19,96,0.060644346178142766,6.0644
2,場合別1=各教科等 | 発生場所2=運動場・校庭（園庭）,95,0.06001263423878711,6.0013
2,被災学年=1 | 通学方法=自転車,95,0.06001263423878711,6.0013
2,場合別1=休憩時間 | 場合別2=休憩時間中,94,0.05938092229943146,5.9381
2,場合別1=各教科等 | 被災学年=3,94,0.05938092229943146,5.9381
2,場合別2=体育（保健体育） | 被災学校種=高,94,0.05938092229943146,5.9381
2,性別=女 | 発生場所2=運動場・校庭（園庭）,93,0.058749210360075806,5.8749
2,性別=女 | 被災学校種=小,93,0.058749210360075806,5.8749
2,和暦=平成 | 給付年度=23,93,0.058749210360075806,5.8749
2,和暦=平成 | 給付年度=27,93,0.058749210360075806,5.8749
2,和暦=令和 | 被災学年=1,93,0.058749210360075806,5.8749
2,和暦=令和 | 被災学年=2,92,0.05811749842072015,5.8117
2,場合別2=下校（降園）中 | 性別=男,91,0.0574857864813645,5.7486
2,発生場所2=体育館・屋内運動場 | 被災学年=2,90,0.056854074542008845,5.6854
2,場合別1=各教科等 | 発生場所2=体育館・屋内運動場,89,0.05622236260265319,5.6222
2,和暦=平成 | 場合別2=登校（登園）中,89,0.05622236260265319,5.6222
2,場合別2=体育（保健体育） | 発生場所2=運動場・校庭（園庭）,89,0.05622236260265319,5.6222
2,和暦=平成 | 給付年度=26,89,0.05622236260265319,5.6222
2,場合別2=体育（保健体育） | 発生場所1=学校内・校舎内（園内・園舎内）,88,0.05559065066329753,5.5591
2,場合別1=休憩時間 | 発生場所1=学校内・校舎外（園内・園舎外）,88,0.05559065066329753,5.5591
2,場合別1=課外指導 | 競技種目=バスケットボール,87,0.054958938723941884,5.4959
2,場合別2=体育的部活動 | 競技種目=バスケットボール,87,0.054958938723941884,5.4959
2,性別=男 | 競技種目=バスケットボール,87,0.054958938723941884,5.4959
2,場合別1=休憩時間 | 被災学校種=中,87,0.054958938723941884,5.4959
2,場合別2=体育（保健体育） | 発生場所2=体育館・屋内運動場,86,0.05432722678458623,5.4327
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=小,85,0.05369551484523057,5.3696
2,発生場所2=道路 | 被災学年=2,85,0.05369551484523057,5.3696
2,発生場所1=学校内・校舎内（園内・園舎内） | 競技種目=バスケットボール,84,0.053063802905874924,5.3064
2,場合別1=通学中 | 被災学年=2,83,0.05243209096651927,5.2432
2,和暦=令和 | 発生場所1=学校外（園外）,83,0.05243209096651927,5.2432
2,性別=男 | 給付年度=17,82,0.05180037902716361,5.18
2,場合別1=休憩時間 | 発生場所2=運動場・校庭（園庭）,82,0.05180037902716361,5.18
