列名,値,件数,割合（％）,列内順位
発生場所2,公園・遊園地,12,0.7581,12
発生場所2,便所,9,0.5685,13
発生場所2,実習実験室,8,0.5054,14
発生場所2,昇降口・玄関,6,0.379,15
発生場所2,河川,5,0.3159,16
発生場所2,講堂,3,0.1895,17
発生場所2,海・湖・沼・池,2,0.1263,18
遊具等,（欠損）,1545,97.5995,1
遊具等,鉄棒,12,0.7581,2
遊具等,すべり台,5,0.3159,3
遊具等,その他,5,0.3159,4
遊具等,ぶらんこ,4,0.2527,5
遊具等,シーソー,4,0.2527,6
遊具等,雲てい,3,0.1895,7
遊具等,ジャングルジム,3,0.1895,8
遊具等,遊動円木,1,0.0632,9
遊具等,登り棒,1,0.0632,10
Step7_入力元カテゴリ,歯牙障害,1583,100.0,1
Step7_歯牙障害フラグ,1,1583,100.0,1
