前件,後件,項目数,共起事例数,支持度,信頼度,lift
場合別1=休憩時間 | 発生場所2=運動場・校庭（園庭）,場合別2=授業終了後の特定時間中,3,21,0.013265950726468731,0.25609756097560976,7.239329268292683
場合別2=登校（登園）中,場合別1=通学中 | 被災学年=3,3,34,0.02147820593809223,0.2905982905982906,7.1877670940170955
場合別1=通学中 | 被災学年=3,場合別2=登校（登園）中,3,34,0.02147820593809223,0.53125,7.187767094017094
競技種目=バスケットボール,場合別2=体育的部活動 | 発生場所2=体育館・屋内運動場,3,60,0.03790271636133923,0.5357142857142857,7.126350540216086
場合別2=体育的部活動 | 発生場所2=体育館・屋内運動場,競技種目=バスケットボール,3,60,0.03790271636133923,0.5042016806722689,7.126350540216086
場合別2=体育（保健体育）,場合別1=各教科等 | 性別=男,3,140,0.08843967150979154,0.7291666666666666,7.125128600823046
場合別1=各教科等 | 性別=男,場合別2=体育（保健体育）,3,140,0.08843967150979154,0.8641975308641975,7.125128600823045
競技種目=バレーボール,場合別2=体育的部活動 | 発生場所2=体育館・屋内運動場,3,23,0.014529374605180037,0.5348837209302325,7.115301934727379
場合別1=通学中 | 性別=女,場合別2=登校（登園）中,3,51,0.032217308907138344,0.5257731958762887,7.113666402326197
場合別2=登校（登園）中,場合別1=通学中 | 性別=女,3,51,0.032217308907138344,0.4358974358974359,7.113666402326196
場合別2=登校（登園）中 | 被災学年=1,通学方法=自転車,3,42,0.026531901452937462,0.9767441860465116,7.092596543631321
競技種目=ソフトボール,場合別2=体育（保健体育） | 性別=男,3,47,0.02969046114971573,0.6266666666666667,7.085809523809524
場合別2=体育（保健体育） | 性別=男,競技種目=ソフトボール,3,47,0.02969046114971573,0.3357142857142857,7.085809523809523
通学方法=自転車,場合別2=下校（降園）中 | 被災学校種=高,3,77,0.04864181933038535,0.3532110091743119,7.0776332597839975
場合別2=下校（降園）中 | 被災学校種=高,通学方法=自転車,3,77,0.04864181933038535,0.9746835443037974,7.0776332597839975
場合別1=課外指導 | 発生場所2=体育館・屋内運動場,競技種目=バスケットボール,3,60,0.03790271636133923,0.5,7.066964285714286
競技種目=バスケットボール,場合別1=課外指導 | 発生場所2=体育館・屋内運動場,3,60,0.03790271636133923,0.5357142857142857,7.066964285714285
競技種目=バレーボール,場合別1=課外指導 | 発生場所2=体育館・屋内運動場,3,23,0.014529374605180037,0.5348837209302325,7.056007751937983
通学方法=自転車,場合別1=通学中 | 被災学校種=高,3,160,0.10107391029690461,0.7339449541284404,6.9990051950922965
場合別1=通学中 | 被災学校種=高,通学方法=自転車,3,160,0.10107391029690461,0.963855421686747,6.999005195092296
通学方法=自転車,場合別2=登校（登園）中 | 被災学校種=高,3,79,0.04990524320909665,0.3623853211009174,6.995804430521369
場合別2=登校（登園）中 | 被災学校種=高,通学方法=自転車,3,79,0.04990524320909665,0.9634146341463414,6.995804430521369
給付年度=5,和暦=令和 | 被災学年=2,3,17,0.010739102969046115,0.40476190476190477,6.964544513457557
発生場所2=廊下,場合別2=休憩時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,3,27,0.017056222362602652,0.28125,6.956542968750001
場合別2=休憩時間中 | 発生場所1=学校内・校舎内（園内・園舎内）,発生場所2=廊下,3,27,0.017056222362602652,0.421875,6.95654296875
場合別2=昼食時休憩時間中,場合別1=休憩時間 | 性別=男,3,58,0.03663929248262792,0.7631578947368421,6.942982456140351
場合別2=昼食時休憩時間中,場合別1=休憩時間 | 発生場所2=教室（保育室）,3,17,0.010739102969046115,0.2236842105263158,6.942982456140351
場合別1=休憩時間 | 性別=男,場合別2=昼食時休憩時間中,3,58,0.03663929248262792,0.3333333333333333,6.94298245614035
場合別1=休憩時間 | 発生場所2=教室（保育室）,場合別2=昼食時休憩時間中,3,17,0.010739102969046115,0.3333333333333333,6.94298245614035
場合別1=各教科等 | 給付年度=29,場合別2=体育（保健体育）,3,16,0.01010739102969046,0.8421052631578947,6.94298245614035
場合別2=登校（登園）中 | 被災学校種=中,通学方法=自転車,3,21,0.013265950726468731,0.9545454545454546,6.9314011676397005
通学方法=自転車,場合別1=通学中 | 被災学年=1,3,95,0.06001263423878711,0.43577981651376146,6.898394495412845
場合別1=通学中 | 被災学年=1,通学方法=自転車,3,95,0.06001263423878711,0.95,6.898394495412844
場合別1=通学中 | 給付年度=18,通学方法=自転車,3,19,0.012002526847757423,0.95,6.898394495412844
被災学年=6,発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=小,3,20,0.012634238787113077,0.37037037037037035,6.89760348583878
発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=小,被災学年=6,3,20,0.012634238787113077,0.23529411764705882,6.89760348583878
発生場所2=道路 | 給付年度=18,通学方法=自転車,3,18,0.011370814908401769,0.9473684210526315,6.8792853693867695
場合別2=登校（登園）中,発生場所2=道路 | 被災学年=3,3,33,0.020846493998736577,0.28205128205128205,6.8690335305719925
発生場所2=道路 | 被災学年=3,場合別2=登校（登園）中,3,33,0.020846493998736577,0.5076923076923077,6.869033530571992
給付年度=2,和暦=令和 | 被災学年=1,3,29,0.01831964624131396,0.4027777777777778,6.855884109916368
和暦=令和 | 被災学年=1,給付年度=2,3,29,0.01831964624131396,0.3118279569892473,6.855884109916368
給付年度=1,和暦=令和 | 被災学年=3,3,18,0.011370814908401769,0.2857142857142857,6.852813852813852
和暦=令和 | 被災学年=3,給付年度=1,3,18,0.011370814908401769,0.2727272727272727,6.852813852813852
通学方法=自転車,場合別2=登校（登園）中 | 性別=女,3,48,0.030322173089071383,0.22018348623853212,6.834322719913654
場合別2=登校（登園）中 | 性別=女,通学方法=自転車,3,48,0.030322173089071383,0.9411764705882353,6.834322719913653
発生場所2=道路 | 給付年度=23,通学方法=自転車,3,16,0.01010739102969046,0.9411764705882353,6.834322719913653
発生場所2=道路 | 被災学校種=高,通学方法=自転車,3,159,0.10044219835754896,0.9408284023668639,6.831795233700668
通学方法=自転車,発生場所2=道路 | 被災学校種=高,3,159,0.10044219835754896,0.7293577981651376,6.831795233700667
被災学年=5,性別=男 | 被災学校種=小,3,38,0.024005053695514846,0.6551724137931034,6.823275862068965
性別=男 | 被災学校種=小,被災学年=5,3,38,0.024005053695514846,0.25,6.823275862068965
給付年度=5,和暦=令和 | 場合別1=課外指導,3,21,0.013265950726468731,0.5,6.823275862068965
和暦=令和 | 被災学校種=高,給付年度=4,3,34,0.02147820593809223,0.21518987341772153,6.812911392405065
給付年度=4,和暦=令和 | 被災学校種=高,3,34,0.02147820593809223,0.68,6.812911392405064
場合別1=各教科等,場合別2=体育（保健体育） | 発生場所1=学校内・校舎内（園内・園舎内）,3,88,0.05559065066329753,0.3776824034334764,6.793991416309014
場合別2=体育（保健体育）,場合別1=各教科等,2,192,0.12128869235628553,1.0,6.793991416309013
場合別1=各教科等,場合別2=体育（保健体育）,2,192,0.12128869235628553,0.8240343347639485,6.793991416309013
和暦=平成 | 場合別2=体育（保健体育）,場合別1=各教科等,3,153,0.09665192672141504,1.0,6.793991416309013
場合別1=各教科等,場合別2=体育（保健体育） | 性別=男,3,140,0.08843967150979154,0.6008583690987125,6.793991416309013
場合別2=体育（保健体育） | 性別=男,場合別1=各教科等,3,140,0.08843967150979154,1.0,6.793991416309013
