順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
866,巻き込む,最寄り駅,0.166667,1,3,4,6,1583
867,巻き込む,行事,0.166667,1,3,4,6,1583
868,巻き込む,軽い,0.166667,1,3,4,6,1583
869,帰り,教諭,0.166667,1,4,3,6,1583
870,帰り,７,0.166667,1,4,3,6,1583
871,幅,覆う,0.166667,1,3,4,6,1583
872,年,見学,0.166667,1,3,4,6,1583
873,年生,発表,0.166667,1,4,3,6,1583
874,引っかける,躓く,0.166667,1,3,4,6,1583
875,弾み,驚く,0.166667,1,3,4,6,1583
876,後片付け,追いつく,0.166667,1,3,4,6,1583
877,怪我,跳ね上がる,0.166667,1,3,4,6,1583
878,扉,最後,0.166667,1,4,3,6,1583
879,扉,管,0.166667,1,4,3,6,1583
880,手前,～,0.166667,1,4,3,6,1583
881,持久走,触れる,0.166667,1,4,3,6,1583
882,振り上げる,走り高跳び,0.166667,1,3,4,6,1583
883,振り払う,昼,0.166667,1,4,3,6,1583
884,捻挫,病院,0.166667,1,3,4,6,1583
885,接近,生活,0.166667,1,3,4,6,1583
886,接近,続く,0.166667,1,3,4,6,1583
887,接近,追いつく,0.166667,1,3,4,6,1583
888,握る,支援,0.166667,1,3,4,6,1583
889,握る,特別,0.166667,1,3,4,6,1583
890,握る,車椅子,0.166667,1,3,4,6,1583
891,握る,進む,0.166667,1,3,4,6,1583
892,揺らす,浮く,0.166667,1,3,4,6,1583
893,擦りむく,横断,0.166667,1,4,3,6,1583
894,擦りむく,橋,0.166667,1,4,3,6,1583
895,擦りむく,通行,0.166667,1,4,3,6,1583
896,擦過傷,胸部,0.166667,1,3,4,6,1583
897,支援,続ける,0.166667,1,4,3,6,1583
898,支援,観察,0.166667,1,4,3,6,1583
899,攻撃,製,0.166667,1,4,3,6,1583
900,教諭,車椅子,0.166667,1,3,4,6,1583
901,昼,裏,0.166667,1,3,4,6,1583
902,最寄り駅,集合,0.166667,1,4,3,6,1583
903,最後,突き,0.166667,1,3,4,6,1583
904,木製,立てる,0.166667,1,3,4,6,1583
905,木製,見学,0.166667,1,3,4,6,1583
906,校外,見学,0.166667,1,3,4,6,1583
907,棒引き,駆け寄る,0.166667,1,3,4,6,1583
908,横断,班,0.166667,1,3,4,6,1583
909,母親,病院,0.166667,1,3,4,6,1583
910,母親,見学,0.166667,1,3,4,6,1583
911,班,研究,0.166667,1,4,3,6,1583
912,班,課題,0.166667,1,4,3,6,1583
913,班,追突,0.166667,1,4,3,6,1583
914,班,部位,0.166667,1,4,3,6,1583
915,理科,相撲,0.166667,1,4,3,6,1583
916,理科,管,0.166667,1,4,3,6,1583
917,生活,科,0.166667,1,4,3,6,1583
918,用水路,通行,0.166667,1,4,3,6,1583
919,病院,通行,0.166667,1,4,3,6,1583
920,発表,集会,0.166667,1,3,4,6,1583
921,監督,通りかかる,0.166667,1,4,3,6,1583
922,相撲,黒板,0.166667,1,3,4,6,1583
923,科,見学,0.166667,1,3,4,6,1583
924,空振り,～,0.166667,1,4,3,6,1583
925,突き,続ける,0.166667,1,4,3,6,1583
926,突き,返却,0.166667,1,4,3,6,1583
927,紐,逸れる,0.166667,1,3,4,6,1583
928,結ぶ,逸れる,0.166667,1,3,4,6,1583
929,続く,通行,0.166667,1,4,3,6,1583
930,置き場,追突,0.166667,1,4,3,6,1583
931,背,０,0.166667,1,3,4,6,1583
932,脳貧血,音楽,0.166667,1,3,4,6,1583
933,自由,駆ける,0.166667,1,4,3,6,1583
934,至近,重なる,0.166667,1,3,4,6,1583
935,行事,集合,0.166667,1,4,3,6,1583
936,裂創,７,0.166667,1,4,3,6,1583
937,裏,近距離,0.166667,1,4,3,6,1583
938,裏,通りかかる,0.166667,1,4,3,6,1583
939,覆う,鉄板,0.166667,1,4,3,6,1583
940,車椅子,７,0.166667,1,4,3,6,1583
941,軽い,集合,0.166667,1,4,3,6,1583
942,通りかかる,駆け寄る,0.166667,1,3,4,6,1583
943,バット,直撃,0.164835,30,113,99,182,1583
944,原因物:スポーツ用具,受傷部位:顎顔面,0.164021,155,527,573,945,1583
945,イレギュラーバウンド,ノック,0.163793,19,35,100,116,1583
946,負傷,転倒,0.162896,108,373,398,663,1583
947,口,野球,0.162887,79,359,205,485,1583
948,あう,ふざける,0.162791,7,8,42,43,1583
949,受傷部位:歯牙,負傷,0.161994,156,746,373,963,1583
950,ノック,捕る,0.161972,23,100,65,142,1583
951,操作,誤る,0.16129,5,10,26,31,1583
952,前輪,原因物:乗り物,0.161017,38,42,232,236,1583
953,受傷機転:衝突,相手,0.160819,55,186,211,342,1583
954,体育館,床,0.160643,40,100,189,249,1583
955,体育館,衝突対象:床,0.160643,40,100,189,249,1583
956,バット,体育,0.160494,39,113,169,243,1583
957,原因物:乗り物,地面,0.160279,46,232,101,287,1583
958,原因物:乗り物,衝突対象:地面,0.160279,46,232,101,287,1583
959,切れる,唇,0.16,12,31,56,75,1583
960,オフェンス,ディフェンス,0.16,4,6,23,25,1583
961,カーブ,濡れる,0.16,4,14,15,25,1583
962,出場,競技,0.16,4,9,20,25,1583
963,急,輪,0.16,4,20,9,25,1583
964,擦り傷,負う,0.16,4,5,24,25,1583
965,用水路,転落,0.16,4,4,25,25,1583
966,練習,顔面,0.159756,131,462,489,820,1583
967,バット,飛ぶ,0.159509,26,113,76,163,1583
968,ソフトボール,振る,0.159292,18,68,63,113,1583
969,歯,転倒,0.158184,115,444,398,727,1583
970,傷害結果:欠損,治療,0.157895,12,55,33,76,1583
971,欠損,治療,0.157895,12,55,33,76,1583
972,ネット,バック,0.157895,6,32,12,38,1583
973,ペダル,踏み外す,0.157895,3,12,10,19,1583
974,傘,校門,0.157895,3,16,6,19,1583
975,打者,空振り,0.157895,3,18,4,19,1583
976,床,転倒,0.157791,80,189,398,507,1583
977,衝突対象:床,転倒,0.157791,80,189,398,507,1583
978,ぶつかる,頭,0.156977,27,125,74,172,1583
979,トス,バッティング,0.156863,8,11,48,51,1583
980,ノック,原因物:スポーツ用具,0.156827,85,100,527,542,1583
981,登校,転倒,0.156398,66,90,398,422,1583
982,場所,清掃,0.15625,5,14,23,32,1583
983,廊下,教室,0.155405,23,76,95,148,1583
984,前歯,負傷,0.155227,147,721,373,947,1583
985,倒れる,床,0.154812,37,87,189,239,1583
986,倒れる,衝突対象:床,0.154812,37,87,189,239,1583
