順位,特徴1,特徴2,ジャッカード係数,共通出現事例数,特徴1出現事例数,特徴2出現事例数,和集合事例数,対象事例数
267,ダブルス,ラケット,0.259259,21,32,70,81,7682
268,原因物:スポーツ用具,眼,0.259054,701,1934,1473,2706,7682
269,剣道,竹刀,0.258065,8,27,12,31,7682
270,引火,火,0.258065,8,17,22,31,7682
271,原因物:スポーツ用具,受傷部位:眼,0.257163,736,1934,1664,2862,7682
272,マット,転,0.256684,48,155,80,187,7682
273,れる,搬送,0.256447,358,1340,414,1396,7682
274,れる,救急,0.25608,358,1340,416,1398,7682
275,機能,脳,0.256,64,222,92,250,7682
276,心室,植え込む,0.255814,11,13,41,43,7682
277,ICD,心肺,0.254098,31,57,96,122,7682
278,圧迫,後日,0.253968,32,73,85,126,7682
279,プール,底,0.253333,38,102,86,150,7682
280,原因物:スポーツ用具,部,0.252945,859,1934,2321,3396,7682
281,圧迫,除,0.252033,31,73,81,123,7682
282,植込み,病院,0.251852,68,75,263,270,7682
283,高次,麻痺,0.25,31,63,92,124,7682
284,後日,蘇生,0.25,30,85,65,120,7682
285,生活,科,0.25,21,42,63,84,7682
286,ハンドル,操作,0.25,20,68,32,80,7682
287,操作,衝突対象:自転車部品,0.25,20,32,68,80,7682
288,バー,走り高跳び,0.25,12,31,29,48,7682
289,119,養護,0.25,9,26,19,36,7682
290,縄,縄跳び,0.25,9,15,30,36,7682
291,熱湯,鍋,0.25,8,16,24,32,7682
292,装着,解析,0.25,7,25,10,28,7682
293,残る,治療,0.248932,233,797,372,936,7682
294,後日,心肺,0.248276,36,85,96,145,7682
295,原因物:乗り物,搬送,0.248193,206,622,414,830,7682
296,コート,テニス,0.248175,34,98,73,137,7682
297,歩く,行動:移動,0.248036,221,221,891,891,7682
298,バウンド,ワン,0.246377,17,68,18,69,7682
299,植え込む,番,0.246154,16,41,40,65,7682
300,圧迫,細,0.246032,31,73,84,126,7682
301,ボール,眼,0.245875,611,1623,1473,2485,7682
302,動,圧迫,0.244094,31,85,73,127,7682
303,摘出,精巣,0.243243,9,17,29,37,7682
304,AED,病院,0.243151,71,100,263,292,7682
305,ネット,防,0.243094,44,180,45,181,7682
306,ボール,受傷部位:眼,0.241314,639,1623,1664,2648,7682
307,機能,障害,0.240088,109,222,341,454,7682
308,スキー,滑走,0.24,12,41,21,50,7682
309,スマッシュ,バドミントン,0.238095,30,39,117,126,7682
310,ベース,ホーム,0.238095,15,52,26,63,7682
311,丸,盤,0.238095,5,10,16,21,7682
312,転落,階,0.236948,59,174,134,249,7682
313,ショック,結果,0.236842,9,23,24,38,7682
314,通報,養護,0.236842,9,28,19,38,7682
315,胸骨,要請,0.236111,17,39,50,72,7682
316,手術,搬送,0.233937,142,335,414,607,7682
317,睾丸,精巣,0.233333,14,45,29,60,7682
318,打球,野球,0.232749,199,352,702,855,7682
319,反応,呼びかける,0.232558,10,36,17,43,7682
320,感じる,痛み,0.231959,45,68,171,194,7682
321,名,数,0.230769,54,107,181,234,7682
322,ショック,装着,0.230769,9,23,25,39,7682
323,宿泊,集団,0.230769,9,27,21,39,7682
324,宙,浮く,0.230769,6,11,21,26,7682
