種別,発生場所1,発生場所2,件数,カテゴリ内割合（％）,全体割合（％）,カテゴリ内順位,カテゴリ合計件数,全体件数
手指切断・機能障害,学校内・校舎内（園内・園舎内）,廊下,23,4.57,0.3,5,503,7682
手指切断・機能障害,学校外（園外）,その他,23,4.57,0.3,5,503,7682
手指切断・機能障害,学校外（園外）,学校外運動場・競技場,22,4.37,0.29,7,503,7682
手指切断・機能障害,学校内・校舎外（園内・園舎外）,その他,17,3.38,0.22,8,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,その他,16,3.18,0.21,9,503,7682
手指切断・機能障害,学校外（園外）,道路,16,3.18,0.21,9,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,便所,10,1.99,0.13,11,503,7682
手指切断・機能障害,学校外（園外）,学校外体育館,10,1.99,0.13,11,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,昇降口・玄関,6,1.19,0.08,13,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,階段,6,1.19,0.08,13,503,7682
手指切断・機能障害,学校外（園外）,海・湖・沼・池,6,1.19,0.08,13,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,ベランダ,3,0.6,0.04,16,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,遊戯室,3,0.6,0.04,16,503,7682
手指切断・機能障害,学校内・校舎外（園内・園舎外）,プール,2,0.4,0.03,18,503,7682
手指切断・機能障害,学校内・校舎外（園内・園舎外）,農場,2,0.4,0.03,18,503,7682
手指切断・機能障害,学校外（園外）,公園・遊園地,2,0.4,0.03,18,503,7682
手指切断・機能障害,学校外（園外）,山林野（含スキー場）,2,0.4,0.03,18,503,7682
手指切断・機能障害,学校外（園外）,運動場・校庭（園庭）,2,0.4,0.03,18,503,7682
手指切断・機能障害,学校内・校舎内（園内・園舎内）,屋上,1,0.2,0.01,23,503,7682
手指切断・機能障害,学校内・校舎外（園内・園舎外）,排水溝,1,0.2,0.01,23,503,7682
歯牙障害,学校内・校舎外（園内・園舎外）,運動場・校庭（園庭）,566,35.75,7.37,1,1583,7682
歯牙障害,学校外（園外）,道路,273,17.25,3.55,2,1583,7682
歯牙障害,学校内・校舎内（園内・園舎内）,体育館・屋内運動場,245,15.48,3.19,3,1583,7682
歯牙障害,学校外（園外）,学校外運動場・競技場,119,7.52,1.55,4,1583,7682
歯牙障害,学校内・校舎内（園内・園舎内）,廊下,96,6.06,1.25,5,1583,7682
歯牙障害,学校内・校舎内（園内・園舎内）,教室（保育室）,81,5.12,1.05,6,1583,7682
