語1,語2,共起事例数,Jaccard（ネットワーク重み）
ボール,選手,83,0.06207928197456993
れる,手,83,0.05236593059936909
れる,打つ,83,0.04862331575864089
バスケットボール,練習,83,0.04811594202898551
治療,練習,83,0.04457572502685284
人,部,83,0.03918791312559018
低下,機能,82,0.35344827586206895
保育,室,82,0.20603015075376885
治療,車,82,0.16498993963782696
手術,瘢痕,82,0.1527001862197393
打球,直撃,82,0.14285714285714285
廊下,教室,82,0.11832611832611832
バッティング,打つ,82,0.10499359795134443
時間,足,82,0.07186678352322524
れる,頭部,82,0.05852962169878658
外傷,練習,82,0.04786923525977817
病院,練習,82,0.04604154969118473
練習,頭,82,0.04542936288088643
大腿,部,82,0.043873729266987696
減退,部,82,0.04373333333333333
失う,部,82,0.042159383033419026
練習,足,82,0.04001952171791118
地面,部,82,0.0393852065321806
細,除,81,0.9642857142857143
動,除,81,0.9529411764705882
くる,ぶつかる,81,0.09246575342465753
運動,障害,81,0.08728448275862069
残る,走る,81,0.06221198156682028
打つ,残る,81,0.06022304832713755
れる,人,81,0.05617198335644938
相手,転倒,81,0.055064581917063225
試合,転倒,81,0.05389221556886228
負傷,蹴る,81,0.05232558139534884
当たる,手,81,0.04692931633835458
動,搬送,80,0.20304568527918782
つく,手,80,0.11904761904761904
打つ,打球,80,0.09768009768009768
チーム,ボール,80,0.062402496099843996
ネット,練習,80,0.04781829049611477
ボール,友人,80,0.046756282875511396
治療,眼,80,0.046349942062572425
ネット,部,80,0.04203888596952181
部,飛ぶ,80,0.04094165813715456
取る,部,80,0.0400200100050025
搬送,除,79,0.2020460358056266
搬送,細,79,0.20050761421319796
場,骨折,79,0.0775269872423945
強い,相手,79,0.07431796801505174
場,打つ,79,0.06162246489859594
瘢痕,負傷,79,0.05396174863387978
シャトル,眼,79,0.05305574210879785
人,負傷,79,0.0511326860841424
救急,負傷,79,0.05031847133757962
性,治療,78,0.15384615384615385
受診,手術,78,0.15057915057915058
搬送,走る,78,0.08666666666666667
時間,瘢痕,78,0.08628318584070796
残る,車,78,0.08158995815899582
体育,骨折,78,0.0769990128331688
転倒,骨折,78,0.06800348735832606
打つ,相手,78,0.0624
れる,指,78,0.058514628657164294
バドミントン,眼,78,0.05220883534136546
休憩,負傷,78,0.05019305019305019
取る,練習,78,0.044042913608131
教室,眼,78,0.0416221985058698
友人,部,78,0.03350515463917526
ガラス,窓,77,0.23123123123123124
バランス,強打,77,0.09166666666666666
場,外,77,0.08850574712643679
つまずく,転倒,77,0.08517699115044247
バランス,体育,77,0.0730550284629981
瘢痕,転倒,77,0.07243650047036689
走る,運動,77,0.06519898391193904
れる,性,77,0.058025621703089676
れる,廊下,77,0.05616338439095551
外傷,当たる,77,0.054648687012065295
廊下,負傷,77,0.052309782608695655
入る,眼,77,0.04630186410102225
人,練習,77,0.04065469904963041
複,視,76,0.9047619047619048
意識,病院,76,0.1958762886597938
残存,骨折,76,0.1425891181988743
障害,骨折,76,0.12006319115323855
倒れる,手術,76,0.09693877551020408
