主成分,順位,特徴,負荷量,絶対負荷量
PC3,20,場合別2_体育的部活動,-0.04368371516466141,0.04368371516466141
PC4,1,性別_女,0.5196195244789124,0.5196195244789124
PC4,2,性別_男,-0.5196194648742676,0.5196194648742676
PC4,3,場合別1_休憩時間,-0.2877114713191986,0.2877114713191986
PC4,4,場合別1_各教科等,0.283639520406723,0.283639520406723
PC4,5,場合別2_体育（保健体育）,0.2659047544002533,0.2659047544002533
PC4,6,競技種目_（欠損）,-0.18095390498638153,0.18095390498638153
PC4,7,発生場所1_学校内・校舎内（園内・園舎内）,-0.1707209348678589,0.1707209348678589
PC4,8,場合別2_休憩時間中,-0.12958717346191406,0.12958717346191406
PC4,9,発生場所2_教室（保育室）,-0.11840596795082092,0.11840596795082092
