列名,カテゴリ,群,観測度数,期待度数,調整済み標準化残差,|z|≥1.96
場合別2,児童（生徒・学生）会活動,歯牙障害,4,3.9152564436344703,0.04812515625628267,False
場合別2,勤労生産・奉仕的行事,歯牙障害以外,5,4.763603228325957,0.23869323652773147,False
場合別2,勤労生産・奉仕的行事,歯牙障害,1,1.2363967716740432,-0.23869323652773172,False
場合別2,図画工作（美術）,歯牙障害以外,25,19.848346784691486,2.551461226682184,True
場合別2,図画工作（美術）,歯牙障害,0,5.151653215308514,-2.5514612266821834,True
場合別2,大掃除,歯牙障害以外,9,10.321140328039572,-0.9066707072900831,False
場合別2,大掃除,歯牙障害,4,2.678859671960427,0.9066707072900836,False
場合別2,始業前の特定時間中,歯牙障害以外,175,157.99284040614424,3.020014696735744,True
場合別2,始業前の特定時間中,歯牙障害,24,41.00715959385577,-3.020014696735745,True
場合別2,学級（ホームルーム）活動,歯牙障害以外,77,69.86618068211403,1.8909809476533586,False
場合別2,学級（ホームルーム）活動,歯牙障害,11,18.133819317885965,-1.8909809476533588,False
場合別2,家庭（技術・家庭）,歯牙障害以外,39,30.96342098411872,3.189691388463972,True
場合別2,家庭（技術・家庭）,歯牙障害,0,8.036579015881282,-3.189691388463973,True
場合別2,工業,歯牙障害以外,20,16.672611299140847,1.797599088099182,False
場合別2,工業,歯牙障害,1,4.327388700859151,-1.797599088099181,False
場合別2,授業終了後の特定時間中,歯牙障害以外,229,226.27115334548296,0.407258889101951,False
場合別2,授業終了後の特定時間中,歯牙障害,56,58.72884665451705,-0.40725888910195207,False
場合別2,文化的クラブ活動,歯牙障害以外,7,5.557537099713616,1.3485222611509642,False
場合別2,文化的クラブ活動,歯牙障害,0,1.4424629002863838,-1.348522261150964,False
場合別2,文化的行事,歯牙障害以外,24,21.436214527466806,1.2219934635049443,False
場合別2,文化的行事,歯牙障害,3,5.563785472533194,-1.2219934635049443,False
場合別2,文化的部活動,歯牙障害以外,41,38.10882582660766,1.0349496913515315,False
場合別2,文化的部活動,歯牙障害,7,9.891174173392345,-1.0349496913515321,False
場合別2,日常の清掃,歯牙障害以外,103,102.41746940900808,0.12788093986084773,False
場合別2,日常の清掃,歯牙障害,26,26.58253059099193,-0.12788093986084928,False
場合別2,昼食時休憩時間中,歯牙障害以外,452,419.1970840926842,3.6573178158576765,True
場合別2,昼食時休憩時間中,歯牙障害,76,108.8029159073158,-3.6573178158576747,True
場合別2,林間学校,歯牙障害以外,1,1.587867742775319,-1.0278404444245048,False
場合別2,林間学校,歯牙障害,1,0.41213225722468105,1.0278404444245048,False
場合別2,水泳指導,歯牙障害以外,7,7.9393387138765945,-0.7348684541945454,False
場合別2,水泳指導,歯牙障害,3,2.0606612861234055,0.7348684541945454,False
場合別2,理科,歯牙障害以外,42,36.52095808383233,2.0032466601551326,True
場合別2,理科,歯牙障害,4,9.479041916167665,-2.003246660155132,True
場合別2,登校（登園）中,歯牙障害以外,132,197.6895339755272,-10.462997487381804,True
場合別2,登校（登園）中,歯牙障害,117,51.310466024472795,10.462997487381804,True
場合別2,競技大会・球技大会,歯牙障害以外,63,61.13290809684978,0.5287037660099154,False
場合別2,競技大会・球技大会,歯牙障害,14,15.867091903150222,-0.5287037660099165,False
場合別2,給食指導,歯牙障害以外,50,43.66636292632127,2.1190277116913845,True
場合別2,給食指導,歯牙障害,5,11.33363707367873,-2.119027711691384,True
場合別2,総合的な学習の時間,歯牙障害以外,39,36.52095808383233,0.9063870134472408,False
場合別2,総合的な学習の時間,歯牙障害,7,9.479041916167665,-0.9063870134472402,False
場合別2,自立活動,歯牙障害以外,17,19.05441291330383,-1.0384034311750991,False
場合別2,自立活動,歯牙障害,7,4.945587086696173,1.0384034311750987,False
場合別2,農業,歯牙障害以外,7,7.145404842488936,-0.11989931352951712,False
場合別2,農業,歯牙障害,2,1.8545951575110649,0.11989931352951676,False
場合別2,通学（通園）に準ずるとき,歯牙障害以外,12,17.46654517052851,-2.885551939659127,True
場合別2,通学（通園）に準ずるとき,歯牙障害,10,4.533454829471491,2.8855519396591274,True
場合別2,運動会・体育祭,歯牙障害以外,68,69.86618068211403,-0.4946736043494504,False
場合別2,運動会・体育祭,歯牙障害,20,18.133819317885965,0.49467360434945046,False
場合別2,道徳,歯牙障害以外,1,0.7939338713876595,0.5094943937808232,False
