単語,歯牙障害_平均TFIDF,歯牙障害以外_平均TFIDF,TFIDF差_歯牙-以外,絶対差
一番,0.00031112821645135655,0.0004692206545923459,-0.00015809243814098934,0.00015809243814098934
踊り場,0.0011668441470730092,0.0010087641427001435,0.00015808000437286568,0.00015808000437286568
弾み,0.0004752271683123882,0.0006330297112452789,-0.00015780254293289072,0.00015780254293289072
直す,0.0002938562588888549,0.00045116084996980394,-0.00015730459108094903,0.00015730459108094903
返す,0.0009660248874073069,0.0008092290939888829,0.000156795793418424,0.000156795793418424
野外,0.00020803729541613781,0.00036479023103102237,-0.00015675293561488455,0.00015675293561488455
特別,0.0006973644378591175,0.0008535186445553992,-0.00015615420669628176,0.00015615420669628176
フロア,0.0007921216822377648,0.0006366217595326479,0.00015549992270511687,0.00015549992270511687
朦朧,0.00037228356702848726,0.00021730038271886102,0.00015498318430962624,0.00015498318430962624
突進,0.0001832641411885488,0.00033803932072019166,-0.00015477517953164287,0.00015477517953164287
格好,0.000204314433166657,0.00035906711077623993,-0.00015475267760958292,0.00015475267760958292
約束,0.00014067749565606843,0.00029528414361679265,-0.00015460664796072422,0.00015460664796072422
邪魔,0.00014702108437811894,0.0003014178332990263,-0.00015439674892090736,0.00015439674892090736
スキップ,0.0004761479509316337,0.00032183028871340914,0.00015431766221822454,0.00015431766221822454
息,0.00023211076278285047,0.00038588293009536687,-0.0001537721673125164,0.0001537721673125164
越し,0.0002014094558039372,0.0003548642032382825,-0.00015345474743434532,0.00015345474743434532
靴箱,0.00023469808202281677,0.00038809607514020265,-0.00015339799311738588,0.00015339799311738588
防護,0.0001445223332970814,0.0002977173130134207,-0.0001531949797163393,0.0001531949797163393
振盪,0.00028807723868215084,0.0004410274819554736,-0.00015295024327332277,0.00015295024327332277
おる,0.003177802747696721,0.003330223940302148,-0.00015242119260542707,0.00015242119260542707
立ち,0.000678405355465063,0.0008305650095993261,-0.00015215965413426316,0.00015215965413426316
終える,0.0023843982784120315,0.0022325650417307726,0.00015183323668125888,0.00015183323668125888
服,0.00040431489774648904,0.000556104726419504,-0.0001517898286730149,0.0001517898286730149
抵抗,0.00017366645809665496,0.0003253800033432128,-0.00015171354524655785,0.00015171354524655785
泥,0.00040685385809981943,0.0002551788878792686,0.00015167497022055084,0.00015167497022055084
セーフティー,0.00013488437206379117,0.00028595686878663326,-0.0001510724967228421,0.0001510724967228421
場所,0.002225903313882485,0.002075258297996164,0.00015064501588632094,0.00015064501588632094
前日,0.000692791009933703,0.0005425228640600705,0.00015026814587363246,0.00015026814587363246
スタンツ,0.0001019776557210738,0.0002522393666559879,-0.00015026171093491408,0.00015026171093491408
試みる,0.00020289079071462965,0.0003531053585329545,-0.00015021456781832485,0.00015021456781832485
人組,0.0009659094838344346,0.0008157806204699596,0.000150128863364475,0.000150128863364475
役割,0.00040736797484975377,0.0002575246639216441,0.00014984331092810968,0.00014984331092810968
違う,0.00016187415489582615,0.00031151629998580417,-0.00014964214508997802,0.00014964214508997802
名前,0.00015274298405611322,0.0003016413409855089,-0.00014889835692939566,0.00014889835692939566
壁面,0.00041165189500552663,0.00026288867005490064,0.000148763224950626,0.000148763224950626
降りる,0.0031042467471206494,0.0029561747182929995,0.00014807202882764986,0.00014807202882764986
引っ張る,0.002023033854130392,0.0018753847565595783,0.00014764909757081354,0.00014764909757081354
すりむく,0.0001335482930412097,0.00028104894849085476,-0.00014750065544964506,0.00014750065544964506
校門,0.0011092370565895019,0.0009618492736646403,0.00014738778292486157,0.00014738778292486157
呼び出す,0.0002825047638122725,0.0004298724847519208,-0.00014736772093964834,0.00014736772093964834
