全候補内順位,因子,カテゴリ,研究テーマ候補,方向,歯牙障害件数,歯牙障害以外件数,合計件数,歯牙障害群内割合（％）,歯牙障害以外群内割合（％）,割合差（pt）,オッズ比,95%CI下限,95%CI上限,絶対log2OR,Fisher_p値,BH補正p値,効果量点,割合差点,統計的確実性点,対象規模点,研究優先度スコア,解釈上の注意
34,被災学校種,特高,被災学校種「特高」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,31,56,87,1.9583070120025268,0.9181833087391376,1.0401237032633892,2.1554330817378498,1.3849816004218243,3.354479054765004,1.1079777728418148,0.0011738269196481348,0.003880150095503557,84.03361344537815,62.18487394957983,70.58823529411765,33.61344537815126,67.6470588235294,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
35,場合別2,始業前の特定時間中,場合別2「始業前の特定時間中」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,24,175,199,1.5161086544535691,2.8693228398098047,-1.3532141853562356,0.5211252634472647,0.338905593262254,0.8013191449243268,0.9402978985201096,0.0018117991760905061,0.00567379215670448,73.10924369747899,68.90756302521008,68.90756302521008,48.739495798319325,67.35294117647058,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
36,給付年度,3,給付年度「3」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,43,278,321,2.7163613392293113,4.55812428266929,-1.8417629434399787,0.5846561711669626,0.42198407946530897,0.8100372860434266,0.7743396513557569,0.0008820050976269346,0.0029988173319315777,64.70588235294117,72.26890756302521,71.42857142857143,55.46218487394958,66.89075630252101,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
37,競技種目,サッカー・フットサル,競技種目「サッカー・フットサル」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,77,423,500,4.864181933038535,6.935563207083129,-2.071381274044594,0.6860689629190095,0.5346317030324894,0.8804016282815941,0.5435744930364251,0.002422210950156962,0.007390848796632781,54.621848739495796,74.78991596638656,68.0672268907563,77.31092436974791,66.42857142857143,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
38,競技種目,水泳,競技種目「水泳」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,9,84,93,0.5685407454200885,1.3772749631087065,-0.808734217688618,0.40944363768379016,0.20543306588880295,0.8160521370521601,1.2882632247804955,0.0065191466246875395,0.018470915436614693,87.39495798319328,54.621848739495796,65.96638655462185,36.97478991596639,66.28151260504201,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
39,給付年度,5,給付年度「5」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,42,266,308,2.6531901452937463,4.361370716510903,-1.7081805712171567,0.5976638546398443,0.42957042432475206,0.831533231610272,0.7425938004234497,0.0015221188102258654,0.004895463200456161,63.86554621848739,71.42857142857143,69.74789915966386,53.78151260504202,65.71428571428571,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
40,被災学年,3,被災学年「3」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,403,1299,1702,25.45799115603285,21.298573536645353,4.159417619387497,1.2619877089286413,1.109664376624304,1.4352204243339135,0.33569785932676355,0.0004650775020515675,0.0016277712571804864,36.97478991596639,83.19327731092437,72.26890756302521,89.07563025210085,65.16806722689076,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
41,給付年度,19,給付年度「19」と歯牙障害の関連（歯牙障害で多い）,歯牙障害で多い,127,370,497,8.022741629816805,6.0665682898835875,1.9561733399332173,1.3505772943272942,1.0951727850668256,1.6655445175631658,0.43357620848935524,0.00586455845392439,0.01744706140042506,45.378151260504204,73.10924369747899,67.22689075630252,76.47058823529412,62.436974789915965,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
42,競技種目,持久走・長距離走,競技種目「持久走・長距離走」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,10,81,91,0.6317119393556538,1.3280865715691097,-0.6963746322134559,0.4723222905041087,0.2442929742364008,0.9132000083275682,1.0821564720796122,0.025615254061427215,0.06485564326191146,82.35294117647058,51.26050420168067,61.34453781512605,36.134453781512605,62.394957983193265,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
43,場合別2,給食指導,場合別2「給食指導」と歯牙障害の関連（歯牙障害で少ない）,歯牙障害で少ない,5,50,55,0.3158559696778269,0.8198065256599443,-0.5039505559821174,0.38333333333333336,0.15261455427748968,0.962846860445986,1.3833286395515056,0.030057689747120715,0.0745180224980701,89.07563025210085,47.89915966386555,60.50420168067227,27.310924369747898,62.373949579831944,仮説生成用（因果関係を示さず、交絡調整・研究デザイン検討が必要）
