列名,カテゴリ,歯牙_当該,非歯牙_当該,歯牙_その他,非歯牙_その他,Fisherオッズ比,p値
発生場所2,体育館・屋内運動場,245,1007,1338,5092,0.9259102574949939,0.33974438659487327
発生場所2,便所,9,42,1574,6057,0.8246051915048103,0.728997060020524
発生場所2,公園,0,1,1583,6098,0.0,1.0
発生場所2,公園・遊園地,12,41,1571,6058,1.1286270978559563,0.7330782597123809
発生場所2,学校外体育館,40,133,1543,5966,1.162855291176743,0.39343703498835897
発生場所2,学校外運動場・競技場,119,374,1464,5725,1.24425608544461,0.05019658934946768
発生場所2,実習実験室,8,152,1575,5947,0.19873015873015873,2.8561413502376693e-08
発生場所2,屋上,0,3,1583,6096,0.0,1.0
発生場所2,山林野（含スキー場）,17,49,1566,6050,1.3403445669455523,0.2871110961611449
発生場所2,廊下,96,392,1487,5707,0.939900909926849,0.6436655689407678
発生場所2,手足洗場,0,3,1583,6096,0.0,1.0
発生場所2,排水溝,0,2,1583,6097,0.0,1.0
発生場所2,教室（保育室）,81,701,1502,5398,0.415269417286699,1.824367705171585e-15
発生場所2,昇降口・玄関,6,96,1577,6003,0.23791217501585288,5.8905087528997945e-05
発生場所2,水飲み場,0,2,1583,6097,0.0,1.0
発生場所2,河川,5,9,1578,6090,2.1440642163075623,0.18244108823092012
発生場所2,海・湖・沼・池,2,15,1581,6084,0.5130929791271347,0.5506134987553498
発生場所2,講堂,3,15,1580,6084,0.770126582278481,1.0
発生場所2,農場,0,7,1583,6092,0.0,0.35722854213534566
発生場所2,遊戯室,0,30,1583,6069,0.0,0.002171524426526816
発生場所2,運動場・校庭（園庭）,567,2159,1016,3940,1.0184340956917208,0.7681847278431102
発生場所2,道路,273,343,1310,5756,3.4971802461442594,4.917883962120836e-44
発生場所2,階段,25,94,1558,6005,1.0250798896566793,0.9091414686567048
遊具等,すべり台,5,24,1578,6075,0.8020437262357415,0.819442834788541
遊具等,その他,5,26,1578,6073,0.7401043190016574,0.6600551750785628
遊具等,ぶらんこ,4,37,1579,6062,0.4150420211218185,0.11846511384709305
遊具等,シーソー,4,8,1579,6091,1.928752374920836,0.284240370535825
遊具等,ジャングルジム,3,14,1580,6085,0.8252712477396021,1.0
遊具等,回旋塔,0,4,1583,6095,0.0,0.5873848223447302
遊具等,固定タイヤ,0,9,1583,6090,0.0,0.21892487682960535
遊具等,施設を使用していない,0,3,1583,6096,0.0,1.0
遊具等,登り棒,1,6,1582,6093,0.6419089759797725,1.0
遊具等,砂場,0,9,1583,6090,0.0,0.21892487682960535
遊具等,総合遊具・アスレティック,0,22,1583,6077,0.0,0.013761866439297023
遊具等,遊動円木,1,1,1582,6098,3.854614412136536,0.3696903075482427
遊具等,鉄棒,12,60,1571,6039,0.7688096753660089,0.4664588274193183
遊具等,雲てい,3,14,1580,6085,0.8252712477396021,1.0
遊具等,（欠損）,1545,5862,38,237,1.6437941065560524,0.0038353887501765167
