項目数,項目集合,事例数,支持度,支持度（％）
2,発生場所2=運動場・校庭（園庭） | 被災学校種=中,735,0.09567820879979172,9.5678
2,場合別2=体育的部活動 | 発生場所1=学校外（園外）,735,0.09567820879979172,9.5678
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学校種=小,726,0.0945066388961208,9.4507
2,被災学年=1 | 被災学校種=中,716,0.09320489455870867,9.3205
2,発生場所1=学校内・校舎内（園内・園舎内） | 被災学年=3,692,0.09008070814891955,9.0081
2,和暦=令和 | 被災学校種=高,692,0.09008070814891955,9.0081
2,被災学年=3 | 被災学校種=高,683,0.08890913824524864,8.8909
2,和暦=令和 | 発生場所1=学校内・校舎内（園内・園舎内）,682,0.08877896381150742,8.8779
2,性別=女 | 発生場所1=学校内・校舎外（園内・園舎外）,678,0.08825826607654257,8.8258
2,場合別1=課外指導 | 発生場所1=学校内・校舎内（園内・園舎内）,675,0.08786774277531893,8.7868
2,発生場所2=運動場・校庭（園庭） | 被災学校種=小,662,0.08617547513668315,8.6175
2,和暦=令和 | 場合別1=課外指導,654,0.08513407966675345,8.5134
2,発生場所1=学校内・校舎外（園内・園舎外） | 被災学年=3,638,0.08305128872689403,8.3051
2,場合別1=休憩時間 | 場合別2=休憩時間中,632,0.08227024212444675,8.227
2,和暦=平成 | 発生場所2=教室（保育室）,631,0.08214006769070555,8.214
2,和暦=令和 | 場合別2=体育的部活動,628,0.08174954438948191,8.175
2,場合別2=体育的部活動 | 発生場所1=学校内・校舎内（園内・園舎内）,624,0.08122884665451706,8.1229
2,被災学年=3 | 被災学校種=中,622,0.08096849778703463,8.0968
2,和暦=令和 | 発生場所1=学校内・校舎外（園内・園舎外）,622,0.08096849778703463,8.0968
2,性別=女 | 発生場所2=運動場・校庭（園庭）,619,0.08057797448581099,8.0578
2,性別=女 | 被災学年=2,616,0.08018745118458735,8.0187
2,発生場所1=学校外（園外） | 発生場所2=道路,616,0.08018745118458735,8.0187
2,性別=女 | 被災学校種=中,610,0.07940640458214007,7.9406
2,性別=女 | 被災学年=1,606,0.07888570684717522,7.8886
2,場合別1=通学中 | 発生場所1=学校外（園外）,589,0.07667274147357458,7.6673
2,場合別1=休憩時間 | 発生場所1=学校内・校舎外（園内・園舎外）,585,0.07615204373860973,7.6152
2,発生場所1=学校外（園外） | 被災学年=2,585,0.07615204373860973,7.6152
2,和暦=令和 | 発生場所2=運動場・校庭（園庭）,584,0.07602186930486853,7.6022
2,場合別1=各教科等 | 発生場所1=学校内・校舎外（園内・園舎外）,582,0.0757615204373861,7.5762
2,発生場所2=運動場・校庭（園庭） | 被災学年=3,578,0.07524082270242125,7.5241
2,性別=女 | 被災学校種=高,575,0.0748502994011976,7.485
2,発生場所2=体育館・屋内運動場 | 被災学校種=高,575,0.0748502994011976,7.485
2,場合別1=課外指導 | 発生場所2=体育館・屋内運動場,545,0.07094506638896121,7.0945
2,場合別1=通学中 | 発生場所2=道路,544,0.07081489195521999,7.0815
2,場合別2=体育的部活動 | 発生場所2=体育館・屋内運動場,542,0.07055454308773756,7.0555
2,場合別1=休憩時間 | 発生場所2=運動場・校庭（園庭）,538,0.07003384535277271,7.0034
2,場合別1=課外指導 | 性別=女,538,0.07003384535277271,7.0034
