列名,値,件数,割合（％）,列内順位
遊具等,その他,31,0.4035,4
遊具等,すべり台,29,0.3775,5
遊具等,総合遊具・アスレティック,22,0.2864,6
遊具等,雲てい,17,0.2213,7
遊具等,ジャングルジム,17,0.2213,8
遊具等,シーソー,12,0.1562,9
遊具等,固定タイヤ,9,0.1172,10
遊具等,砂場,9,0.1172,11
遊具等,登り棒,7,0.0911,12
遊具等,回旋塔,4,0.0521,13
遊具等,施設を使用していない,3,0.0391,14
遊具等,遊動円木,2,0.026,15
Step7_入力元カテゴリ,外貌・露出部分の醜状障害,1841,23.9651,1
Step7_入力元カテゴリ,視力・眼球運動障害,1768,23.0148,2
Step7_入力元カテゴリ,歯牙障害,1583,20.6066,3
Step7_入力元カテゴリ,精神・神経障害,878,11.4293,4
Step7_入力元カテゴリ,手指切断・機能障害,503,6.5478,5
Step7_入力元カテゴリ,胸腹部臓器障害,411,5.3502,6
Step7_入力元カテゴリ,上肢切断・機能障害,217,2.8248,7
Step7_入力元カテゴリ,下肢切断・機能障害,158,2.0568,8
Step7_入力元カテゴリ,せき柱障害,154,2.0047,9
Step7_入力元カテゴリ,聴力障害,121,1.5751,10
Step7_入力元カテゴリ,足指切断・機能障害,28,0.3645,11
Step7_入力元カテゴリ,そしゃく機能障害,20,0.2603,12
Step7_歯牙障害フラグ,0,6099,79.3934,1
Step7_歯牙障害フラグ,1,1583,20.6066,2
