単語,歯牙出現事例数,歯牙事例出現率（％）,非歯牙出現事例数,非歯牙事例出現率（％）,出現率差（pt）,オッズ比,OR_95%CI下限,OR_95%CI上限,p値,p値下限丸め,0.5補正,BH補正p値,BH有意（5%）
断,0,0.0,26,0.4263,-0.4263,0.07236775473485413,0.004407591092249757,1.1881982279555898,0.005455804129480407,False,True,0.039892585296608926,True
泣く,0,0.0,26,0.4263,-0.4263,0.07236775473485413,0.004407591092249757,1.1881982279555898,0.005455804129480407,False,True,0.039892585296608926,True
畳,1,0.0632,34,0.5575,-0.4943,0.11275749237748196,0.015422926111580132,0.8243735329647693,0.005424730177730422,False,False,0.039892585296608926,True
翌日,1,0.0632,34,0.5575,-0.4943,0.11275749237748196,0.015422926111580132,0.8243735329647693,0.005424730177730422,False,False,0.039892585296608926,True
診断,1,0.0632,34,0.5575,-0.4943,0.11275749237748196,0.015422926111580132,0.8243735329647693,0.005424730177730422,False,False,0.039892585296608926,True
組,7,0.4422,74,1.2133,-0.7711,0.3616322540814927,0.16626608307367377,0.7865578160887607,0.0053933051311271345,False,False,0.039892585296608926,True
飛び込む,4,0.2527,55,0.9018,-0.6491,0.2783810236628476,0.10073258552626006,0.7693239871756536,0.005573616778966851,False,False,0.040635554888514135,True
バウンド,24,1.5161,44,0.7214,0.7947,2.118490874103446,1.2843205915965052,3.494457390954593,0.005964005933100376,False,False,0.04335573008758186,True
破損,13,0.8212,18,0.2951,0.5261,2.7973460721868366,1.3676903234853799,5.721430438754414,0.00640904379773814,False,False,0.04645630590961634,True
cm,2,0.1263,40,0.6558,-0.5295,0.1916192283364959,0.04625996914478939,0.7937300726109534,0.006819257853488881,False,False,0.049145685909626764,True
暗い,2,0.1263,40,0.6558,-0.5295,0.1916192283364959,0.04625996914478939,0.7937300726109534,0.006819257853488881,False,False,0.049145685909626764,True
着地,19,1.2003,138,2.2627,-1.0624,0.5247553652841098,0.32379124625997086,0.8504497776736292,0.006852789119244874,False,False,0.04924583126379984,True
用,8,0.5054,78,1.2789,-0.7735,0.3920879120879121,0.18899879262445532,0.8134069465244095,0.006993475145803425,False,False,0.0501132447590714,False
デッドボール,6,0.379,4,0.0656,0.3134,5.7974001268230815,1.6339881954773383,20.569211162917732,0.007395593398820186,False,False,0.05239589899503115,False
交流,6,0.379,4,0.0656,0.3134,5.7974001268230815,1.6339881954773383,20.569211162917732,0.007395593398820186,False,False,0.05239589899503115,False
砂利,6,0.379,4,0.0656,0.3134,5.7974001268230815,1.6339881954773383,20.569211162917732,0.007395593398820186,False,False,0.05239589899503115,False
自動車,6,0.379,4,0.0656,0.3134,5.7974001268230815,1.6339881954773383,20.569211162917732,0.007395593398820186,False,False,0.05239589899503115,False
打つ,202,12.7606,632,10.3624,2.3982,1.265288866075766,1.0684853069738376,1.4983415346622992,0.0074274834503689074,False,False,0.05247360139021189,False
貧血,4,0.2527,1,0.0164,0.2363,15.447751741608613,1.7253295974900358,138.31156331957038,0.0075097142557670245,False,False,0.05290551503781937,False
濡れる,15,0.9476,23,0.3771,0.5705,2.527173913043478,1.3155439116025296,4.854728094167256,0.007635861170820462,False,False,0.053643528897528624,False
保健,6,0.379,65,1.0657,-0.6867,0.3531925271937954,0.15276424460173071,0.8165848074643419,0.007779710877033411,False,False,0.054501438211172606,False
うずくまる,0,0.0,23,0.3771,-0.3771,0.08164650081626346,0.004956311924609365,1.3449821554694632,0.008073386915249734,False,True,0.055322552960235874,False
つかまる,0,0.0,23,0.3771,-0.3771,0.08164650081626346,0.004956311924609365,1.3449821554694632,0.008073386915249734,False,True,0.055322552960235874,False
ショック,0,0.0,23,0.3771,-0.3771,0.08164650081626346,0.004956311924609365,1.3449821554694632,0.008073386915249734,False,True,0.055322552960235874,False
士,0,0.0,23,0.3771,-0.3771,0.08164650081626346,0.004956311924609365,1.3449821554694632,0.008073386915249734,False,True,0.055322552960235874,False
止血,0,0.0,23,0.3771,-0.3771,0.08164650081626346,0.004956311924609365,1.3449821554694632,0.008073386915249734,False,True,0.055322552960235874,False
眉間,0,0.0,23,0.3771,-0.3771,0.08164650081626346,0.004956311924609365,1.3449821554694632,0.008073386915249734,False,True,0.055322552960235874,False
調理,0,0.0,23,0.3771,-0.3771,0.08164650081626346,0.004956311924609365,1.3449821554694632,0.008073386915249734,False,True,0.055322552960235874,False
刺さる,4,0.2527,53,0.869,-0.6163,0.2889815622498118,0.10443302285535441,0.7996545636336541,0.007961925341599629,False,False,0.055322552960235874,False
形,10,0.6317,89,1.4593,-0.8275,0.4292949134624313,0.22275915999977197,0.8273245541278977,0.008145544882829222,False,False,0.05566492252353049,False
完全,7,0.4422,6,0.0984,0.3438,4.510469543147208,1.5136925111717363,13.440203574707658,0.008259281438415058,False,False,0.05586318983265015,False
馬,7,0.4422,6,0.0984,0.3438,4.510469543147208,1.5136925111717363,13.440203574707658,0.008259281438415058,False,False,0.05586318983265015,False
下敷き,1,0.0632,31,0.5083,-0.4451,0.12373067982545573,0.016877421978638202,0.9070864702823946,0.008279769332614293,False,False,0.05586318983265015,False
仰向け,1,0.0632,32,0.5247,-0.4615,0.11984434260429835,0.016363208342737797,0.877741464474525,0.008285927678527056,False,False,0.05586318983265015,False
飛び込み,1,0.0632,32,0.5247,-0.4615,0.11984434260429835,0.016363208342737797,0.877741464474525,0.008285927678527056,False,False,0.05586318983265015,False
鬼ごっこ,25,1.5793,166,2.7218,-1.1425,0.5735071221986792,0.3752533117217622,0.8765023756978507,0.008403254146468926,False,False,0.05650230938161949,False
家庭,0,0.0,24,0.3935,-0.3935,0.07830110256922472,0.004758895518629486,1.2883373126296196,0.008659994931189668,False,True,0.05761078856080554,False
強風,0,0.0,24,0.3935,-0.3935,0.07830110256922472,0.004758895518629486,1.2883373126296196,0.008659994931189668,False,True,0.05761078856080554,False
裂,0,0.0,24,0.3935,-0.3935,0.07830110256922472,0.004758895518629486,1.2883373126296196,0.008659994931189668,False,True,0.05761078856080554,False
鍋,0,0.0,24,0.3935,-0.3935,0.07830110256922472,0.004758895518629486,1.2883373126296196,0.008659994931189668,False,True,0.05761078856080554,False
教室,95,6.0013,485,7.9521,-1.9509,0.7390117503602704,0.5888097119602871,0.9275294820670106,0.008819023941268204,False,False,0.05851352392777951,False
衝突,66,4.1693,173,2.8365,1.3328,1.4903006771045684,1.1161154108341818,1.9899340933912633,0.009100082145938637,False,False,0.06021901325069684,False
バッターボックス,15,0.9476,24,0.3935,0.5541,2.4214764030612246,1.2672863299024046,4.626853326062379,0.009245825563525932,False,False,0.06102244871927115,False
右肩,2,0.1263,38,0.6231,-0.4967,0.2017710309930424,0.04862429043955329,0.8372677231887906,0.010097760116363035,False,False,0.06629628893151437,False
音,2,0.1263,38,0.6231,-0.4967,0.2017710309930424,0.04862429043955329,0.8372677231887906,0.010097760116363035,False,False,0.06629628893151437,False
片付ける,2,0.1263,39,0.6394,-0.5131,0.19656497834865957,0.04741287332429974,0.8149219400589799,0.010351180167930605,False,False,0.06778266282289806,False
逃げる,13,0.8212,102,1.6724,-0.8512,0.48683027351067815,0.2726088702147931,0.8693910620727142,0.010500315165530745,False,False,0.06858018342487268,False
マシン,3,0.1895,44,0.7214,-0.5319,0.2612917146144994,0.08102676597782914,0.8426025561092517,0.011059636706328126,False,False,0.07204563340122322,False
日,4,0.2527,51,0.8362,-0.5835,0.30041351562791047,0.1084129625331405,0.8324491671771542,0.011335495707384662,False,False,0.07359657593358973,False
左上,5,0.3159,58,0.951,-0.6351,0.33002272627944584,0.1321507125652529,0.8241726264407265,0.011356409444297937,False,False,0.07359657593358973,False
置く,12,0.7581,96,1.574,-0.816,0.4776416295353278,0.2614310808761409,0.8726641281541069,0.01168017218396255,False,False,0.07549966968396411,False
負傷,373,23.5629,1259,20.6427,2.9201,1.1850675138999205,1.038936600022057,1.3517523710986048,0.011848331200259608,False,False,0.07599901445077006,False
ブラシ,5,0.3159,3,0.0492,0.2667,6.438529784537389,1.5370246135559609,26.970723448903172,0.011825723002911924,False,False,0.07599901445077006,False
受け止める,5,0.3159,3,0.0492,0.2667,6.438529784537389,1.5370246135559609,26.970723448903172,0.011825723002911924,False,False,0.07599901445077006,False
坂,9,0.5685,11,0.1804,0.3882,3.164606676677833,1.3090905143275526,7.650147417971504,0.012061573494729026,False,False,0.07716945491015408,False
戻る,22,1.3898,147,2.4102,-1.0205,0.5706441449097256,0.3633111063349715,0.8962972351842112,0.012230977632278876,False,False,0.07805417786706213,False
),0,0.0,21,0.3443,-0.3443,0.08927089682114245,0.0054044679823890465,1.474574934150731,0.01285280303897701,False,True,0.07978918322216422,False
ストレッチ,0,0.0,21,0.3443,-0.3443,0.08927089682114245,0.0054044679823890465,1.474574934150731,0.01285280303897701,False,True,0.07978918322216422,False
剥離,0,0.0,21,0.3443,-0.3443,0.08927089682114245,0.0054044679823890465,1.474574934150731,0.01285280303897701,False,True,0.07978918322216422,False
引っ掻く,0,0.0,21,0.3443,-0.3443,0.08927089682114245,0.0054044679823890465,1.474574934150731,0.01285280303897701,False,True,0.07978918322216422,False
応急,0,0.0,21,0.3443,-0.3443,0.08927089682114245,0.0054044679823890465,1.474574934150731,0.01285280303897701,False,True,0.07978918322216422,False
急性,0,0.0,21,0.3443,-0.3443,0.08927089682114245,0.0054044679823890465,1.474574934150731,0.01285280303897701,False,True,0.07978918322216422,False
泳ぐ,0,0.0,21,0.3443,-0.3443,0.08927089682114245,0.0054044679823890465,1.474574934150731,0.01285280303897701,False,True,0.07978918322216422,False
腕骨,0,0.0,21,0.3443,-0.3443,0.08927089682114245,0.0054044679823890465,1.474574934150731,0.01285280303897701,False,True,0.07978918322216422,False
ブランコ,1,0.0632,29,0.4755,-0.4123,0.1323074240376651,0.018008679546726143,0.9720454189915801,0.012586491402779655,False,False,0.07978918322216422,False
動ける,1,0.0632,29,0.4755,-0.4123,0.1323074240376651,0.018008679546726143,0.9720454189915801,0.012586491402779655,False,False,0.07978918322216422,False
ロッカー,1,0.0632,30,0.4919,-0.4287,0.12787610619469025,0.017424807121822667,0.93844932808675,0.012634857049022298,False,False,0.07978918322216422,False
ゴロ,8,0.5054,9,0.1476,0.3578,3.437037037037037,1.3239380061203994,8.922792109111821,0.013019176013991902,False,False,0.08052868235685105,False
目,30,1.8951,185,3.0333,-1.1381,0.6175318911957676,0.41818894643705284,0.9118979348757672,0.01303614235920316,False,False,0.08052868235685105,False
オフェンス,6,0.379,5,0.082,0.297,4.63715916296766,1.4133628353686614,15.214242630828782,0.013457934881483394,False,False,0.0829299771075193,False
火,0,0.0,22,0.3607,-0.3607,0.08528926779637232,0.00517073730573463,1.406812756311128,0.013761866439297023,False,True,0.08422994836400233,False
眼下,0,0.0,22,0.3607,-0.3607,0.08528926779637232,0.00517073730573463,1.406812756311128,0.013761866439297023,False,True,0.08422994836400233,False
トイレ,13,0.8212,101,1.656,-0.8348,0.4917323579491707,0.27526540453285236,0.8784275389223236,0.01376964865599719,False,False,0.08422994836400233,False
跳ぶ,10,0.6317,84,1.3773,-0.7456,0.45522659159022794,0.23575368111350314,0.8790159657828848,0.014360245270006174,False,False,0.08762894193959972,False
運動,140,8.844,669,10.969,-2.125,0.7874725363514601,0.6504358618947581,0.9533806972164417,0.01480155928888547,False,False,0.09010269586535136,False
時限,2,0.1263,37,0.6067,-0.4803,0.20725849188847292,0.04989878998416542,0.8608642108058253,0.015327456060501742,False,False,0.09285328454043085,False
後頭部,12,0.7581,94,1.5412,-0.7832,0.487966737543508,0.2668939684679222,0.8921578045233093,0.015306644330391823,False,False,0.09285328454043085,False
アスファルト,11,0.6949,16,0.2623,0.4325,2.6603451017811706,1.2321652912481007,5.743901496691325,0.015514299850497243,False,False,0.09375870849408936,False
けんか,5,0.3159,56,0.9182,-0.6023,0.3419224153539743,0.13673900984592538,0.8549933062498289,0.01591102851494191,False,False,0.09592514306604401,False
巻き込む,3,0.1895,43,0.705,-0.5155,0.26741242272593463,0.0828529617713003,0.8630880815768779,0.016080491681902426,False,False,0.09648295009141455,False
柱,3,0.1895,43,0.705,-0.5155,0.26741242272593463,0.0828529617713003,0.8630880815768779,0.016080491681902426,False,False,0.09648295009141455,False
ラケット,23,1.4529,47,0.7706,0.6823,1.8984724495362792,1.1493464166973284,3.1358671235127,0.01653819336441277,False,False,0.09899233641514851,False
られる,43,2.7164,243,3.9843,-1.2679,0.6728876062209396,0.4841960843020715,0.9351123342073031,0.016985806001081412,False,False,0.10142952726360044,False
準備,31,1.9583,187,3.0661,-1.1078,0.6314846463421357,0.43004848207981866,0.927274191591818,0.01720643977835258,False,False,0.10250297141118354,False
始業,8,0.5054,71,1.1641,-0.6588,0.4312452492734183,0.2071850863366522,0.8976151146261009,0.017368123088660953,False,False,0.10322097797716036,False
選手,72,4.5483,199,3.2628,1.2855,1.4127553718293653,1.0726439743077036,1.860708481507939,0.017503555204870014,False,False,0.10377994433525767,False
スピード,21,1.3266,42,0.6886,0.638,1.9388604353393086,1.1449073690065035,3.283392079995233,0.01792836121445883,False,False,0.10604794793835552,False
昼休み,17,1.0739,119,1.9511,-0.8772,0.5455208903484765,0.3271807642989637,0.9095676588574345,0.018154023359915873,False,False,0.10713009549804473,False
取り返す,4,0.2527,2,0.0328,0.2199,7.722609246358455,1.413177167355384,42.20185193307984,0.01885263246075422,False,False,0.1107316211043831,False
最寄り駅,4,0.2527,2,0.0328,0.2199,7.722609246358455,1.413177167355384,42.20185193307984,0.01885263246075422,False,False,0.1107316211043831,False
はさむ,1,0.0632,27,0.4427,-0.3795,0.14215479702205366,0.019301515834412947,1.0469636939266795,0.01909532681171042,False,False,0.1111161940690713,False
箇所,1,0.0632,27,0.4427,-0.3795,0.14215479702205366,0.019301515834412947,1.0469636939266795,0.01909532681171042,False,False,0.1111161940690713,False
通報,1,0.0632,27,0.4427,-0.3795,0.14215479702205366,0.019301515834412947,1.0469636939266795,0.01909532681171042,False,False,0.1111161940690713,False
隙間,1,0.0632,27,0.4427,-0.3795,0.14215479702205366,0.019301515834412947,1.0469636939266795,0.01909532681171042,False,False,0.1111161940690713,False
遠征,8,0.5054,10,0.164,0.3414,3.092825396825397,1.2186282109835183,7.8494563387204765,0.01927850093305095,False,False,0.11192240819465689,False
まひ,0,0.0,19,0.3115,-0.3115,0.09845927149368892,0.005941300681735311,1.6316676536620764,0.020488317652879617,False,True,0.11731666820416001,False
付く,0,0.0,19,0.3115,-0.3115,0.09845927149368892,0.005941300681735311,1.6316676536620764,0.020488317652879617,False,True,0.11731666820416001,False
突き破る,0,0.0,19,0.3115,-0.3115,0.09845927149368892,0.005941300681735311,1.6316676536620764,0.020488317652879617,False,True,0.11731666820416001,False
腰椎,0,0.0,19,0.3115,-0.3115,0.09845927149368892,0.005941300681735311,1.6316676536620764,0.020488317652879617,False,True,0.11731666820416001,False
黄,0,0.0,19,0.3115,-0.3115,0.09845927149368892,0.005941300681735311,1.6316676536620764,0.020488317652879617,False,True,0.11731666820416001,False
端,6,0.379,59,0.9674,-0.5883,0.389497329191879,0.16786531265987936,0.9037493633660387,0.020367785242909213,False,False,0.11731666820416001,False
激突,24,1.5161,51,0.8362,0.6799,1.825604648530355,1.1202538884620206,2.975068747416923,0.02068558299106353,False,False,0.11817640578949279,False
フック,0,0.0,20,0.3279,-0.3279,0.09364097745808528,0.005660232933494694,1.5491646302075033,0.021899267566800017,False,True,0.12259257497948661,False
ペース,0,0.0,20,0.3279,-0.3279,0.09364097745808528,0.005660232933494694,1.5491646302075033,0.021899267566800017,False,True,0.12259257497948661,False
不明,0,0.0,20,0.3279,-0.3279,0.09364097745808528,0.005660232933494694,1.5491646302075033,0.021899267566800017,False,True,0.12259257497948661,False
午前,0,0.0,20,0.3279,-0.3279,0.09364097745808528,0.005660232933494694,1.5491646302075033,0.021899267566800017,False,True,0.12259257497948661,False
失明,0,0.0,20,0.3279,-0.3279,0.09364097745808528,0.005660232933494694,1.5491646302075033,0.021899267566800017,False,True,0.12259257497948661,False
救命,0,0.0,20,0.3279,-0.3279,0.09364097745808528,0.005660232933494694,1.5491646302075033,0.021899267566800017,False,True,0.12259257497948661,False
斑,0,0.0,20,0.3279,-0.3279,0.09364097745808528,0.005660232933494694,1.5491646302075033,0.021899267566800017,False,True,0.12259257497948661,False
短縮,0,0.0,20,0.3279,-0.3279,0.09364097745808528,0.005660232933494694,1.5491646302075033,0.021899267566800017,False,True,0.12259257497948661,False
胸椎,0,0.0,20,0.3279,-0.3279,0.09364097745808528,0.005660232933494694,1.5491646302075033,0.021899267566800017,False,True,0.12259257497948661,False
反応,2,0.1263,34,0.5575,-0.4311,0.22565762547903412,0.05415421752318424,0.9403028289539189,0.021947394802946368,False,False,0.12259257497948661,False
早朝,5,0.3159,4,0.0656,0.2503,4.828105196451204,1.294961750651577,18.000994837314757,0.02213269221218905,False,False,0.1233528712626003,False
手首,5,0.3159,54,0.8854,-0.5695,0.3547035628784678,0.14165403158866816,0.8881823983945398,0.02219631296783052,False,False,0.1234331550406185,False
立ち止まる,6,0.379,6,0.0984,0.2807,3.8636651870640457,1.244402641296788,11.996043870635253,0.02228735735897101,False,False,0.12366524835464446,False
ぶら下がる,2,0.1263,35,0.5739,-0.4475,0.21917412126140778,0.052657823328705194,0.9122537240259199,0.022620352915942894,False,False,0.12468537387513139,False
機,2,0.1263,35,0.5739,-0.4475,0.21917412126140778,0.052657823328705194,0.9122537240259199,0.022620352915942894,False,False,0.12468537387513139,False
症状,2,0.1263,35,0.5739,-0.4475,0.21917412126140778,0.052657823328705194,0.9122537240259199,0.022620352915942894,False,False,0.12468537387513139,False
押さえる,3,0.1895,41,0.6722,-0.4827,0.28054955233096635,0.08676190447906541,0.9071729324717268,0.023162138753675128,False,False,0.127227632348018,False
柔道,15,0.9476,106,1.738,-0.7904,0.5408584424335772,0.3140695328511721,0.9314111180924226,0.023183025511580635,False,False,0.127227632348018,False
練習,462,29.1851,1606,26.3322,2.8529,1.1529945132159398,1.020132312444275,1.3031607089484099,0.0239504673907903,False,False,0.1311523410831923,False
場,157,9.9179,729,11.9528,-2.0349,0.8110112605982951,0.6760158325909309,0.9729642903426573,0.02428115628759992,False,False,0.1326735075583891,False
滑走,9,0.5685,12,0.1968,0.3718,2.900412960609911,1.2199368727193656,6.895762830187967,0.025127228465518417,False,False,0.13699801954678303,False
バスケットボール,71,4.4852,202,3.312,1.1731,1.3708385719524334,1.0399443824073271,1.8070181657239237,0.027138259541561724,False,False,0.1476415508248087,False
あと,1,0.0632,25,0.4099,-0.3467,0.1535777496839444,0.02079319560977838,1.134319401434019,0.028906943735375362,False,False,0.15658448140026224,False
異常,1,0.0632,25,0.4099,-0.3467,0.1535777496839444,0.02079319560977838,1.134319401434019,0.028906943735375362,False,False,0.15658448140026224,False
止まる,16,1.0107,31,0.5083,0.5025,1.9986413323177636,1.0904319109082012,3.6632889548526895,0.029133424072453496,False,False,0.15747118011576156,False
穴,1,0.0632,26,0.4263,-0.3631,0.1476466011864242,0.020019740356656036,1.0889011772150796,0.02920590983581796,False,False,0.15752348788866977,False
名,13,0.8212,94,1.5412,-0.72,0.5289673397479333,0.2953888665704944,0.9472477746659753,0.029731056944175997,False,False,0.16001178286693862,False
会,11,0.6949,85,1.3937,-0.6988,0.4950905553060919,0.2635527174233431,0.9300403363307702,0.029832859452015796,False,False,0.1602158704617893,False
低い,9,0.5685,13,0.2131,0.3554,2.6768644316293617,1.1421675860072622,6.273688093681224,0.030266213196296646,False,False,0.1621958604622051,False
スイング,7,0.4422,9,0.1476,0.2946,3.005499153976311,1.1175563930707613,8.082836106133184,0.030926657913285575,False,False,0.16538178687957403,False
応援,11,0.6949,17,0.2787,0.4161,2.503442598413411,1.1702462221607677,5.355475390451553,0.031087633335531415,False,False,0.16588890299045275,False
バック,12,0.7581,21,0.3443,0.4137,2.210784759479858,1.0853576239961433,4.503187838449994,0.03129177192960465,False,False,0.16662370275891394,False
バッティングマシーン,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
ヘリ,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
体調,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
引火,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
摘出,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
測定,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
激痛,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
痛む,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
級友,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
耳鳴り,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
聴力,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
調整,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
食べる,0,0.0,17,0.2787,-0.2787,0.10974784609138888,0.006596003665836754,1.8260435154217336,0.03271321508921682,False,True,0.16846969906315354,False
跳箱,3,0.1895,38,0.6231,-0.4335,0.3028481012658228,0.09336359107291446,0.9823633751264508,0.032672007705749045,False,False,0.16846969906315354,False
立てる,4,0.2527,44,0.7214,-0.4687,0.34860959180148543,0.12507064789626537,0.9716800027836677,0.031743231706274785,False,False,0.16846969906315354,False
全身,4,0.2527,45,0.7378,-0.4851,0.340806417563859,0.12238691936625423,0.9490312760069126,0.03195769087834857,False,False,0.16846969906315354,False
左側,14,0.8844,97,1.5904,-0.706,0.5521147490357639,0.3143937342678437,0.9695826057497949,0.03358525538516658,False,False,0.1726061895614709,False
友人,121,7.6437,570,9.3458,-1.7021,0.8028043775649795,0.6543445509320266,0.9849472540414634,0.034104159762817575,False,False,0.1749145862681932,False
ぐらつく,6,0.379,7,0.1148,0.2643,3.3111694899900352,1.1112137489144764,9.866547639597906,0.034311422433733266,False,False,0.1756184642118429,False
ファウルチップ,0,0.0,18,0.2951,-0.2951,0.10379846218179026,0.006251619493792584,1.7234127512083035,0.034905264880280944,False,True,0.17585688511033012,False
心臓,0,0.0,18,0.2951,-0.2951,0.10379846218179026,0.006251619493792584,1.7234127512083035,0.034905264880280944,False,True,0.17585688511033012,False
眼瞼,0,0.0,18,0.2951,-0.2951,0.10379846218179026,0.006251619493792584,1.7234127512083035,0.034905264880280944,False,True,0.17585688511033012,False
硬い,0,0.0,18,0.2951,-0.2951,0.10379846218179026,0.006251619493792584,1.7234127512083035,0.034905264880280944,False,True,0.17585688511033012,False
背部,0,0.0,18,0.2951,-0.2951,0.10379846218179026,0.006251619493792584,1.7234127512083035,0.034905264880280944,False,True,0.17585688511033012,False
血腫,0,0.0,18,0.2951,-0.2951,0.10379846218179026,0.006251619493792584,1.7234127512083035,0.034905264880280944,False,True,0.17585688511033012,False
連絡,0,0.0,18,0.2951,-0.2951,0.10379846218179026,0.006251619493792584,1.7234127512083035,0.034905264880280944,False,True,0.17585688511033012,False
水,7,0.4422,62,1.0166,-0.5744,0.43248526281316524,0.19756584041508,0.946740095137903,0.03491895087118996,False,False,0.17585688511033012,False
寄宿舎,5,0.3159,5,0.082,0.2339,3.861850443599493,1.1166107850678124,13.35638975386027,0.036869791025557916,False,False,0.18275614594943806,False
照明,5,0.3159,5,0.082,0.2339,3.861850443599493,1.1166107850678124,13.35638975386027,0.036869791025557916,False,False,0.18275614594943806,False
つんのめる,4,0.2527,3,0.0492,0.2035,5.147561747941736,1.1508786289454207,23.02361976532071,0.03687185400734277,False,False,0.18275614594943806,False
カゴ,4,0.2527,3,0.0492,0.2035,5.147561747941736,1.1508786289454207,23.02361976532071,0.03687185400734277,False,False,0.18275614594943806,False
スケート,4,0.2527,3,0.0492,0.2035,5.147561747941736,1.1508786289454207,23.02361976532071,0.03687185400734277,False,False,0.18275614594943806,False
ルーズボール,4,0.2527,3,0.0492,0.2035,5.147561747941736,1.1508786289454207,23.02361976532071,0.03687185400734277,False,False,0.18275614594943806,False
浴室,4,0.2527,3,0.0492,0.2035,5.147561747941736,1.1508786289454207,23.02361976532071,0.03687185400734277,False,False,0.18275614594943806,False
経路,4,0.2527,3,0.0492,0.2035,5.147561747941736,1.1508786289454207,23.02361976532071,0.03687185400734277,False,False,0.18275614594943806,False
曲がる,17,1.0739,35,0.5739,0.5,1.8808246670315636,1.050877148056853,3.3662368952027215,0.038176613226281436,False,False,0.18884999205426792,False
つける,6,0.379,56,0.9182,-0.5392,0.4105670803514811,0.17658015471386876,0.9546108266893496,0.038679512867795404,False,False,0.19096105959139936,False
相手,211,13.3291,696,11.4117,1.9174,1.1938618427666634,1.0122305593923857,1.4080844392504663,0.03984827380485799,False,False,0.19634473615438866,False
動く,5,0.3159,48,0.787,-0.4712,0.3994375792141952,0.15875018883791148,1.0050405662912438,0.04126484904052519,False,False,0.20292596351693562,False
段,8,0.5054,66,1.0821,-0.5768,0.4643001443001443,0.22244428015562676,0.9691174070482469,0.04181675482961302,False,False,0.2052376147018972,False
使う,16,1.0107,107,1.7544,-0.7436,0.5717932354818124,0.33713470263071865,0.9697830024365133,0.04219913185256386,False,False,0.20670980993404328,False
出入り口,1,0.0632,23,0.3771,-0.3139,0.1669873028087726,0.022533390772677922,1.2374861635630714,0.04365447110167249,False,False,0.21218103395929186,False
分間,1,0.0632,23,0.3771,-0.3139,0.1669873028087726,0.022533390772677922,1.2374861635630714,0.04365447110167249,False,False,0.21218103395929186,False
機械,1,0.0632,23,0.3771,-0.3139,0.1669873028087726,0.022533390772677922,1.2374861635630714,0.04365447110167249,False,False,0.21218103395929186,False
腰部,1,0.0632,23,0.3771,-0.3139,0.1669873028087726,0.022533390772677922,1.2374861635630714,0.04365447110167249,False,False,0.21218103395929186,False
ら,1,0.0632,24,0.3935,-0.3303,0.1600031605562579,0.021628504135659407,1.18366999527178,0.04424885839233865,False,False,0.21231353351489,False
午後,1,0.0632,24,0.3935,-0.3303,0.1600031605562579,0.021628504135659407,1.18366999527178,0.04424885839233865,False,False,0.21231353351489,False
聞く,1,0.0632,24,0.3935,-0.3303,0.1600031605562579,0.021628504135659407,1.18366999527178,0.04424885839233865,False,False,0.21231353351489,False
臀部,1,0.0632,24,0.3935,-0.3303,0.1600031605562579,0.021628504135659407,1.18366999527178,0.04424885839233865,False,False,0.21231353351489,False
装着,1,0.0632,24,0.3935,-0.3303,0.1600031605562579,0.021628504135659407,1.18366999527178,0.04424885839233865,False,False,0.21231353351489,False
親指,1,0.0632,24,0.3935,-0.3303,0.1600031605562579,0.021628504135659407,1.18366999527178,0.04424885839233865,False,False,0.21231353351489,False
叩く,4,0.2527,42,0.6886,-0.436,0.36533067945354203,0.1308044149494973,1.0203516861530797,0.04427431340840808,False,False,0.21231353351489,False
ドリブル,13,0.8212,25,0.4099,0.4113,2.0117707006369425,1.0268739171554928,3.9413030989747204,0.044561673459696846,False,False,0.21328373480328186,False
転落,25,1.5793,149,2.443,-0.8637,0.6407715966951263,0.4179680920294547,0.9823435017194733,0.04586808731663411,False,False,0.2191184056954635,False
