N,N-gram,総出現回数,出現事例数,事例出現率（％）,N別順位
2,失う 倒れる,27,27,0.3515,427
2,ボール 持つ,27,27,0.3515,428
2,廊下 歩く,27,27,0.3515,429
2,体重 かかる,27,27,0.3515,430
2,治療 前額,27,27,0.3515,431
2,眼球 打撲,27,27,0.3515,432
2,場 鬼ごっこ,26,26,0.3385,433
2,口唇 部,26,26,0.3385,434
2,ぶつける しまう,26,26,0.3385,435
2,保護 者,26,23,0.2994,436
2,取る れる,26,26,0.3385,437
2,足 当たる,26,26,0.3385,438
2,練習 人,26,26,0.3385,439
2,ボール イレギュラー,26,26,0.3385,440
2,ぶつかる 前歯,26,26,0.3385,441
2,ボール キャッチ,26,26,0.3385,442
2,股間 当たる,26,26,0.3385,443
2,場 練習,26,26,0.3385,444
2,番 通報,26,26,0.3385,445
2,手術 瘢痕,26,26,0.3385,446
2,直接 眼,26,26,0.3385,447
2,せき柱 変形,26,26,0.3385,448
2,頭部 打撲,25,25,0.3254,449
2,頭部 当たる,25,24,0.3124,450
2,練習 終了,25,25,0.3254,451
2,正面 衝突,25,25,0.3254,452
2,走る 友人,25,25,0.3254,453
2,ゴール ポスト,25,22,0.2864,454
2,ボール 入れる,25,23,0.2994,455
2,転倒 顎,25,25,0.3254,456
2,文化 祭,25,24,0.3124,457
2,相手 頭部,25,25,0.3254,458
2,転がる ボール,25,25,0.3254,459
2,地面 顔面,25,25,0.3254,460
2,床 倒れる,25,25,0.3254,461
2,転 練習,25,25,0.3254,462
2,木 枝,25,19,0.2473,463
2,腹部 強打,25,25,0.3254,464
2,足 もつれる,24,24,0.3124,465
2,傷 負う,24,24,0.3124,466
2,接触 相手,24,24,0.3124,467
2,顔 地面,24,24,0.3124,468
2,試合 シュート,24,24,0.3124,469
2,飛ばす れる,24,24,0.3124,470
2,準備 体操,24,24,0.3124,471
2,友人 遊ぶ,24,24,0.3124,472
2,転倒 右手,24,24,0.3124,473
2,外 体育館,24,24,0.3124,474
2,ひっかく れる,24,24,0.3124,475
2,遊戯 室,24,24,0.3124,476
2,引っかく れる,24,24,0.3124,477
2,直撃 眼,24,24,0.3124,478
2,顔面 眼,24,24,0.3124,479
2,向かう 途中,23,23,0.2994,480
2,練習 投げる,23,22,0.2864,481
2,乗る 遊ぶ,23,23,0.2994,482
2,体育館 バレーボール,23,23,0.2994,483
2,階 階段,23,21,0.2734,484
2,支える きれる,23,23,0.2994,485
2,床 ぶつける,23,23,0.2994,486
2,体育 マット,23,23,0.2994,487
2,バッター ボール,23,23,0.2994,488
2,フリー バッティング,23,22,0.2864,489
2,口 直撃,23,23,0.2994,490
2,部 強い,23,23,0.2994,491
2,ふざける あう,23,23,0.2994,492
2,自転車 乗る,23,22,0.2864,493
2,トイレ 行く,23,23,0.2994,494
2,打つ 球,23,23,0.2994,495
2,治療 前歯,23,23,0.2994,496
2,家庭 科,23,22,0.2864,497
2,眼 周辺,23,21,0.2734,498
2,制限 残存,23,23,0.2994,499
2,当たる 視力,23,23,0.2994,500
2,瞳 残存,23,23,0.2994,501
2,蘇生 AED,23,23,0.2994,502
2,圧迫 骨折,23,23,0.2994,503
2,顔面 ぶつかる,22,22,0.2864,504
2,練習 運動,22,22,0.2864,505
2,体 バランス,22,22,0.2864,506
2,床 強い,22,22,0.2864,507
2,合同 練習,22,22,0.2864,508
2,階段 下りる,22,21,0.2734,509
2,落ちる くる,22,22,0.2864,510
2,しまう 顔面,22,21,0.2734,511
2,部 直撃,22,22,0.2864,512
2,跳ね返る ボール,22,22,0.2864,513
2,乗る しまう,22,22,0.2864,514
2,ぶつかる しまう,22,21,0.2734,515
2,付近 当たる,22,22,0.2864,516
2,バッティング マシン,22,20,0.2603,517
2,打球 顔面,22,22,0.2864,518
2,顔 強打,22,22,0.2864,519
2,当たる 受診,22,22,0.2864,520
2,断 裂,22,22,0.2864,521
2,右足 関節,22,19,0.2473,522
2,脱臼 骨折,22,22,0.2864,523
2,右手 薬指,22,21,0.2734,524
2,左手 中指,22,19,0.2473,525
2,圧迫 AED,22,22,0.2864,526
2,練習 ピッチャー,21,21,0.2734,527
2,つま づく,21,21,0.2734,528
2,向かう 走る,21,21,0.2734,529
2,衝突 相手,21,21,0.2734,530
2,口 負傷,21,21,0.2734,531
2,転倒 手,21,21,0.2734,532
2,振る ラケット,21,21,0.2734,533
2,シュート 打つ,21,20,0.2603,534
2,顔 ぶつける,21,21,0.2734,535
2,ｍ 離れる,21,20,0.2603,536
2,自転車 前輪,21,21,0.2734,537
2,生活 科,21,21,0.2734,538
2,顔 打つ,21,21,0.2734,539
2,ボール 取り合い,21,21,0.2734,540
2,投げ出す れる,21,21,0.2734,541
2,鬼ごっこ 鬼,21,21,0.2734,542
2,額 当たる,21,21,0.2734,543
2,体育 校庭,21,21,0.2734,544
2,友人 一緒,21,21,0.2734,545
2,左上 腕,21,20,0.2603,546
2,距離 眼,21,21,0.2734,547
2,れる 眼,21,20,0.2603,548
2,黄 斑,21,19,0.2473,549
2,意識 ない,21,20,0.2603,550
2,調節 機能,21,21,0.2734,551
2,鼻 部,20,19,0.2473,552
2,シート ノック,20,20,0.2603,553
2,遊ぶ 手,20,20,0.2603,554
2,校舎 内,20,19,0.2473,555
2,フライ 捕る,20,20,0.2603,556
2,床 打ちつける,20,20,0.2603,557
2,友人 追う,20,20,0.2603,558
2,下校 道路,20,20,0.2603,559
2,顔面 打つ,20,20,0.2603,560
2,練習 守備,20,20,0.2603,561
2,遊ぶ 足,20,20,0.2603,562
2,水泳 部,20,20,0.2603,563
2,追いかける くる,20,20,0.2603,564
2,出る くる,20,19,0.2473,565
2,つまずく 転ぶ,20,20,0.2603,566
2,前腕 部,20,19,0.2473,567
2,徒歩 下校,20,20,0.2603,568
2,場 バッティング,20,20,0.2603,569
2,頬 切る,20,20,0.2603,570
2,入る くる,20,19,0.2473,571
2,友人 蹴る,20,20,0.2603,572
