全体順位,品詞,品詞別順位,基本形,出現回数,出現事例数,事例出現率(%),1事例当たり平均出現回数,対象事例数
494,動詞,131,あう,8,8,0.5054,1.0,1583
495,形容詞,6,うまい,8,8,0.5054,1.0,1583
496,名詞,346,がけ,8,8,0.5054,1.0,1583
497,動詞,131,こむ,8,8,0.5054,1.0,1583
498,形容詞,6,ない,8,8,0.5054,1.0,1583
499,名詞,346,ゴロ,8,8,0.5054,1.0,1583
500,名詞,346,トレーニング,8,8,0.5054,1.0,1583
501,名詞,346,ロック,8,8,0.5054,1.0,1583
502,動詞,131,並ぶ,8,8,0.5054,1.0,1583
503,名詞,346,中央,8,8,0.5054,1.0,1583
504,名詞,346,交差点,8,8,0.5054,1.0,1583
505,名詞,346,入ろう,8,8,0.5054,1.0,1583
506,名詞,346,右手,8,8,0.5054,1.0,1583
507,名詞,346,味方,8,8,0.5054,1.0,1583
508,動詞,131,回す,8,8,0.5054,1.0,1583
509,名詞,346,始業,8,8,0.5054,1.0,1583
510,動詞,131,帰る,8,8,0.5054,1.0,1583
511,名詞,346,待機,8,8,0.5054,1.0,1583
512,名詞,346,歯槽,8,8,0.5054,1.0,1583
513,名詞,346,歯肉,8,8,0.5054,1.0,1583
514,動詞,131,渡す,8,8,0.5054,1.0,1583
515,名詞,346,用,8,8,0.5054,1.0,1583
516,名詞,346,発作,8,8,0.5054,1.0,1583
517,動詞,131,登る,8,8,0.5054,1.0,1583
518,名詞,346,直後,8,8,0.5054,1.0,1583
519,名詞,346,種目,8,8,0.5054,1.0,1583
520,名詞,346,者,8,8,0.5054,1.0,1583
521,名詞,346,走者,8,8,0.5054,1.0,1583
522,名詞,346,身体,8,8,0.5054,1.0,1583
523,名詞,346,通常,8,8,0.5054,1.0,1583
524,名詞,346,遠征,8,8,0.5054,1.0,1583
525,名詞,346,６,8,8,0.5054,1.0,1583
526,名詞,382,ランナー,10,7,0.4422,1.4286,1583
527,名詞,382,馬,10,7,0.4422,1.4286,1583
528,名詞,382,ファースト,9,7,0.4422,1.2857,1583
529,名詞,382,水,9,7,0.4422,1.2857,1583
530,動詞,138,運ぶ,9,7,0.4422,1.2857,1583
531,動詞,138,しゃがむ,8,7,0.4422,1.1429,1583
532,名詞,382,サイド,8,7,0.4422,1.1429,1583
533,名詞,382,スイング,8,7,0.4422,1.1429,1583
534,動詞,138,急ぐ,8,7,0.4422,1.1429,1583
535,名詞,382,組,8,7,0.4422,1.1429,1583
536,名詞,382,胸,8,7,0.4422,1.1429,1583
537,名詞,382,自宅,8,7,0.4422,1.1429,1583
538,動詞,138,走り出す,8,7,0.4422,1.1429,1583
539,名詞,382,駐車,8,7,0.4422,1.1429,1583
540,名詞,382,そこ,7,7,0.4422,1.0,1583
541,名詞,382,たち,7,7,0.4422,1.0,1583
542,名詞,382,ベース,7,7,0.4422,1.0,1583
543,名詞,382,位置,7,7,0.4422,1.0,1583
544,名詞,382,何,7,7,0.4422,1.0,1583
545,名詞,382,先端,7,7,0.4422,1.0,1583
546,名詞,382,半分,7,7,0.4422,1.0,1583
547,名詞,382,反動,7,7,0.4422,1.0,1583
548,名詞,382,反対,7,7,0.4422,1.0,1583
549,名詞,382,合宿,7,7,0.4422,1.0,1583
550,形容詞,8,大きい,7,7,0.4422,1.0,1583
551,動詞,138,始まる,7,7,0.4422,1.0,1583
552,名詞,382,完全,7,7,0.4422,1.0,1583
553,動詞,138,崩れる,7,7,0.4422,1.0,1583
554,名詞,382,左手,7,7,0.4422,1.0,1583
555,名詞,382,左腕,7,7,0.4422,1.0,1583
556,名詞,382,徒歩,7,7,0.4422,1.0,1583
557,名詞,382,投手,7,7,0.4422,1.0,1583
558,動詞,138,挟まる,7,7,0.4422,1.0,1583
559,動詞,138,掛ける,7,7,0.4422,1.0,1583
560,動詞,138,損なう,7,7,0.4422,1.0,1583
561,名詞,382,昇降,7,7,0.4422,1.0,1583
562,名詞,382,歯根,7,7,0.4422,1.0,1583
563,名詞,382,滑り,7,7,0.4422,1.0,1583
564,名詞,382,背後,7,7,0.4422,1.0,1583
565,動詞,138,落とす,7,7,0.4422,1.0,1583
566,名詞,382,設置,7,7,0.4422,1.0,1583
567,名詞,382,踊り場,7,7,0.4422,1.0,1583
568,名詞,382,運動会,7,7,0.4422,1.0,1583
569,名詞,382,鉄,7,7,0.4422,1.0,1583
570,名詞,382,防,7,7,0.4422,1.0,1583
571,名詞,382,首,7,7,0.4422,1.0,1583
572,名詞,417,ステージ,12,6,0.379,2.0,1583
573,名詞,417,水筒,10,6,0.379,1.6667,1583
574,名詞,417,保健,9,6,0.379,1.5,1583
575,名詞,417,友だち,9,6,0.379,1.5,1583
576,名詞,417,同級生,8,6,0.379,1.3333,1583
577,名詞,417,川,8,6,0.379,1.3333,1583
578,動詞,148,渡る,8,6,0.379,1.3333,1583
579,名詞,417,返球,8,6,0.379,1.3333,1583
580,名詞,417,オフェンス,7,6,0.379,1.1667,1583
581,名詞,417,ノッカー,7,6,0.379,1.1667,1583
582,名詞,417,ライト,7,6,0.379,1.1667,1583
583,名詞,417,一塁,7,6,0.379,1.1667,1583
584,名詞,417,交錯,7,6,0.379,1.1667,1583
585,動詞,148,回る,7,6,0.379,1.1667,1583
586,名詞,417,斜面,7,6,0.379,1.1667,1583
587,名詞,417,自動車,7,6,0.379,1.1667,1583
588,名詞,417,蓋,7,6,0.379,1.1667,1583
589,名詞,417,袋,7,6,0.379,1.1667,1583
590,動詞,148,跳ねる,7,6,0.379,1.1667,1583
591,名詞,417,顧問,7,6,0.379,1.1667,1583
592,動詞,148,あたる,6,6,0.379,1.0,1583
593,名詞,417,お互い,6,6,0.379,1.0,1583
594,動詞,148,ぐらつく,6,6,0.379,1.0,1583
595,名詞,417,その後,6,6,0.379,1.0,1583
596,動詞,148,それる,6,6,0.379,1.0,1583
597,動詞,148,つける,6,6,0.379,1.0,1583
598,名詞,417,つま,6,6,0.379,1.0,1583
599,動詞,148,づく,6,6,0.379,1.0,1583
600,動詞,148,ふらつく,6,6,0.379,1.0,1583
601,動詞,148,みる,6,6,0.379,1.0,1583
602,動詞,148,もらう,6,6,0.379,1.0,1583
603,名詞,417,デッドボール,6,6,0.379,1.0,1583
604,名詞,417,ハンドボール,6,6,0.379,1.0,1583
605,名詞,417,ヘルメット,6,6,0.379,1.0,1583
606,名詞,417,ライナー,6,6,0.379,1.0,1583
607,動詞,148,下がる,6,6,0.379,1.0,1583
608,動詞,148,下ろす,6,6,0.379,1.0,1583
609,名詞,417,交流,6,6,0.379,1.0,1583
610,名詞,417,位,6,6,0.379,1.0,1583
611,名詞,417,先頭,6,6,0.379,1.0,1583
612,名詞,417,全員,6,6,0.379,1.0,1583
613,名詞,417,公園,6,6,0.379,1.0,1583
614,動詞,148,分かれる,6,6,0.379,1.0,1583
615,名詞,417,前進,6,6,0.379,1.0,1583
616,名詞,417,動き,6,6,0.379,1.0,1583
617,名詞,417,口論,6,6,0.379,1.0,1583
618,名詞,417,合同,6,6,0.379,1.0,1583
619,名詞,417,同士,6,6,0.379,1.0,1583
620,動詞,148,寄る,6,6,0.379,1.0,1583
621,動詞,148,引く,6,6,0.379,1.0,1583
622,動詞,148,引っ掛ける,6,6,0.379,1.0,1583
623,動詞,148,怒る,6,6,0.379,1.0,1583
624,名詞,417,性,6,6,0.379,1.0,1583
625,動詞,148,戻す,6,6,0.379,1.0,1583
626,動詞,148,放す,6,6,0.379,1.0,1583
627,名詞,417,本人,6,6,0.379,1.0,1583
628,名詞,417,枠,6,6,0.379,1.0,1583
629,名詞,417,校門,6,6,0.379,1.0,1583
630,動詞,148,気が付く,6,6,0.379,1.0,1583
631,動詞,148,気づく,6,6,0.379,1.0,1583
632,名詞,417,球技,6,6,0.379,1.0,1583
633,名詞,417,痛み,6,6,0.379,1.0,1583
634,名詞,417,発見,6,6,0.379,1.0,1583
635,名詞,417,砂利,6,6,0.379,1.0,1583
636,動詞,148,立ち止まる,6,6,0.379,1.0,1583
637,名詞,417,端,6,6,0.379,1.0,1583
638,名詞,417,脚,6,6,0.379,1.0,1583
639,名詞,417,腰,6,6,0.379,1.0,1583
640,名詞,417,自立,6,6,0.379,1.0,1583
641,動詞,148,見える,6,6,0.379,1.0,1583
642,動詞,148,見失う,6,6,0.379,1.0,1583
643,動詞,148,言い争う,6,6,0.379,1.0,1583
644,名詞,417,話,6,6,0.379,1.0,1583
645,動詞,148,起きる,6,6,0.379,1.0,1583
646,名詞,417,足元,6,6,0.379,1.0,1583
647,動詞,148,遅れる,6,6,0.379,1.0,1583
648,名詞,417,頬,6,6,0.379,1.0,1583
649,名詞,417,駅,6,6,0.379,1.0,1583
650,名詞,467,竹,12,5,0.3159,2.4,1583
651,名詞,467,シーソー,8,5,0.3159,1.6,1583
652,名詞,467,5,7,5,0.3159,1.4,1583
653,名詞,467,グループ,7,5,0.3159,1.4,1583
654,名詞,467,ブラシ,7,5,0.3159,1.4,1583
655,名詞,467,車いす,7,5,0.3159,1.4,1583
656,名詞,467,キック,6,5,0.3159,1.2,1583
657,名詞,467,キーパー,6,5,0.3159,1.2,1583
658,名詞,467,コース,6,5,0.3159,1.2,1583
659,名詞,467,ポジション,6,5,0.3159,1.2,1583
660,名詞,467,両足,6,5,0.3159,1.2,1583
661,名詞,467,使用,6,5,0.3159,1.2,1583
662,名詞,467,冠,6,5,0.3159,1.2,1583
663,名詞,467,擦り傷,6,5,0.3159,1.2,1583
664,名詞,467,6,5,5,0.3159,1.0,1583
665,名詞,467,あご,5,5,0.3159,1.0,1583
666,動詞,176,かわす,5,5,0.3159,1.0,1583
667,名詞,467,けが,5,5,0.3159,1.0,1583
668,動詞,176,ける,5,5,0.3159,1.0,1583
669,名詞,467,けんか,5,5,0.3159,1.0,1583
670,動詞,176,すぎる,5,5,0.3159,1.0,1583
671,動詞,176,つなぐ,5,5,0.3159,1.0,1583
672,名詞,467,てんかん,5,5,0.3159,1.0,1583
673,動詞,176,はまる,5,5,0.3159,1.0,1583
674,名詞,467,よそ見,5,5,0.3159,1.0,1583
675,名詞,467,グランド,5,5,0.3159,1.0,1583
676,名詞,467,グリップ,5,5,0.3159,1.0,1583
677,名詞,467,グローブ,5,5,0.3159,1.0,1583
678,名詞,467,スパイク,5,5,0.3159,1.0,1583
679,名詞,467,スライディング,5,5,0.3159,1.0,1583
680,名詞,467,タイミング,5,5,0.3159,1.0,1583
681,名詞,467,ダブルス,5,5,0.3159,1.0,1583
682,名詞,467,ダンス,5,5,0.3159,1.0,1583
683,名詞,467,トラブル,5,5,0.3159,1.0,1583
684,名詞,467,バスケット,5,5,0.3159,1.0,1583
685,名詞,467,プレー,5,5,0.3159,1.0,1583
686,名詞,467,ペア,5,5,0.3159,1.0,1583
687,名詞,467,ホール,5,5,0.3159,1.0,1583
688,名詞,467,ポール,5,5,0.3159,1.0,1583
689,動詞,176,上る,5,5,0.3159,1.0,1583
690,名詞,467,人組,5,5,0.3159,1.0,1583
691,名詞,467,以前,5,5,0.3159,1.0,1583
692,動詞,176,倒れ込む,5,5,0.3159,1.0,1583
693,名詞,467,全力,5,5,0.3159,1.0,1583
694,名詞,467,出し,5,5,0.3159,1.0,1583
695,動詞,176,出来る,5,5,0.3159,1.0,1583
696,名詞,467,分,5,5,0.3159,1.0,1583
697,動詞,176,動く,5,5,0.3159,1.0,1583
698,動詞,176,受け止める,5,5,0.3159,1.0,1583
699,名詞,467,吹奏楽,5,5,0.3159,1.0,1583
700,名詞,467,周り,5,5,0.3159,1.0,1583
701,名詞,467,多量,5,5,0.3159,1.0,1583
702,動詞,176,奪う,5,5,0.3159,1.0,1583
703,名詞,467,宿泊,5,5,0.3159,1.0,1583
704,名詞,467,寄宿舎,5,5,0.3159,1.0,1583
705,名詞,467,左上,5,5,0.3159,1.0,1583
706,名詞,467,底,5,5,0.3159,1.0,1583
707,名詞,467,度,5,5,0.3159,1.0,1583
708,名詞,467,式,5,5,0.3159,1.0,1583
709,名詞,467,手首,5,5,0.3159,1.0,1583
710,名詞,467,拍子,5,5,0.3159,1.0,1583
711,動詞,176,振り切る,5,5,0.3159,1.0,1583
712,名詞,467,日,5,5,0.3159,1.0,1583
713,名詞,467,早朝,5,5,0.3159,1.0,1583
714,名詞,467,校内,5,5,0.3159,1.0,1583
715,名詞,467,根本,5,5,0.3159,1.0,1583
716,名詞,467,歯茎,5,5,0.3159,1.0,1583
717,名詞,467,永久歯,5,5,0.3159,1.0,1583
718,名詞,467,注意,5,5,0.3159,1.0,1583
719,名詞,467,照明,5,5,0.3159,1.0,1583
720,名詞,467,物,5,5,0.3159,1.0,1583
721,名詞,467,番,5,5,0.3159,1.0,1583
722,名詞,467,直前,5,5,0.3159,1.0,1583
723,名詞,467,紅白,5,5,0.3159,1.0,1583
724,名詞,467,総合,5,5,0.3159,1.0,1583
725,名詞,467,縁,5,5,0.3159,1.0,1583
726,名詞,467,腹,5,5,0.3159,1.0,1583
727,名詞,467,腹部,5,5,0.3159,1.0,1583
728,動詞,176,見つける,5,5,0.3159,1.0,1583
729,動詞,176,言う,5,5,0.3159,1.0,1583
730,名詞,467,言葉,5,5,0.3159,1.0,1583
731,動詞,176,起き上がる,5,5,0.3159,1.0,1583
732,動詞,176,越える,5,5,0.3159,1.0,1583
733,動詞,176,返す,5,5,0.3159,1.0,1583
734,名詞,467,通路,5,5,0.3159,1.0,1583
735,動詞,176,過ぎる,5,5,0.3159,1.0,1583
736,形容詞,9,長い,5,5,0.3159,1.0,1583
737,名詞,467,開始,5,5,0.3159,1.0,1583
738,動詞,176,間に合う,5,5,0.3159,1.0,1583
739,名詞,467,雨天,5,5,0.3159,1.0,1583
740,名詞,467,電柱,5,5,0.3159,1.0,1583
741,動詞,176,飛び降りる,5,5,0.3159,1.0,1583
742,名詞,467,馬跳び,5,5,0.3159,1.0,1583
743,名詞,467,鬼,5,5,0.3159,1.0,1583
744,名詞,540,車椅子,9,4,0.2527,2.25,1583
745,名詞,540,すべり台,6,4,0.2527,1.5,1583
746,名詞,540,作業,6,4,0.2527,1.5,1583
747,名詞,540,黒板,6,4,0.2527,1.5,1583
748,名詞,540,m,5,4,0.2527,1.25,1583
749,名詞,540,ほうき,5,4,0.2527,1.25,1583
750,名詞,540,カゴ,5,4,0.2527,1.25,1583
751,名詞,540,ゴルフ,5,4,0.2527,1.25,1583
752,名詞,540,サーブ,5,4,0.2527,1.25,1583
753,名詞,540,スケート,5,4,0.2527,1.25,1583
754,名詞,540,タックル,5,4,0.2527,1.25,1583
755,名詞,540,デッキ,5,4,0.2527,1.25,1583
756,名詞,540,トランポリン,5,4,0.2527,1.25,1583
757,名詞,540,ロープ,5,4,0.2527,1.25,1583
758,名詞,540,三,5,4,0.2527,1.25,1583
759,名詞,540,三塁,5,4,0.2527,1.25,1583
760,名詞,540,内野,5,4,0.2527,1.25,1583
761,動詞,196,刺さる,5,4,0.2527,1.25,1583
762,名詞,540,力,5,4,0.2527,1.25,1583
763,名詞,540,宙返り,5,4,0.2527,1.25,1583
764,名詞,540,班,5,4,0.2527,1.25,1583
765,名詞,540,見学,5,4,0.2527,1.25,1583
766,動詞,196,跳ね上がる,5,4,0.2527,1.25,1583
767,名詞,540,転,5,4,0.2527,1.25,1583
768,動詞,196,うつ伏せる,4,4,0.2527,1.0,1583
769,動詞,196,かがむ,4,4,0.2527,1.0,1583
770,動詞,196,かすめる,4,4,0.2527,1.0,1583
771,名詞,540,かばん,4,4,0.2527,1.0,1583
772,動詞,196,きる,4,4,0.2527,1.0,1583
773,動詞,196,こぐ,4,4,0.2527,1.0,1583
774,動詞,196,じゃれる,4,4,0.2527,1.0,1583
775,名詞,540,そば,4,4,0.2527,1.0,1583
776,動詞,196,つんのめる,4,4,0.2527,1.0,1583
777,名詞,540,とっさ,4,4,0.2527,1.0,1583
778,動詞,196,とぶ,4,4,0.2527,1.0,1583
779,動詞,196,ぬれる,4,4,0.2527,1.0,1583
780,名詞,540,ほお,4,4,0.2527,1.0,1583
781,名詞,540,カット,4,4,0.2527,1.0,1583
782,名詞,540,ゴム,4,4,0.2527,1.0,1583
783,名詞,540,センター,4,4,0.2527,1.0,1583
784,名詞,540,ファール,4,4,0.2527,1.0,1583
785,名詞,540,フリー,4,4,0.2527,1.0,1583
786,名詞,540,フロア,4,4,0.2527,1.0,1583
787,名詞,540,ベンチ,4,4,0.2527,1.0,1583
788,名詞,540,ベースボール,4,4,0.2527,1.0,1583
789,名詞,540,ホームルーム,4,4,0.2527,1.0,1583
790,名詞,540,ミーティング,4,4,0.2527,1.0,1583
791,名詞,540,ルーズボール,4,4,0.2527,1.0,1583
792,名詞,540,一環,4,4,0.2527,1.0,1583
793,名詞,540,上口,4,4,0.2527,1.0,1583
794,名詞,540,上級生,4,4,0.2527,1.0,1583
795,名詞,540,中庭,4,4,0.2527,1.0,1583
796,動詞,196,乗り越える,4,4,0.2527,1.0,1583
797,動詞,196,伸ばす,4,4,0.2527,1.0,1583
798,名詞,540,停止,4,4,0.2527,1.0,1583
799,名詞,540,停車,4,4,0.2527,1.0,1583
800,動詞,196,傾く,4,4,0.2527,1.0,1583
801,名詞,540,入り口,4,4,0.2527,1.0,1583
802,動詞,196,入り込む,4,4,0.2527,1.0,1583
803,名詞,540,全身,4,4,0.2527,1.0,1583
804,名詞,540,公式,4,4,0.2527,1.0,1583
805,名詞,540,列,4,4,0.2527,1.0,1583
806,名詞,540,前かがみ,4,4,0.2527,1.0,1583
807,名詞,540,前日,4,4,0.2527,1.0,1583
808,動詞,196,取り返す,4,4,0.2527,1.0,1583
809,動詞,196,叩く,4,4,0.2527,1.0,1583
810,名詞,540,右側,4,4,0.2527,1.0,1583
811,名詞,540,合唱,4,4,0.2527,1.0,1583
812,名詞,540,向き,4,4,0.2527,1.0,1583
813,名詞,540,固定,4,4,0.2527,1.0,1583
814,動詞,196,変わる,4,4,0.2527,1.0,1583
815,動詞,196,外す,4,4,0.2527,1.0,1583
816,名詞,540,外傷,4,4,0.2527,1.0,1583
817,名詞,540,姿勢,4,4,0.2527,1.0,1583
818,名詞,540,小走り,4,4,0.2527,1.0,1583
819,名詞,540,左折,4,4,0.2527,1.0,1583
820,名詞,540,帰り,4,4,0.2527,1.0,1583
821,名詞,540,年生,4,4,0.2527,1.0,1583
822,名詞,540,扉,4,4,0.2527,1.0,1583
823,名詞,540,手前,4,4,0.2527,1.0,1583
824,名詞,540,投球,4,4,0.2527,1.0,1583
825,動詞,196,持ち上げる,4,4,0.2527,1.0,1583
826,名詞,540,持久走,4,4,0.2527,1.0,1583
827,名詞,540,指示,4,4,0.2527,1.0,1583
828,動詞,196,振り払う,4,4,0.2527,1.0,1583
829,動詞,196,擦りむく,4,4,0.2527,1.0,1583
830,名詞,540,支援,4,4,0.2527,1.0,1583
831,名詞,540,攻撃,4,4,0.2527,1.0,1583
832,名詞,540,文化,4,4,0.2527,1.0,1583
833,名詞,540,最中,4,4,0.2527,1.0,1583
834,名詞,540,最寄り駅,4,4,0.2527,1.0,1583
835,名詞,540,柄,4,4,0.2527,1.0,1583
836,動詞,196,浮く,4,4,0.2527,1.0,1583
837,名詞,540,浴室,4,4,0.2527,1.0,1583
838,名詞,540,特別,4,4,0.2527,1.0,1583
839,名詞,540,理科,4,4,0.2527,1.0,1583
840,名詞,540,生活,4,4,0.2527,1.0,1583
841,名詞,540,用水路,4,4,0.2527,1.0,1583
842,名詞,540,病院,4,4,0.2527,1.0,1583
843,名詞,540,監督,4,4,0.2527,1.0,1583
844,名詞,540,眼,4,4,0.2527,1.0,1583
845,名詞,540,空振り,4,4,0.2527,1.0,1583
846,名詞,540,突き,4,4,0.2527,1.0,1583
847,名詞,540,立ち,4,4,0.2527,1.0,1583
848,動詞,196,立てる,4,4,0.2527,1.0,1583
849,名詞,540,競り合い,4,4,0.2527,1.0,1583
850,名詞,540,経路,4,4,0.2527,1.0,1583
851,名詞,540,結露,4,4,0.2527,1.0,1583
852,動詞,196,続く,4,4,0.2527,1.0,1583
853,名詞,540,置き場,4,4,0.2527,1.0,1583
854,名詞,540,胸部,4,4,0.2527,1.0,1583
855,動詞,196,脱ぐ,4,4,0.2527,1.0,1583
856,名詞,540,自由,4,4,0.2527,1.0,1583
857,名詞,540,行事,4,4,0.2527,1.0,1583
858,名詞,540,裂創,4,4,0.2527,1.0,1583
859,名詞,540,裏,4,4,0.2527,1.0,1583
860,動詞,196,覆う,4,4,0.2527,1.0,1583
861,名詞,540,貧血,4,4,0.2527,1.0,1583
862,名詞,540,走り高跳び,4,4,0.2527,1.0,1583
863,名詞,540,距離,4,4,0.2527,1.0,1583
864,動詞,196,躓く,4,4,0.2527,1.0,1583
865,形容詞,10,軽い,4,4,0.2527,1.0,1583
866,動詞,196,追いつく,4,4,0.2527,1.0,1583
867,動詞,196,進む,4,4,0.2527,1.0,1583
868,動詞,196,逸れる,4,4,0.2527,1.0,1583
869,動詞,196,重なる,4,4,0.2527,1.0,1583
870,名詞,540,鉄柱,4,4,0.2527,1.0,1583
871,名詞,540,鉄製,4,4,0.2527,1.0,1583
872,名詞,540,集会,4,4,0.2527,1.0,1583
873,名詞,540,音楽,4,4,0.2527,1.0,1583
874,動詞,196,飛び込む,4,4,0.2527,1.0,1583
875,動詞,196,駆け寄る,4,4,0.2527,1.0,1583
876,名詞,540,駐輪場,4,4,0.2527,1.0,1583
877,動詞,196,驚く,4,4,0.2527,1.0,1583
878,名詞,540,０,4,4,0.2527,1.0,1583
879,名詞,639,ぶらんこ,6,3,0.1895,2.0,1583
880,名詞,639,管,6,3,0.1895,2.0,1583
881,名詞,639,ジャングルジム,5,3,0.1895,1.6667,1583
882,名詞,639,ボード,5,3,0.1895,1.6667,1583
883,名詞,639,先輩,5,3,0.1895,1.6667,1583
884,名詞,639,役,5,3,0.1895,1.6667,1583
885,名詞,639,教諭,5,3,0.1895,1.6667,1583
886,動詞,231,うむ,4,3,0.1895,1.3333,1583
887,名詞,639,クラスメート,4,3,0.1895,1.3333,1583
888,名詞,639,グラブ,4,3,0.1895,1.3333,1583
889,名詞,639,ドア,4,3,0.1895,1.3333,1583
890,名詞,639,パイプ,4,3,0.1895,1.3333,1583
891,名詞,639,マウス,4,3,0.1895,1.3333,1583
892,名詞,639,マスク,4,3,0.1895,1.3333,1583
893,名詞,639,倉庫,4,3,0.1895,1.3333,1583
894,名詞,639,入口,4,3,0.1895,1.3333,1583
895,名詞,639,処理,4,3,0.1895,1.3333,1583
896,名詞,639,剣道,4,3,0.1895,1.3333,1583
897,動詞,231,巻く,4,3,0.1895,1.3333,1583
898,名詞,639,平行棒,4,3,0.1895,1.3333,1583
899,動詞,231,打ち返す,4,3,0.1895,1.3333,1583
900,名詞,639,打順,4,3,0.1895,1.3333,1583
901,動詞,231,押さえる,4,3,0.1895,1.3333,1583
902,動詞,231,揺らす,4,3,0.1895,1.3333,1583
903,名詞,639,正門,4,3,0.1895,1.3333,1583
904,名詞,639,花壇,4,3,0.1895,1.3333,1583
905,名詞,639,路上,4,3,0.1895,1.3333,1583
906,名詞,639,跳箱,4,3,0.1895,1.3333,1583
907,名詞,639,返却,4,3,0.1895,1.3333,1583
908,名詞,639,A,3,3,0.1895,1.0,1583
909,名詞,639,HR,3,3,0.1895,1.0,1583
910,名詞,639,いす,3,3,0.1895,1.0,1583
911,動詞,231,うつぶせる,3,3,0.1895,1.0,1583
912,名詞,639,おでこ,3,3,0.1895,1.0,1583
913,名詞,639,かご,3,3,0.1895,1.0,1583
914,動詞,231,からまる,3,3,0.1895,1.0,1583
915,名詞,639,ごっこ,3,3,0.1895,1.0,1583
916,動詞,231,ずれる,3,3,0.1895,1.0,1583
917,名詞,639,はずみ,3,3,0.1895,1.0,1583
918,名詞,639,ふり,3,3,0.1895,1.0,1583
919,動詞,231,ふる,3,3,0.1895,1.0,1583
920,動詞,231,もつれる,3,3,0.1895,1.0,1583
921,動詞,231,やめる,3,3,0.1895,1.0,1583
922,動詞,231,れっする,3,3,0.1895,1.0,1583
923,名詞,639,ウォーミングアップ,3,3,0.1895,1.0,1583
924,名詞,639,カバン,3,3,0.1895,1.0,1583
925,名詞,639,コンクリートブロック,3,3,0.1895,1.0,1583
926,名詞,639,スマッシュ,3,3,0.1895,1.0,1583
927,名詞,639,スロープ,3,3,0.1895,1.0,1583
928,名詞,639,ターン,3,3,0.1895,1.0,1583
929,名詞,639,ダイビング,3,3,0.1895,1.0,1583
930,名詞,639,ダッシュ,3,3,0.1895,1.0,1583
931,名詞,639,チアリーディング,3,3,0.1895,1.0,1583
932,名詞,639,チェーン,3,3,0.1895,1.0,1583
933,名詞,639,テスト,3,3,0.1895,1.0,1583
934,名詞,639,トラック,3,3,0.1895,1.0,1583
935,名詞,639,バレー,3,3,0.1895,1.0,1583
936,名詞,639,パンチ,3,3,0.1895,1.0,1583
937,名詞,639,ピッチングマシン,3,3,0.1895,1.0,1583
938,名詞,639,ピッチングマシーン,3,3,0.1895,1.0,1583
939,名詞,639,ファウルフライ,3,3,0.1895,1.0,1583
940,名詞,639,ファウルボール,3,3,0.1895,1.0,1583
941,名詞,639,フェイント,3,3,0.1895,1.0,1583
942,名詞,639,フライング,3,3,0.1895,1.0,1583
943,名詞,639,フレーム,3,3,0.1895,1.0,1583
944,名詞,639,ホーム,3,3,0.1895,1.0,1583
945,名詞,639,ボクシング,3,3,0.1895,1.0,1583
946,名詞,639,マシン,3,3,0.1895,1.0,1583
947,名詞,639,マネージャー,3,3,0.1895,1.0,1583
948,名詞,639,マンホール,3,3,0.1895,1.0,1583
949,名詞,639,メートル,3,3,0.1895,1.0,1583
950,名詞,639,リバウンド,3,3,0.1895,1.0,1583
951,名詞,639,レフト,3,3,0.1895,1.0,1583
952,名詞,639,ワン,3,3,0.1895,1.0,1583
953,名詞,639,ヶ所,3,3,0.1895,1.0,1583
954,名詞,639,一瞬,3,3,0.1895,1.0,1583
955,名詞,639,上履き,3,3,0.1895,1.0,1583
956,名詞,639,上部,3,3,0.1895,1.0,1583
957,動詞,231,乗りかかる,3,3,0.1895,1.0,1583
958,動詞,231,乗り出す,3,3,0.1895,1.0,1583
959,名詞,639,乱取り,3,3,0.1895,1.0,1583
960,名詞,639,亀裂,3,3,0.1895,1.0,1583
961,名詞,639,予選,3,3,0.1895,1.0,1583
962,名詞,639,二塁,3,3,0.1895,1.0,1583
963,名詞,639,亜,3,3,0.1895,1.0,1583
964,名詞,639,休み,3,3,0.1895,1.0,1583
965,名詞,639,休業,3,3,0.1895,1.0,1583
966,名詞,639,余り,3,3,0.1895,1.0,1583
967,名詞,639,信号,3,3,0.1895,1.0,1583
968,動詞,231,傷める,3,3,0.1895,1.0,1583
969,名詞,639,児,3,3,0.1895,1.0,1583
970,名詞,639,凍結,3,3,0.1895,1.0,1583
971,名詞,639,切,3,3,0.1895,1.0,1583
972,名詞,639,利用,3,3,0.1895,1.0,1583
973,動詞,231,割れる,3,3,0.1895,1.0,1583
974,名詞,639,卒業,3,3,0.1895,1.0,1583
975,名詞,639,卓球,3,3,0.1895,1.0,1583
976,名詞,639,取り,3,3,0.1895,1.0,1583
977,動詞,231,取れる,3,3,0.1895,1.0,1583
978,動詞,231,受け取る,3,3,0.1895,1.0,1583
979,名詞,639,可能,3,3,0.1895,1.0,1583
980,名詞,639,周囲,3,3,0.1895,1.0,1583
981,動詞,231,呼ぶ,3,3,0.1895,1.0,1583
982,名詞,639,回し,3,3,0.1895,1.0,1583
983,名詞,639,団,3,3,0.1895,1.0,1583
984,名詞,639,園,3,3,0.1895,1.0,1583
985,名詞,639,土台,3,3,0.1895,1.0,1583
986,名詞,639,境目,3,3,0.1895,1.0,1583
987,名詞,639,夏季,3,3,0.1895,1.0,1583
988,名詞,639,外側,3,3,0.1895,1.0,1583
989,名詞,639,大量,3,3,0.1895,1.0,1583
