順位,品詞,基本形,出現回数,出現事例数
1004,名詞,紐,3,3
1005,名詞,縄跳び,3,3
1006,名詞,背,3,3
1007,名詞,脳貧血,3,3
1008,名詞,自主,3,3
1009,名詞,至近,3,3
1010,名詞,落ち,3,3
1011,名詞,製,3,3
1012,名詞,観察,3,3
1013,名詞,誤り,3,3
1014,名詞,課題,3,3
1015,名詞,講習,3,3
1016,名詞,身,3,3
1017,名詞,近距離,3,3
1018,名詞,追突,3,3
1019,名詞,通行,3,3
1020,名詞,速攻,3,3
1021,名詞,遅刻,3,3
1022,名詞,部位,3,3
1023,名詞,鉄板,3,3
1024,名詞,鏡,3,3
1025,名詞,集合,3,3
1026,名詞,高校,3,3
1027,名詞,７,3,3
1028,名詞,～,3,3
1029,形容詞,広い,3,3
1030,名詞,網,6,2
1031,名詞,リコーダー,5,2
1032,名詞,スタンド,4,2
1033,名詞,ランドセル,4,2
1034,名詞,本棚,4,2
1035,名詞,砂,4,2
1036,名詞,配水,4,2
1037,動詞,たたく,3,2
1038,動詞,笑う,3,2
1039,動詞,踏む,3,2
1040,動詞,食いしばる,3,2
1041,名詞,アルミ,3,2
1042,名詞,ストック,3,2
1043,名詞,バッド,3,2
1044,名詞,バトン,3,2
1045,名詞,ピース,3,2
1046,名詞,ベッド,3,2
1047,名詞,ミニ,3,2
1048,名詞,ラクロス,3,2
1049,名詞,上着,3,2
1050,名詞,交代,3,2
1051,名詞,倒立,3,2
1052,名詞,出入口,3,2
1053,名詞,動作,3,2
1054,名詞,周,3,2
1055,名詞,岩,3,2
1056,名詞,捕手,3,2
1057,名詞,朝礼,3,2
1058,名詞,機,3,2
1059,名詞,欄干,3,2
1060,名詞,段ボール,3,2
1061,名詞,氷,3,2
1062,名詞,沿い,3,2
1063,名詞,渡し,3,2
1064,名詞,白線,3,2
1065,名詞,社会,3,2
1066,名詞,箒,3,2
1067,名詞,芝生,3,2
1068,名詞,部屋,3,2
1069,名詞,門,3,2
1070,動詞,あがる,2,2
1071,動詞,うつ,2,2
1072,動詞,おりる,2,2
1073,動詞,かけあう,2,2
1074,動詞,くう,2,2
1075,動詞,くぐる,2,2
1076,動詞,くずす,2,2
1077,動詞,けす,2,2
1078,動詞,ころぶ,2,2
1079,動詞,さしかかる,2,2
1080,動詞,すくう,2,2
1081,動詞,すり抜ける,2,2
1082,動詞,そこなう,2,2
1083,動詞,そらす,2,2
1084,動詞,たまる,2,2
1085,動詞,つかまえる,2,2
1086,動詞,つながる,2,2
1087,動詞,とばす,2,2
1088,動詞,なくなる,2,2
1089,動詞,のける,2,2
1090,動詞,はさまる,2,2
1091,動詞,ひっかける,2,2
1092,動詞,ふさがる,2,2
1093,動詞,ぶら下がる,2,2
1094,動詞,まわる,2,2
1095,動詞,乗せる,2,2
1096,動詞,休む,2,2
1097,動詞,作る,2,2
1098,動詞,促す,2,2
1099,動詞,借りる,2,2
1100,動詞,凍る,2,2
1101,動詞,出せる,2,2
1102,動詞,出過ぎる,2,2
1103,動詞,加わる,2,2
1104,動詞,動かす,2,2
1105,動詞,反れる,2,2
1106,動詞,取りあう,2,2
1107,動詞,取り付ける,2,2
1108,動詞,合わせる,2,2
1109,動詞,向う,2,2
1110,動詞,変える,2,2
1111,動詞,奪い合う,2,2
1112,動詞,差しかかる,2,2
1113,動詞,巻込む,2,2
1114,動詞,引っぱる,2,2
1115,動詞,張り合う,2,2
1116,動詞,感じる,2,2
1117,動詞,抑える,2,2
1118,動詞,投げ捨てる,2,2
1119,動詞,抜かす,2,2
1120,動詞,抱える,2,2
1121,動詞,押し倒す,2,2
1122,動詞,拭く,2,2
1123,動詞,挟む,2,2
1124,動詞,探す,2,2
1125,動詞,攻め込む,2,2
1126,動詞,放り出す,2,2
1127,動詞,敷く,2,2
1128,動詞,横切る,2,2
1129,動詞,歌う,2,2
1130,動詞,気がつく,2,2
1131,動詞,洗う,2,2
1132,動詞,流れる,2,2
1133,動詞,滑り降りる,2,2
1134,動詞,漕ぐ,2,2
1135,動詞,片付ける,2,2
1136,動詞,生じる,2,2
1137,動詞,直す,2,2
1138,動詞,着替える,2,2
1139,動詞,砕ける,2,2
1140,動詞,磨く,2,2
1141,動詞,移る,2,2
1142,動詞,突く,2,2
1143,動詞,競う,2,2
1144,動詞,組み合う,2,2
1145,動詞,脱げる,2,2
1146,動詞,腰掛ける,2,2
1147,動詞,被さる,2,2
1148,動詞,話す,2,2
1149,動詞,読む,2,2
1150,動詞,貼る,2,2
1151,動詞,走り去る,2,2
1152,動詞,起こる,2,2
1153,動詞,足りる,2,2
1154,動詞,迫る,2,2
1155,動詞,追い越す,2,2
1156,動詞,送る,2,2
1157,動詞,通り過ぎる,2,2
1158,動詞,閉める,2,2
1159,動詞,開ける,2,2
1160,動詞,飛びかかる,2,2
1161,動詞,駆け込む,2,2
1162,名詞,(,2,2
1163,名詞,40,2,2
1164,名詞,cm,2,2
1165,名詞,いさかい,2,2
1166,名詞,うつ,2,2
1167,名詞,かたち,2,2
1168,名詞,か月,2,2
1169,名詞,こぎ,2,2
1170,名詞,しっぽ,2,2
1171,名詞,ちょっかい,2,2
1172,名詞,つもり,2,2
1173,名詞,とり,2,2
1174,名詞,びっくり,2,2
1175,名詞,まね,2,2
1176,名詞,アイスホッケー,2,2
1177,名詞,イレギュラーボール,2,2
1178,名詞,オーバー,2,2
1179,名詞,ガード,2,2
1180,名詞,キャンプ,2,2
1181,名詞,クラスメイト,2,2
1182,名詞,クランク,2,2
1183,名詞,クリア,2,2
1184,名詞,コンクール,2,2
1185,名詞,コントロール,2,2
1186,名詞,サボテン,2,2
1187,名詞,サーキット,2,2
1188,名詞,サークル,2,2
1189,名詞,スキップ,2,2
1190,名詞,スタート,2,2
1191,名詞,スペース,2,2
1192,名詞,スポーク,2,2
1193,名詞,スライダー,2,2
1194,名詞,ズボン,2,2
1195,名詞,タッチ,2,2
1196,名詞,テーブル,2,2
1197,名詞,トレ,2,2
1198,名詞,トンボ,2,2
1199,名詞,バス,2,2
1200,名詞,バッグ,2,2
1201,名詞,パニック,2,2
1202,名詞,ピロティ,2,2
1203,名詞,フォロー,2,2
1204,名詞,フットボール,2,2
1205,名詞,フラッグ,2,2
1206,名詞,フロアー,2,2
1207,名詞,プレイルーム,2,2
1208,名詞,プレーヤー,2,2
1209,名詞,ペットボトル,2,2
1210,名詞,ボランティア,2,2
1211,名詞,マラソン,2,2
1212,名詞,ミニゲーム,2,2
1213,名詞,ムカデ,2,2
1214,名詞,ラン,2,2
1215,名詞,ランチ,2,2
1216,名詞,リズム,2,2
1217,名詞,リング,2,2
1218,名詞,ルーム,2,2
1219,名詞,ルール,2,2
1220,名詞,ワイヤー,2,2
1221,名詞,ワックス,2,2
1222,名詞,一番,2,2
1223,名詞,三塁手,2,2
1224,名詞,上り,2,2
1225,名詞,上体,2,2
1226,名詞,上前,2,2
1227,名詞,上靴,2,2
1228,名詞,下山,2,2
1229,名詞,不意,2,2
1230,名詞,不良,2,2
1231,名詞,並列,2,2
1232,名詞,乗用車,2,2
1233,名詞,予行,2,2
1234,名詞,事,2,2
1235,名詞,介助,2,2
1236,名詞,伏せ,2,2
1237,名詞,休養,2,2
1238,名詞,会話,2,2
1239,名詞,体験,2,2
1240,名詞,便座,2,2
1241,名詞,保存,2,2
1242,名詞,入学,2,2
1243,名詞,入浴,2,2
1244,名詞,全体,2,2
1245,名詞,全校,2,2
1246,名詞,出発,2,2
1247,名詞,判断,2,2
1248,名詞,別れ,2,2
1249,名詞,到着,2,2
1250,名詞,制服,2,2
1251,名詞,前側,2,2
1252,名詞,前衛,2,2
1253,名詞,勢,2,2
1254,名詞,医療,2,2
1255,名詞,半身,2,2
1256,名詞,半面,2,2
1257,名詞,危険,2,2
1258,名詞,反射,2,2
1259,名詞,反応,2,2
1260,名詞,反転,2,2
1261,名詞,受け渡し,2,2
1262,名詞,受講,2,2
1263,名詞,口前,2,2
1264,名詞,右折,2,2
1265,名詞,右肩,2,2
1266,名詞,合図,2,2
1267,名詞,同様,2,2
1268,名詞,喧嘩,2,2
1269,名詞,器具,2,2
1270,名詞,回り,2,2
1271,名詞,回収,2,2
1272,名詞,図書,2,2
1273,名詞,土手,2,2
1274,名詞,型,2,2
1275,名詞,塀,2,2
1276,名詞,境界,2,2
1277,名詞,壁面,2,2
1278,名詞,夕食,2,2
1279,名詞,多目的,2,2
1280,名詞,大型,2,2
1281,名詞,子,2,2
1282,名詞,字,2,2
1283,名詞,存在,2,2
1284,名詞,学,2,2
1285,名詞,安定,2,2
1286,名詞,実施,2,2
1287,名詞,実践,2,2
1288,名詞,実験,2,2
1289,名詞,宿舎,2,2
1290,名詞,対応,2,2
1291,名詞,対戦,2,2
1292,名詞,対抗,2,2
1293,名詞,尻,2,2
1294,名詞,屋内,2,2
1295,名詞,左下,2,2
1296,名詞,左右,2,2
1297,名詞,左端,2,2
1298,名詞,差,2,2
1299,名詞,帯,2,2
1300,名詞,帰り道,2,2
1301,名詞,座,2,2
1302,名詞,庭,2,2
1303,名詞,当番,2,2
1304,名詞,役割,2,2
1305,名詞,後日,2,2
1306,名詞,急ぎ足,2,2
1307,名詞,懸垂,2,2
1308,名詞,扇風機,2,2
1309,名詞,手の甲,2,2
1310,名詞,手元,2,2
1311,名詞,手本,2,2
1312,名詞,打ち合い,2,2
1313,名詞,投,2,2
1314,名詞,挟,2,2
1315,名詞,振り付け,2,2
1316,名詞,掛け,2,2
1317,名詞,掲示,2,2
1318,名詞,摩擦,2,2
1319,名詞,攻防,2,2
1320,名詞,施設,2,2
1321,名詞,日常,2,2
1322,名詞,時限,2,2
1323,名詞,暴投,2,2
1324,名詞,服,2,2
1325,名詞,朦朧,2,2
1326,名詞,本校,2,2
1327,名詞,植,2,2
1328,名詞,構内,2,2
1329,名詞,樹木,2,2
1330,名詞,機関,2,2
1331,名詞,止め,2,2
1332,名詞,歩,2,2
1333,名詞,河川敷,2,2
1334,名詞,泥,2,2
1335,名詞,活,2,2
1336,名詞,消しゴム,2,2
1337,名詞,液,2,2
1338,名詞,減速,2,2
1339,名詞,点灯,2,2
1340,名詞,牛乳,2,2
1341,名詞,牽制,2,2
1342,名詞,猫,2,2
1343,名詞,球体,2,2
1344,名詞,生,2,2
1345,名詞,用具,2,2
1346,名詞,畑,2,2
1347,名詞,症状,2,2
1348,名詞,皆,2,2
1349,名詞,目的,2,2
1350,名詞,看板,2,2
1351,名詞,真似,2,2
1352,名詞,着,2,2
1353,名詞,着用,2,2
1354,名詞,矯正,2,2
1355,名詞,稽古,2,2
1356,名詞,空き缶,2,2
1357,名詞,筋,2,2
1358,名詞,籠,2,2
1359,名詞,経過,2,2
1360,名詞,結果,2,2
1361,名詞,職員,2,2
1362,名詞,股間,2,2
1363,名詞,背走,2,2
1364,名詞,脳,2,2
1365,名詞,腹ばい,2,2
1366,名詞,腹筋,2,2
1367,名詞,自ら,2,2
1368,名詞,自陣,2,2
1369,名詞,舗装,2,2
1370,名詞,草地,2,2
1371,名詞,落ち葉,2,2
1372,名詞,行進,2,2
1373,名詞,衣服,2,2
1374,名詞,補助,2,2
1375,名詞,補習,2,2
1376,名詞,裸足,2,2
1377,名詞,記録,2,2
1378,名詞,話し合い,2,2
1379,名詞,路肩,2,2
1380,名詞,軌道,2,2
1381,名詞,軟式,2,2
1382,名詞,農業,2,2
1383,名詞,近隣,2,2
1384,名詞,逃げ,2,2
1385,名詞,通行人,2,2
1386,名詞,進入,2,2
1387,名詞,道幅,2,2
1388,名詞,選択,2,2
1389,名詞,金具,2,2
1390,名詞,針金,2,2
1391,名詞,鍵,2,2
1392,名詞,長距離,2,2
1393,名詞,阻止,2,2
1394,名詞,降雪,2,2
1395,名詞,陰,2,2
1396,名詞,隅,2,2
1397,名詞,音,2,2
1398,名詞,頚部,2,2
1399,名詞,頭上,2,2
1400,名詞,頭痛,2,2
1401,名詞,頭頂,2,2
1402,名詞,頸椎,2,2
1403,名詞,風,2,2
1404,名詞,風呂,2,2
1405,名詞,養護,2,2
1406,名詞,鼻血,2,2
1407,形容詞,にくい,2,2
1408,形容詞,ひどい,2,2
1409,形容詞,やすい,2,2
1410,形容詞,よい,2,2
1411,形容詞,危ない,2,2
1412,形容詞,多い,2,2
1413,形容詞,暑い,2,2
1414,形容詞,暗い,2,2
1415,形容詞,深い,2,2
1416,形容詞,狭い,2,2
1417,形容詞,速い,2,2
1418,形容詞,重い,2,2
1419,名詞,園児,5,1
1420,名詞,丸太,4,1
1421,名詞,綱,4,1
1422,名詞,ゲージ,3,1
1423,名詞,コーン,3,1
1424,名詞,ダンベル,3,1
1425,名詞,帽子,3,1
1426,名詞,杖,3,1
1427,動詞,とおせる,2,1
1428,動詞,どく,2,1
1429,動詞,ぼる,2,1
1430,動詞,付き添う,2,1
1431,動詞,呼び掛ける,2,1
1432,動詞,巻き上げる,2,1
1433,動詞,担ぐ,2,1
1434,動詞,掛かる,2,1
1435,動詞,繋ぐ,2,1
1436,名詞,",",2,1
1437,名詞,000,2,1
1438,名詞,B,2,1
1439,名詞,おんぶ,2,1
1440,名詞,アパート,2,1
1441,名詞,オムツ,2,1
1442,名詞,ガラス,2,1
1443,名詞,ギャラリー,2,1
1444,名詞,コーチ,2,1
1445,名詞,シャフト,2,1
1446,名詞,シャワー,2,1
1447,名詞,スクーター,2,1
1448,名詞,スチロール,2,1
1449,名詞,スノーボード,2,1
1450,名詞,ソフトテニス,2,1
1451,名詞,ドッヂビー,2,1
1452,名詞,ハーモニカ,2,1
1453,名詞,バギー,2,1
1454,名詞,バーベル,2,1
1455,名詞,フラ,2,1
1456,名詞,フープ,2,1
1457,名詞,ボタン,2,1
1458,名詞,マーク,2,1
1459,名詞,モップ,2,1
1460,名詞,ロッカー,2,1
1461,名詞,ローラー,2,1
1462,名詞,下駄,2,1
1463,名詞,主治医,2,1
1464,名詞,円,2,1
1465,名詞,出入り口,2,1
1466,名詞,困難,2,1
1467,名詞,土間,2,1
1468,名詞,太鼓,2,1
1469,名詞,妹,2,1
1470,名詞,平均,2,1
1471,名詞,後尾,2,1
1472,名詞,担当,2,1
1473,名詞,施錠,2,1
1474,名詞,旋盤,2,1
1475,名詞,材,2,1
1476,名詞,機械,2,1
1477,名詞,決勝,2,1
1478,名詞,畳,2,1
1479,名詞,発,2,1
1480,名詞,発砲,2,1
1481,名詞,目隠し,2,1
1482,名詞,箱,2,1
1483,名詞,紙芝居,2,1
1484,名詞,考査,2,1
1485,名詞,胴上げ,2,1
1486,名詞,視線,2,1
1487,名詞,計,2,1
1488,名詞,講師,2,1
1489,名詞,起立,2,1
1490,名詞,跳び箱,2,1
1491,名詞,身長,2,1
1492,名詞,遊動円木,2,1
1493,名詞,鞄,2,1
1494,名詞,駆け足,2,1
1495,動詞,あく,1,1
1496,動詞,あげる,1,1
1497,動詞,あずかる,1,1
1498,動詞,あびる,1,1
1499,動詞,あり,1,1
1500,動詞,いじめる,1,1
1501,動詞,うく,1,1
1502,動詞,うちつける,1,1
1503,動詞,うつぶす,1,1
1504,動詞,うつむく,1,1
1505,動詞,おこす,1,1
1506,動詞,おこなう,1,1
1507,動詞,おさまる,1,1
1508,動詞,おどる,1,1
1509,動詞,かざす,1,1
1510,動詞,かする,1,1
1511,動詞,かばう,1,1
1512,動詞,からかう,1,1
1513,動詞,きく,1,1
1514,動詞,くい込む,1,1
1515,動詞,くぐり抜ける,1,1
1516,動詞,くすぐる,1,1
1517,動詞,くぼむ,1,1
1518,動詞,くらむ,1,1
1519,動詞,くるまれる,1,1
1520,動詞,くれる,1,1
1521,動詞,くわえる,1,1
1522,動詞,けがす,1,1
1523,動詞,こおる,1,1
1524,動詞,ころがす,1,1
1525,動詞,さげる,1,1
1526,動詞,させる,1,1
1527,動詞,しかける,1,1
1528,動詞,しそこなう,1,1
1529,動詞,しゃがみこむ,1,1
1530,動詞,す,1,1
1531,動詞,すりむく,1,1
1532,動詞,ずらす,1,1
1533,動詞,ずり落ちる,1,1
1534,動詞,せり合う,1,1
1535,動詞,たつ,1,1
1536,動詞,たれる,1,1
1537,動詞,だす,1,1
1538,動詞,つかみ合う,1,1
1539,動詞,つきぬける,1,1
1540,動詞,つっかかる,1,1
1541,動詞,つぶれる,1,1
1542,動詞,つむ,1,1
1543,動詞,でっぱる,1,1
1544,動詞,とびでる,1,1
1545,動詞,とりあげる,1,1
1546,動詞,とれる,1,1
1547,動詞,どかす,1,1
1548,動詞,なおす,1,1
1549,動詞,なぐる,1,1
1550,動詞,にる,1,1
1551,動詞,ぬかるむ,1,1
1552,動詞,のしかかる,1,1
1553,動詞,のせる,1,1
1554,動詞,のめり込む,1,1
1555,動詞,のる,1,1
1556,動詞,はかる,1,1
1557,動詞,はさむ,1,1
1558,動詞,はじく,1,1
1559,動詞,はじめる,1,1
1560,動詞,はずれる,1,1
1561,動詞,はねかえる,1,1
1562,動詞,はみ出る,1,1
1563,動詞,ばたつかせる,1,1
1564,動詞,ひく,1,1
1565,動詞,ふう,1,1
1566,動詞,ふさぐ,1,1
1567,動詞,ふりまわす,1,1
1568,動詞,ほどく,1,1
1569,動詞,またぐ,1,1
1570,動詞,みつける,1,1
1571,動詞,むく,1,1
1572,動詞,むける,1,1
1573,動詞,めがける,1,1
1574,動詞,めり込む,1,1
1575,動詞,もみ合う,1,1
1576,動詞,もよおす,1,1
1577,動詞,もらえる,1,1
1578,動詞,ゆする,1,1
1579,動詞,よじ登る,1,1
1580,動詞,下げる,1,1
1581,動詞,乗れる,1,1
1582,動詞,乱れる,1,1
1583,動詞,仕掛ける,1,1
1584,動詞,付ける,1,1
1585,動詞,任せる,1,1
1586,動詞,伏せる,1,1
1587,動詞,会う,1,1
1588,動詞,伝える,1,1
1589,動詞,伴う,1,1
1590,動詞,使える,1,1
1591,動詞,保つ,1,1
1592,動詞,備える,1,1
1593,動詞,傾ける,1,1
1594,動詞,働く,1,1
1595,動詞,入れ直す,1,1
1596,動詞,冷やす,1,1
1597,動詞,凹む,1,1
1598,動詞,出かける,1,1
1599,動詞,出くわす,1,1
1600,動詞,出っ張る,1,1
1601,動詞,分かる,1,1
1602,動詞,切り替える,1,1
1603,動詞,刺す,1,1
1604,動詞,効く,1,1
1605,動詞,動ける,1,1
1606,動詞,収まる,1,1
1607,動詞,取り合う,1,1
1608,動詞,受けとる,1,1
1609,動詞,受取る,1,1
1610,動詞,叩きつける,1,1
1611,動詞,吊る,1,1
1612,動詞,含む,1,1
1613,動詞,含める,1,1
1614,動詞,吹く,1,1
1615,動詞,呼びかける,1,1
1616,動詞,呼び出す,1,1
1617,動詞,噛みしめる,1,1
1618,動詞,垂らす,1,1
1619,動詞,増す,1,1
1620,動詞,定める,1,1
1621,動詞,寄せる,1,1
1622,動詞,寝かせる,1,1
1623,動詞,寝る,1,1
1624,動詞,寝転ぶ,1,1
1625,動詞,差し入れる,1,1
1626,動詞,差し出る,1,1
1627,動詞,差し掛かる,1,1
1628,動詞,差し掛る,1,1
1629,動詞,差す,1,1
1630,動詞,巻きこむ,1,1
1631,動詞,巻き付ける,1,1
1632,動詞,広げる,1,1
1633,動詞,座り込む,1,1
1634,動詞,引き上げる,1,1
1635,動詞,引き渡す,1,1
1636,動詞,引き離す,1,1
1637,動詞,張り出す,1,1
1638,動詞,弾く,1,1
1639,動詞,当てる,1,1
1640,動詞,徹す,1,1
1641,動詞,忘れる,1,1
1642,動詞,応じる,1,1
1643,動詞,悴む,1,1
1644,動詞,慌てる,1,1
1645,動詞,手放す,1,1
1646,動詞,払う,1,1
1647,動詞,投げつける,1,1
1648,動詞,投げ入れる,1,1
1649,動詞,折り畳む,1,1
1650,動詞,折れ曲がる,1,1
1651,動詞,抱え込む,1,1
1652,動詞,抱き合う,1,1
1653,動詞,抱く,1,1
1654,動詞,押し出す,1,1
1655,動詞,持ち上がる,1,1
1656,動詞,振りほどく,1,1
1657,動詞,振るう,1,1
1658,動詞,振れる,1,1
1659,動詞,捕まえる,1,1
1660,動詞,捕まる,1,1
1661,動詞,捻る,1,1
1662,動詞,掃く,1,1
1663,動詞,接す,1,1
1664,動詞,揺れる,1,1
1665,動詞,撃つ,1,1
1666,動詞,撒く,1,1
1667,動詞,擦る,1,1
1668,動詞,攻め寄る,1,1
1669,動詞,放つ,1,1
1670,動詞,放る,1,1
1671,動詞,教える,1,1
1672,動詞,散る,1,1
1673,動詞,整える,1,1
1674,動詞,断る,1,1
1675,動詞,映る,1,1
1676,動詞,暴れる,1,1
1677,動詞,曲げる,1,1
1678,動詞,書く,1,1
1679,動詞,替える,1,1
1680,動詞,替わる,1,1
1681,動詞,歩ける,1,1
1682,動詞,殺る,1,1
1683,動詞,汲む,1,1
1684,動詞,決める,1,1
1685,動詞,流す,1,1
1686,動詞,浮かび上がる,1,1
1687,動詞,浮き上がる,1,1
1688,動詞,浴びせる,1,1
1689,動詞,浴びる,1,1
1690,動詞,消す,1,1
1691,動詞,涼む,1,1
1692,動詞,湿る,1,1
1693,動詞,滑り出す,1,1
1694,動詞,滑り落ちる,1,1
1695,動詞,演じる,1,1
1696,動詞,潜る,1,1
1697,動詞,無くなる,1,1
1698,動詞,片づける,1,1
1699,動詞,申し出る,1,1
1700,動詞,異なる,1,1
1701,動詞,着ける,1,1
1702,動詞,着る,1,1
1703,動詞,示す,1,1
1704,動詞,積もる,1,1
1705,動詞,空く,1,1
1706,動詞,突き上げる,1,1
1707,動詞,突き飛ばす,1,1
1708,動詞,突っこむ,1,1
1709,動詞,窪む,1,1
1710,動詞,立てかける,1,1
1711,動詞,納める,1,1
1712,動詞,終る,1,1
1713,動詞,経る,1,1
1714,動詞,絞める,1,1
1715,動詞,絡みつく,1,1
1716,動詞,継ぐ,1,1
1717,動詞,締める,1,1
1718,動詞,締め付ける,1,1
1719,動詞,聞く,1,1
1720,動詞,聞こえる,1,1
1721,動詞,聴く,1,1
1722,動詞,背負う,1,1
1723,動詞,脅す,1,1
1724,動詞,腰かける,1,1
1725,動詞,至る,1,1
1726,動詞,薄れる,1,1
1727,動詞,行なう,1,1
1728,動詞,見つかる,1,1
1729,動詞,見上げる,1,1
1730,動詞,覚える,1,1
1731,動詞,覚める,1,1
1732,動詞,観る,1,1
1733,動詞,触る,1,1
1734,動詞,言い合う,1,1
1735,動詞,訪れる,1,1
1736,動詞,試す,1,1
1737,動詞,試みる,1,1
1738,動詞,話しかける,1,1
1739,動詞,話し合う,1,1
1740,動詞,贈る,1,1
1741,動詞,走り回る,1,1
1742,動詞,走り抜ける,1,1
1743,動詞,跳び越す,1,1
1744,動詞,踊る,1,1
1745,動詞,踏みはずす,1,1
1746,動詞,踏み出す,1,1
1747,動詞,踏み込む,1,1
1748,動詞,転げ落ちる,1,1
1749,動詞,迎える,1,1
1750,動詞,追い抜く,1,1
1751,動詞,途切れる,1,1
1752,動詞,連れる,1,1
1753,動詞,進み出す,1,1
1754,動詞,運び出す,1,1
1755,動詞,過ごす,1,1
1756,動詞,違う,1,1
1757,動詞,配る,1,1
1758,動詞,錬る,1,1
1759,動詞,鍛える,1,1
1760,動詞,開く,1,1
1761,動詞,間違える,1,1
1762,動詞,防ぐ,1,1
1763,動詞,降ろす,1,1
1764,動詞,隠す,1,1
1765,動詞,集まる,1,1
1766,動詞,面す,1,1
1767,動詞,飛び出る,1,1
1768,動詞,飛び散る,1,1
1769,動詞,飛び越える,1,1
1770,動詞,飛び越す,1,1
1771,動詞,駆け付ける,1,1
1772,動詞,駆け出す,1,1
1773,動詞,鳴る,1,1
1774,名詞,0,1,1
1775,名詞,10,1,1
1776,名詞,119,1,1
1777,名詞,12,1,1
1778,名詞,15,1,1
1779,名詞,20,1,1
1780,名詞,38,1,1
1781,名詞,41,1,1
1782,名詞,50,1,1
1783,名詞,70,1,1
1784,名詞,8,1,1
1785,名詞,80,1,1
1786,名詞,T,1,1
1787,名詞,U,1,1
1788,名詞,あと,1,1
1789,名詞,い,1,1
1790,名詞,うえ,1,1
1791,名詞,えり,1,1
1792,名詞,おもり,1,1
1793,名詞,お腹,1,1
1794,名詞,かかと,1,1
1795,名詞,かくれんぼ,1,1
1796,名詞,かげ,1,1
1797,名詞,かなり,1,1
1798,名詞,かわり,1,1
1799,名詞,がい,1,1
1800,名詞,きっかけ,1,1
1801,名詞,きん,1,1
1802,名詞,くらくら,1,1
1803,名詞,けた,1,1
1804,名詞,こ,1,1
1805,名詞,この間,1,1
1806,名詞,こぼれ,1,1
1807,名詞,こめかみ,1,1
1808,名詞,これ,1,1
1809,名詞,さび,1,1
1810,名詞,しら,1,1
1811,名詞,すぎ,1,1
1812,名詞,すべて,1,1
1813,名詞,そしゃく,1,1
1814,名詞,それぞれ,1,1
1815,名詞,ぞう,1,1
1816,名詞,だめ,1,1
1817,名詞,つま先,1,1
1818,名詞,づくり,1,1
1819,名詞,てい,1,1
1820,名詞,てっぺん,1,1
1821,名詞,でこぼこ,1,1
1822,名詞,とうしろ,1,1
1823,名詞,どおり,1,1
1824,名詞,どれ,1,1
1825,名詞,のど,1,1
1826,名詞,はし,1,1
1827,名詞,はず,1,1
1828,名詞,ひさし,1,1
1829,名詞,ひとり,1,1
1830,名詞,ひな壇,1,1
1831,名詞,びをしていたが,1,1
1832,名詞,びをしていたとき,1,1
1833,名詞,ふき,1,1
1834,名詞,ふた,1,1
1835,名詞,まつり,1,1
1836,名詞,まとも,1,1
1837,名詞,まねごと,1,1
1838,名詞,まわり,1,1
1839,名詞,みぞおち,1,1
1840,名詞,め,1,1
1841,名詞,めまい,1,1
1842,名詞,もうろう,1,1
1843,名詞,ら,1,1
1844,名詞,ろう,1,1
1845,名詞,わきの下,1,1
1846,名詞,わき腹,1,1
1847,名詞,アイススケート,1,1
1848,名詞,アコーディオン,1,1
1849,名詞,アップ,1,1
1850,名詞,イス,1,1
1851,名詞,インコース,1,1
1852,名詞,インタビュー,1,1
1853,名詞,インターハイ,1,1
1854,名詞,ウェイトトレーニング,1,1
1855,名詞,ウォーター,1,1
1856,名詞,ウレタン,1,1
1857,名詞,エッヂ,1,1
1858,名詞,エバーマット,1,1
1859,名詞,エプロン,1,1
1860,名詞,エラー,1,1
1861,名詞,エレベーター,1,1
1862,名詞,オリエンテーリング,1,1
1863,名詞,オート,1,1
1864,名詞,カーテン,1,1
1865,名詞,ガット,1,1
1866,名詞,キックオフ,1,1
1867,名詞,キャチボール,1,1
1868,名詞,キャップ,1,1
1869,名詞,ギア,1,1
1870,名詞,クラウンド,1,1
1871,名詞,クロス,1,1
1872,名詞,クールダウン,1,1
1873,名詞,グレーチング,1,1
1874,名詞,ケガ,1,1
1875,名詞,ケンカ,1,1
1876,名詞,ケース,1,1
1877,名詞,ゲ,1,1
1878,名詞,ゲレンデ,1,1
1879,名詞,コバチ,1,1
1880,名詞,コンビニ,1,1
1881,名詞,コール,1,1
1882,名詞,ゴミ,1,1
1883,名詞,サイン,1,1
1884,名詞,サウナ,1,1
1885,名詞,サッカーゴールネット,1,1
1886,名詞,サブ,1,1
1887,名詞,シートベルト,1,1
1888,名詞,ジャガイモ,1,1
1889,名詞,スイッチ,1,1
1890,名詞,スカート,1,1
1891,名詞,スキーヤー,1,1
1892,名詞,スクールバス,1,1
1893,名詞,スケートリンク,1,1
1894,名詞,スコア,1,1
1895,名詞,スタンツ,1,1
1896,名詞,スナッグゴルフ,1,1
1897,名詞,スニーカー,1,1
1898,名詞,スノーボーダー,1,1
1899,名詞,スパーリング,1,1
1900,名詞,スピードアップ,1,1
1901,名詞,スポーツ,1,1
1902,名詞,スモールスモールヒル,1,1
1903,名詞,スルー,1,1
1904,名詞,スローイング,1,1
1905,名詞,セメント,1,1
1906,名詞,セービング,1,1
1907,名詞,セーフティー,1,1
1908,名詞,タイル,1,1
1909,名詞,タオル,1,1
1910,名詞,タグ,1,1
1911,名詞,タッチフット,1,1
