順位,品詞,基本形,出現回数,出現事例数,事例出現率(%)
746,名詞,とっさ,4,4,0.2527
747,動詞,とぶ,4,4,0.2527
748,動詞,ぬれる,4,4,0.2527
749,名詞,ほお,4,4,0.2527
750,名詞,カット,4,4,0.2527
751,名詞,ゴム,4,4,0.2527
752,名詞,センター,4,4,0.2527
753,名詞,ファール,4,4,0.2527
754,名詞,フリー,4,4,0.2527
755,名詞,フロア,4,4,0.2527
756,名詞,ベンチ,4,4,0.2527
757,名詞,ベースボール,4,4,0.2527
758,名詞,ホームルーム,4,4,0.2527
759,名詞,ミーティング,4,4,0.2527
760,名詞,ルーズボール,4,4,0.2527
761,名詞,一環,4,4,0.2527
762,名詞,上口,4,4,0.2527
763,名詞,上級生,4,4,0.2527
764,名詞,中庭,4,4,0.2527
765,動詞,乗り越える,4,4,0.2527
766,動詞,伸ばす,4,4,0.2527
767,名詞,停止,4,4,0.2527
768,名詞,停車,4,4,0.2527
769,動詞,傾く,4,4,0.2527
770,名詞,入り口,4,4,0.2527
771,動詞,入り込む,4,4,0.2527
772,名詞,全身,4,4,0.2527
773,名詞,公式,4,4,0.2527
774,名詞,列,4,4,0.2527
775,名詞,前かがみ,4,4,0.2527
776,名詞,前日,4,4,0.2527
777,動詞,取り返す,4,4,0.2527
778,動詞,叩く,4,4,0.2527
779,名詞,右側,4,4,0.2527
780,名詞,合唱,4,4,0.2527
781,名詞,向き,4,4,0.2527
782,名詞,固定,4,4,0.2527
783,動詞,変わる,4,4,0.2527
784,動詞,外す,4,4,0.2527
785,名詞,外傷,4,4,0.2527
786,名詞,姿勢,4,4,0.2527
787,名詞,小走り,4,4,0.2527
788,名詞,左折,4,4,0.2527
789,名詞,帰り,4,4,0.2527
790,名詞,年生,4,4,0.2527
791,名詞,扉,4,4,0.2527
792,名詞,手前,4,4,0.2527
793,名詞,投球,4,4,0.2527
794,動詞,持ち上げる,4,4,0.2527
795,名詞,持久走,4,4,0.2527
796,名詞,指示,4,4,0.2527
797,動詞,振り払う,4,4,0.2527
798,動詞,擦りむく,4,4,0.2527
799,名詞,支援,4,4,0.2527
800,名詞,攻撃,4,4,0.2527
801,名詞,文化,4,4,0.2527
802,名詞,最中,4,4,0.2527
803,名詞,最寄り駅,4,4,0.2527
804,名詞,柄,4,4,0.2527
805,動詞,浮く,4,4,0.2527
806,名詞,浴室,4,4,0.2527
807,名詞,特別,4,4,0.2527
808,名詞,理科,4,4,0.2527
809,名詞,生活,4,4,0.2527
810,名詞,用水路,4,4,0.2527
811,名詞,病院,4,4,0.2527
812,名詞,監督,4,4,0.2527
813,名詞,眼,4,4,0.2527
814,名詞,空振り,4,4,0.2527
815,名詞,突き,4,4,0.2527
816,名詞,立ち,4,4,0.2527
817,動詞,立てる,4,4,0.2527
818,名詞,競り合い,4,4,0.2527
819,名詞,経路,4,4,0.2527
820,名詞,結露,4,4,0.2527
821,動詞,続く,4,4,0.2527
822,名詞,置き場,4,4,0.2527
823,名詞,胸部,4,4,0.2527
824,動詞,脱ぐ,4,4,0.2527
825,名詞,自由,4,4,0.2527
826,名詞,行事,4,4,0.2527
827,名詞,裂創,4,4,0.2527
828,名詞,裏,4,4,0.2527
829,動詞,覆う,4,4,0.2527
830,名詞,貧血,4,4,0.2527
831,名詞,走り高跳び,4,4,0.2527
832,名詞,距離,4,4,0.2527
833,動詞,躓く,4,4,0.2527
834,形容詞,軽い,4,4,0.2527
835,動詞,追いつく,4,4,0.2527
836,動詞,進む,4,4,0.2527
837,動詞,逸れる,4,4,0.2527
838,動詞,重なる,4,4,0.2527
839,名詞,鉄柱,4,4,0.2527
840,名詞,鉄製,4,4,0.2527
841,名詞,集会,4,4,0.2527
842,名詞,音楽,4,4,0.2527
843,動詞,飛び込む,4,4,0.2527
844,動詞,駆け寄る,4,4,0.2527
845,名詞,駐輪場,4,4,0.2527
846,動詞,驚く,4,4,0.2527
847,名詞,０,4,4,0.2527
848,名詞,ぶらんこ,6,3,0.1895
849,名詞,管,6,3,0.1895
850,名詞,ジャングルジム,5,3,0.1895
851,名詞,ボード,5,3,0.1895
852,名詞,先輩,5,3,0.1895
853,名詞,役,5,3,0.1895
854,名詞,教諭,5,3,0.1895
855,動詞,うむ,4,3,0.1895
856,名詞,クラスメート,4,3,0.1895
857,名詞,グラブ,4,3,0.1895
858,名詞,ドア,4,3,0.1895
859,名詞,パイプ,4,3,0.1895
860,名詞,マウス,4,3,0.1895
861,名詞,マスク,4,3,0.1895
862,名詞,倉庫,4,3,0.1895
863,名詞,入口,4,3,0.1895
864,名詞,処理,4,3,0.1895
865,名詞,剣道,4,3,0.1895
866,動詞,巻く,4,3,0.1895
867,名詞,平行棒,4,3,0.1895
868,動詞,打ち返す,4,3,0.1895
869,名詞,打順,4,3,0.1895
870,動詞,押さえる,4,3,0.1895
871,動詞,揺らす,4,3,0.1895
872,名詞,正門,4,3,0.1895
873,名詞,花壇,4,3,0.1895
874,名詞,路上,4,3,0.1895
875,名詞,跳箱,4,3,0.1895
876,名詞,返却,4,3,0.1895
877,名詞,A,3,3,0.1895
878,名詞,HR,3,3,0.1895
879,名詞,いす,3,3,0.1895
880,動詞,うつぶせる,3,3,0.1895
881,名詞,おでこ,3,3,0.1895
882,名詞,かご,3,3,0.1895
883,動詞,からまる,3,3,0.1895
884,名詞,ごっこ,3,3,0.1895
885,動詞,ずれる,3,3,0.1895
886,名詞,はずみ,3,3,0.1895
887,名詞,ふり,3,3,0.1895
888,動詞,ふる,3,3,0.1895
889,動詞,もつれる,3,3,0.1895
890,動詞,やめる,3,3,0.1895
891,動詞,れっする,3,3,0.1895
892,名詞,ウォーミングアップ,3,3,0.1895
893,名詞,カバン,3,3,0.1895
894,名詞,コンクリートブロック,3,3,0.1895
895,名詞,スマッシュ,3,3,0.1895
896,名詞,スロープ,3,3,0.1895
897,名詞,ターン,3,3,0.1895
898,名詞,ダイビング,3,3,0.1895
899,名詞,ダッシュ,3,3,0.1895
900,名詞,チアリーディング,3,3,0.1895
901,名詞,チェーン,3,3,0.1895
902,名詞,テスト,3,3,0.1895
903,名詞,トラック,3,3,0.1895
904,名詞,バレー,3,3,0.1895
905,名詞,パンチ,3,3,0.1895
906,名詞,ピッチングマシン,3,3,0.1895
907,名詞,ピッチングマシーン,3,3,0.1895
908,名詞,ファウルフライ,3,3,0.1895
909,名詞,ファウルボール,3,3,0.1895
910,名詞,フェイント,3,3,0.1895
911,名詞,フライング,3,3,0.1895
912,名詞,フレーム,3,3,0.1895
913,名詞,ホーム,3,3,0.1895
914,名詞,ボクシング,3,3,0.1895
915,名詞,マシン,3,3,0.1895
916,名詞,マネージャー,3,3,0.1895
917,名詞,マンホール,3,3,0.1895
918,名詞,メートル,3,3,0.1895
919,名詞,リバウンド,3,3,0.1895
920,名詞,レフト,3,3,0.1895
921,名詞,ワン,3,3,0.1895
922,名詞,ヶ所,3,3,0.1895
923,名詞,一瞬,3,3,0.1895
924,名詞,上履き,3,3,0.1895
925,名詞,上部,3,3,0.1895
926,動詞,乗りかかる,3,3,0.1895
927,動詞,乗り出す,3,3,0.1895
928,名詞,乱取り,3,3,0.1895
929,名詞,亀裂,3,3,0.1895
930,名詞,予選,3,3,0.1895
931,名詞,二塁,3,3,0.1895
932,名詞,亜,3,3,0.1895
933,名詞,休み,3,3,0.1895
934,名詞,休業,3,3,0.1895
935,名詞,余り,3,3,0.1895
936,名詞,信号,3,3,0.1895
937,動詞,傷める,3,3,0.1895
938,名詞,児,3,3,0.1895
939,名詞,凍結,3,3,0.1895
940,名詞,切,3,3,0.1895
941,名詞,利用,3,3,0.1895
942,動詞,割れる,3,3,0.1895
943,名詞,卒業,3,3,0.1895
944,名詞,卓球,3,3,0.1895
945,名詞,取り,3,3,0.1895
946,動詞,取れる,3,3,0.1895
947,動詞,受け取る,3,3,0.1895
948,名詞,可能,3,3,0.1895
949,名詞,周囲,3,3,0.1895
950,動詞,呼ぶ,3,3,0.1895
951,名詞,回し,3,3,0.1895
952,名詞,団,3,3,0.1895
953,名詞,園,3,3,0.1895
954,名詞,土台,3,3,0.1895
955,名詞,境目,3,3,0.1895
956,名詞,夏季,3,3,0.1895
957,名詞,外側,3,3,0.1895
958,名詞,大量,3,3,0.1895
959,名詞,奥歯,3,3,0.1895
960,名詞,女子,3,3,0.1895
961,名詞,宙,3,3,0.1895
962,名詞,室内,3,3,0.1895
963,動詞,履く,3,3,0.1895
964,名詞,左足,3,3,0.1895
965,動詞,巻き込む,3,3,0.1895
966,名詞,幅,3,3,0.1895
967,名詞,年,3,3,0.1895
968,形容詞,広い,3,3,0.1895
969,動詞,引っかける,3,3,0.1895
970,動詞,張る,3,3,0.1895
971,名詞,弾み,3,3,0.1895
972,名詞,往復,3,3,0.1895
973,名詞,後ろ向き,3,3,0.1895
974,名詞,後片付け,3,3,0.1895
975,名詞,後衛,3,3,0.1895
976,名詞,怪我,3,3,0.1895
977,名詞,手足,3,3,0.1895
978,名詞,抜歯,3,3,0.1895
979,名詞,拳,3,3,0.1895
980,動詞,振り上げる,3,3,0.1895
981,名詞,捻挫,3,3,0.1895
982,名詞,接近,3,3,0.1895
983,動詞,掴む,3,3,0.1895
984,動詞,握る,3,3,0.1895
985,名詞,擦過傷,3,3,0.1895
986,名詞,教科,3,3,0.1895
987,名詞,春季,3,3,0.1895
988,名詞,昼,3,3,0.1895
989,名詞,最後,3,3,0.1895
990,名詞,木製,3,3,0.1895
991,名詞,柱,3,3,0.1895
992,名詞,柵,3,3,0.1895
993,名詞,校,3,3,0.1895
994,名詞,校外,3,3,0.1895
995,名詞,根元,3,3,0.1895
996,名詞,棒引き,3,3,0.1895
997,名詞,横断,3,3,0.1895
998,名詞,橋,3,3,0.1895
999,動詞,残る,3,3,0.1895
1000,名詞,母親,3,3,0.1895
1001,名詞,汗,3,3,0.1895
1002,動詞,滑り込む,3,3,0.1895
1003,名詞,片方,3,3,0.1895
1004,名詞,玄関,3,3,0.1895
1005,名詞,現場,3,3,0.1895
1006,名詞,発表,3,3,0.1895
1007,名詞,相撲,3,3,0.1895
1008,名詞,県,3,3,0.1895
1009,名詞,研究,3,3,0.1895
1010,名詞,科,3,3,0.1895
1011,名詞,程度,3,3,0.1895
1012,名詞,空中,3,3,0.1895
1013,動詞,競り合う,3,3,0.1895
1014,名詞,競争,3,3,0.1895
1015,名詞,紐,3,3,0.1895
1016,動詞,組む,3,3,0.1895
1017,動詞,結ぶ,3,3,0.1895
1018,動詞,続ける,3,3,0.1895
1019,名詞,縄跳び,3,3,0.1895
1020,名詞,背,3,3,0.1895
1021,名詞,脳貧血,3,3,0.1895
1022,動詞,腫れる,3,3,0.1895
1023,名詞,自主,3,3,0.1895
1024,名詞,至近,3,3,0.1895
1025,名詞,落ち,3,3,0.1895
1026,動詞,裂ける,3,3,0.1895
1027,名詞,製,3,3,0.1895
1028,名詞,観察,3,3,0.1895
1029,動詞,触れる,3,3,0.1895
1030,動詞,訴える,3,3,0.1895
1031,名詞,誤り,3,3,0.1895
1032,名詞,課題,3,3,0.1895
1033,名詞,講習,3,3,0.1895
1034,名詞,身,3,3,0.1895
1035,動詞,込む,3,3,0.1895
1036,動詞,近寄る,3,3,0.1895
1037,名詞,近距離,3,3,0.1895
1038,名詞,追突,3,3,0.1895
1039,動詞,通りかかる,3,3,0.1895
1040,名詞,通行,3,3,0.1895
1041,名詞,速攻,3,3,0.1895
1042,名詞,遅刻,3,3,0.1895
1043,名詞,部位,3,3,0.1895
1044,名詞,鉄板,3,3,0.1895
1045,名詞,鏡,3,3,0.1895
1046,動詞,集める,3,3,0.1895
1047,名詞,集合,3,3,0.1895
1048,動詞,飛びつく,3,3,0.1895
1049,動詞,駆ける,3,3,0.1895
1050,名詞,高校,3,3,0.1895
1051,名詞,７,3,3,0.1895
1052,名詞,～,3,3,0.1895
1053,名詞,網,6,2,0.1263
1054,名詞,リコーダー,5,2,0.1263
1055,名詞,スタンド,4,2,0.1263
1056,名詞,ランドセル,4,2,0.1263
1057,名詞,本棚,4,2,0.1263
1058,名詞,砂,4,2,0.1263
1059,名詞,配水,4,2,0.1263
1060,動詞,たたく,3,2,0.1263
1061,名詞,アルミ,3,2,0.1263
1062,名詞,ストック,3,2,0.1263
1063,名詞,バッド,3,2,0.1263
1064,名詞,バトン,3,2,0.1263
1065,名詞,ピース,3,2,0.1263
1066,名詞,ベッド,3,2,0.1263
1067,名詞,ミニ,3,2,0.1263
1068,名詞,ラクロス,3,2,0.1263
1069,名詞,上着,3,2,0.1263
1070,名詞,交代,3,2,0.1263
1071,名詞,倒立,3,2,0.1263
1072,名詞,出入口,3,2,0.1263
1073,名詞,動作,3,2,0.1263
1074,名詞,周,3,2,0.1263
1075,名詞,岩,3,2,0.1263
1076,名詞,捕手,3,2,0.1263
1077,名詞,朝礼,3,2,0.1263
1078,名詞,機,3,2,0.1263
1079,名詞,欄干,3,2,0.1263
1080,名詞,段ボール,3,2,0.1263
1081,名詞,氷,3,2,0.1263
1082,名詞,沿い,3,2,0.1263
1083,名詞,渡し,3,2,0.1263
1084,名詞,白線,3,2,0.1263
1085,名詞,社会,3,2,0.1263
1086,動詞,笑う,3,2,0.1263
1087,名詞,箒,3,2,0.1263
1088,名詞,芝生,3,2,0.1263
1089,動詞,踏む,3,2,0.1263
1090,名詞,部屋,3,2,0.1263
1091,名詞,門,3,2,0.1263
1092,動詞,食いしばる,3,2,0.1263
1093,名詞,(,2,2,0.1263
1094,名詞,40,2,2,0.1263
1095,名詞,cm,2,2,0.1263
1096,動詞,あがる,2,2,0.1263
1097,名詞,いさかい,2,2,0.1263
1098,動詞,うつ,2,2,0.1263
1099,名詞,うつ,2,2,0.1263
1100,動詞,おりる,2,2,0.1263
1101,動詞,かけあう,2,2,0.1263
1102,名詞,かたち,2,2,0.1263
1103,名詞,か月,2,2,0.1263
1104,動詞,くう,2,2,0.1263
1105,動詞,くぐる,2,2,0.1263
1106,動詞,くずす,2,2,0.1263
1107,動詞,けす,2,2,0.1263
1108,名詞,こぎ,2,2,0.1263
1109,動詞,ころぶ,2,2,0.1263
1110,動詞,さしかかる,2,2,0.1263
1111,名詞,しっぽ,2,2,0.1263
1112,動詞,すくう,2,2,0.1263
1113,動詞,すり抜ける,2,2,0.1263
1114,動詞,そこなう,2,2,0.1263
1115,動詞,そらす,2,2,0.1263
1116,動詞,たまる,2,2,0.1263
1117,名詞,ちょっかい,2,2,0.1263
1118,動詞,つかまえる,2,2,0.1263
1119,動詞,つながる,2,2,0.1263
1120,名詞,つもり,2,2,0.1263
1121,動詞,とばす,2,2,0.1263
1122,名詞,とり,2,2,0.1263
1123,動詞,なくなる,2,2,0.1263
1124,形容詞,にくい,2,2,0.1263
1125,動詞,のける,2,2,0.1263
1126,動詞,はさまる,2,2,0.1263
1127,動詞,ひっかける,2,2,0.1263
1128,形容詞,ひどい,2,2,0.1263
1129,名詞,びっくり,2,2,0.1263
1130,動詞,ふさがる,2,2,0.1263
1131,動詞,ぶら下がる,2,2,0.1263
1132,名詞,まね,2,2,0.1263
1133,動詞,まわる,2,2,0.1263
1134,形容詞,やすい,2,2,0.1263
1135,形容詞,よい,2,2,0.1263
1136,名詞,アイスホッケー,2,2,0.1263
1137,名詞,イレギュラーボール,2,2,0.1263
1138,名詞,オーバー,2,2,0.1263
1139,名詞,ガード,2,2,0.1263
1140,名詞,キャンプ,2,2,0.1263
1141,名詞,クラスメイト,2,2,0.1263
1142,名詞,クランク,2,2,0.1263
1143,名詞,クリア,2,2,0.1263
1144,名詞,コンクール,2,2,0.1263
1145,名詞,コントロール,2,2,0.1263
1146,名詞,サボテン,2,2,0.1263
1147,名詞,サーキット,2,2,0.1263
1148,名詞,サークル,2,2,0.1263
1149,名詞,スキップ,2,2,0.1263
1150,名詞,スタート,2,2,0.1263
1151,名詞,スペース,2,2,0.1263
1152,名詞,スポーク,2,2,0.1263
1153,名詞,スライダー,2,2,0.1263
1154,名詞,ズボン,2,2,0.1263
1155,名詞,タッチ,2,2,0.1263
1156,名詞,テーブル,2,2,0.1263
1157,名詞,トレ,2,2,0.1263
1158,名詞,トンボ,2,2,0.1263
1159,名詞,バス,2,2,0.1263
1160,名詞,バッグ,2,2,0.1263
1161,名詞,パニック,2,2,0.1263
1162,名詞,ピロティ,2,2,0.1263
1163,名詞,フォロー,2,2,0.1263
1164,名詞,フットボール,2,2,0.1263
1165,名詞,フラッグ,2,2,0.1263
1166,名詞,フロアー,2,2,0.1263
1167,名詞,プレイルーム,2,2,0.1263
1168,名詞,プレーヤー,2,2,0.1263
1169,名詞,ペットボトル,2,2,0.1263
1170,名詞,ボランティア,2,2,0.1263
1171,名詞,マラソン,2,2,0.1263
1172,名詞,ミニゲーム,2,2,0.1263
1173,名詞,ムカデ,2,2,0.1263
1174,名詞,ラン,2,2,0.1263
1175,名詞,ランチ,2,2,0.1263
1176,名詞,リズム,2,2,0.1263
1177,名詞,リング,2,2,0.1263
1178,名詞,ルーム,2,2,0.1263
1179,名詞,ルール,2,2,0.1263
1180,名詞,ワイヤー,2,2,0.1263
1181,名詞,ワックス,2,2,0.1263
1182,名詞,一番,2,2,0.1263
1183,名詞,三塁手,2,2,0.1263
1184,名詞,上り,2,2,0.1263
1185,名詞,上体,2,2,0.1263
1186,名詞,上前,2,2,0.1263
1187,名詞,上靴,2,2,0.1263
1188,名詞,下山,2,2,0.1263
1189,名詞,不意,2,2,0.1263
1190,名詞,不良,2,2,0.1263
1191,名詞,並列,2,2,0.1263
1192,動詞,乗せる,2,2,0.1263
1193,名詞,乗用車,2,2,0.1263
1194,名詞,予行,2,2,0.1263
1195,名詞,事,2,2,0.1263
1196,名詞,介助,2,2,0.1263
1197,名詞,伏せ,2,2,0.1263
1198,動詞,休む,2,2,0.1263
1199,名詞,休養,2,2,0.1263
1200,名詞,会話,2,2,0.1263
1201,名詞,体験,2,2,0.1263
1202,動詞,作る,2,2,0.1263
1203,名詞,便座,2,2,0.1263
1204,動詞,促す,2,2,0.1263
1205,名詞,保存,2,2,0.1263
1206,動詞,借りる,2,2,0.1263
1207,名詞,入学,2,2,0.1263
1208,名詞,入浴,2,2,0.1263
1209,名詞,全体,2,2,0.1263
1210,名詞,全校,2,2,0.1263
1211,動詞,凍る,2,2,0.1263
1212,動詞,出せる,2,2,0.1263
1213,名詞,出発,2,2,0.1263
1214,動詞,出過ぎる,2,2,0.1263
1215,名詞,判断,2,2,0.1263
1216,名詞,別れ,2,2,0.1263
1217,名詞,到着,2,2,0.1263
1218,名詞,制服,2,2,0.1263
1219,名詞,前側,2,2,0.1263
1220,名詞,前衛,2,2,0.1263
1221,動詞,加わる,2,2,0.1263
1222,動詞,動かす,2,2,0.1263
1223,名詞,勢,2,2,0.1263
1224,名詞,医療,2,2,0.1263
1225,名詞,半身,2,2,0.1263
1226,名詞,半面,2,2,0.1263
1227,形容詞,危ない,2,2,0.1263
1228,名詞,危険,2,2,0.1263
1229,動詞,反れる,2,2,0.1263
1230,名詞,反射,2,2,0.1263
1231,名詞,反応,2,2,0.1263
1232,名詞,反転,2,2,0.1263
1233,動詞,取りあう,2,2,0.1263
1234,動詞,取り付ける,2,2,0.1263
1235,名詞,受け渡し,2,2,0.1263
1236,名詞,受講,2,2,0.1263
1237,名詞,口前,2,2,0.1263
1238,名詞,右折,2,2,0.1263
1239,名詞,右肩,2,2,0.1263
1240,動詞,合わせる,2,2,0.1263
1241,名詞,合図,2,2,0.1263
1242,名詞,同様,2,2,0.1263
1243,動詞,向う,2,2,0.1263
1244,名詞,喧嘩,2,2,0.1263
1245,名詞,器具,2,2,0.1263
1246,名詞,回り,2,2,0.1263
1247,名詞,回収,2,2,0.1263
1248,名詞,図書,2,2,0.1263
1249,名詞,土手,2,2,0.1263
1250,名詞,型,2,2,0.1263
1251,名詞,塀,2,2,0.1263
1252,名詞,境界,2,2,0.1263
1253,名詞,壁面,2,2,0.1263
1254,動詞,変える,2,2,0.1263
1255,名詞,夕食,2,2,0.1263
1256,形容詞,多い,2,2,0.1263
1257,名詞,多目的,2,2,0.1263
1258,名詞,大型,2,2,0.1263
1259,動詞,奪い合う,2,2,0.1263
1260,名詞,子,2,2,0.1263
1261,名詞,字,2,2,0.1263
1262,名詞,存在,2,2,0.1263
1263,名詞,学,2,2,0.1263
1264,名詞,安定,2,2,0.1263
1265,名詞,実施,2,2,0.1263
1266,名詞,実践,2,2,0.1263
1267,名詞,実験,2,2,0.1263
1268,名詞,宿舎,2,2,0.1263
1269,名詞,対応,2,2,0.1263
1270,名詞,対戦,2,2,0.1263
1271,名詞,対抗,2,2,0.1263
1272,名詞,尻,2,2,0.1263
1273,名詞,屋内,2,2,0.1263
1274,名詞,左下,2,2,0.1263
1275,名詞,左右,2,2,0.1263
1276,名詞,左端,2,2,0.1263
1277,名詞,差,2,2,0.1263
1278,動詞,差しかかる,2,2,0.1263
1279,動詞,巻込む,2,2,0.1263
1280,名詞,帯,2,2,0.1263
1281,名詞,帰り道,2,2,0.1263
1282,名詞,座,2,2,0.1263
1283,名詞,庭,2,2,0.1263
1284,動詞,引っぱる,2,2,0.1263
1285,動詞,張り合う,2,2,0.1263
1286,名詞,当番,2,2,0.1263
1287,名詞,役割,2,2,0.1263
1288,名詞,後日,2,2,0.1263
1289,名詞,急ぎ足,2,2,0.1263
1290,動詞,感じる,2,2,0.1263
1291,名詞,懸垂,2,2,0.1263
1292,名詞,扇風機,2,2,0.1263
1293,名詞,手の甲,2,2,0.1263
1294,名詞,手元,2,2,0.1263
1295,名詞,手本,2,2,0.1263
1296,名詞,打ち合い,2,2,0.1263
1297,動詞,抑える,2,2,0.1263
1298,名詞,投,2,2,0.1263
1299,動詞,投げ捨てる,2,2,0.1263
1300,動詞,抜かす,2,2,0.1263
1301,動詞,抱える,2,2,0.1263
1302,動詞,押し倒す,2,2,0.1263
1303,動詞,拭く,2,2,0.1263
1304,名詞,挟,2,2,0.1263
1305,動詞,挟む,2,2,0.1263
1306,名詞,振り付け,2,2,0.1263
1307,名詞,掛け,2,2,0.1263
1308,動詞,探す,2,2,0.1263
1309,名詞,掲示,2,2,0.1263
1310,名詞,摩擦,2,2,0.1263
1311,動詞,攻め込む,2,2,0.1263
1312,名詞,攻防,2,2,0.1263
1313,動詞,放り出す,2,2,0.1263
1314,動詞,敷く,2,2,0.1263
1315,名詞,施設,2,2,0.1263
1316,名詞,日常,2,2,0.1263
1317,名詞,時限,2,2,0.1263
1318,形容詞,暑い,2,2,0.1263
1319,形容詞,暗い,2,2,0.1263
1320,名詞,暴投,2,2,0.1263
1321,名詞,服,2,2,0.1263
1322,名詞,朦朧,2,2,0.1263
1323,名詞,本校,2,2,0.1263
1324,名詞,植,2,2,0.1263
1325,名詞,構内,2,2,0.1263
1326,動詞,横切る,2,2,0.1263
1327,名詞,樹木,2,2,0.1263
1328,名詞,機関,2,2,0.1263
1329,動詞,歌う,2,2,0.1263
1330,名詞,止め,2,2,0.1263
1331,名詞,歩,2,2,0.1263
1332,動詞,気がつく,2,2,0.1263
1333,名詞,河川敷,2,2,0.1263
1334,名詞,泥,2,2,0.1263
1335,動詞,洗う,2,2,0.1263
1336,名詞,活,2,2,0.1263
1337,動詞,流れる,2,2,0.1263
1338,名詞,消しゴム,2,2,0.1263
1339,名詞,液,2,2,0.1263
1340,形容詞,深い,2,2,0.1263
1341,名詞,減速,2,2,0.1263
1342,動詞,滑り降りる,2,2,0.1263
1343,動詞,漕ぐ,2,2,0.1263
1344,名詞,点灯,2,2,0.1263
1345,動詞,片付ける,2,2,0.1263
1346,名詞,牛乳,2,2,0.1263
1347,名詞,牽制,2,2,0.1263
1348,形容詞,狭い,2,2,0.1263
1349,名詞,猫,2,2,0.1263
1350,名詞,球体,2,2,0.1263
1351,名詞,生,2,2,0.1263
1352,動詞,生じる,2,2,0.1263
1353,名詞,用具,2,2,0.1263
1354,名詞,畑,2,2,0.1263
1355,名詞,症状,2,2,0.1263
1356,名詞,皆,2,2,0.1263
1357,名詞,目的,2,2,0.1263
1358,動詞,直す,2,2,0.1263
1359,名詞,看板,2,2,0.1263
1360,名詞,真似,2,2,0.1263
1361,名詞,着,2,2,0.1263
1362,動詞,着替える,2,2,0.1263
1363,名詞,着用,2,2,0.1263
1364,名詞,矯正,2,2,0.1263
1365,動詞,砕ける,2,2,0.1263
1366,動詞,磨く,2,2,0.1263
1367,動詞,移る,2,2,0.1263
1368,名詞,稽古,2,2,0.1263
1369,名詞,空き缶,2,2,0.1263
1370,動詞,突く,2,2,0.1263
1371,動詞,競う,2,2,0.1263
1372,名詞,筋,2,2,0.1263
1373,名詞,籠,2,2,0.1263
1374,動詞,組み合う,2,2,0.1263
1375,名詞,経過,2,2,0.1263
1376,名詞,結果,2,2,0.1263
1377,名詞,職員,2,2,0.1263
1378,名詞,股間,2,2,0.1263
1379,名詞,背走,2,2,0.1263
1380,動詞,脱げる,2,2,0.1263
1381,名詞,脳,2,2,0.1263
1382,動詞,腰掛ける,2,2,0.1263
1383,名詞,腹ばい,2,2,0.1263
1384,名詞,腹筋,2,2,0.1263
1385,名詞,自ら,2,2,0.1263
1386,名詞,自陣,2,2,0.1263
1387,名詞,舗装,2,2,0.1263
1388,名詞,草地,2,2,0.1263
1389,名詞,落ち葉,2,2,0.1263
1390,名詞,行進,2,2,0.1263
1391,名詞,衣服,2,2,0.1263
1392,動詞,被さる,2,2,0.1263
1393,名詞,補助,2,2,0.1263
1394,名詞,補習,2,2,0.1263
1395,名詞,裸足,2,2,0.1263
1396,名詞,記録,2,2,0.1263
1397,名詞,話し合い,2,2,0.1263
1398,動詞,話す,2,2,0.1263
1399,動詞,読む,2,2,0.1263
1400,動詞,貼る,2,2,0.1263
1401,動詞,走り去る,2,2,0.1263
1402,動詞,起こる,2,2,0.1263
1403,動詞,足りる,2,2,0.1263
1404,名詞,路肩,2,2,0.1263
1405,名詞,軌道,2,2,0.1263
1406,名詞,軟式,2,2,0.1263
1407,名詞,農業,2,2,0.1263
1408,名詞,近隣,2,2,0.1263
1409,動詞,迫る,2,2,0.1263
1410,動詞,追い越す,2,2,0.1263
1411,動詞,送る,2,2,0.1263
1412,名詞,逃げ,2,2,0.1263
1413,動詞,通り過ぎる,2,2,0.1263
1414,名詞,通行人,2,2,0.1263
1415,形容詞,速い,2,2,0.1263
1416,名詞,進入,2,2,0.1263
1417,名詞,道幅,2,2,0.1263
1418,名詞,選択,2,2,0.1263
1419,形容詞,重い,2,2,0.1263
1420,名詞,金具,2,2,0.1263
1421,名詞,針金,2,2,0.1263
1422,名詞,鍵,2,2,0.1263
1423,名詞,長距離,2,2,0.1263
1424,動詞,閉める,2,2,0.1263
1425,動詞,開ける,2,2,0.1263
1426,名詞,阻止,2,2,0.1263
1427,名詞,降雪,2,2,0.1263
1428,名詞,陰,2,2,0.1263
1429,名詞,隅,2,2,0.1263
1430,名詞,音,2,2,0.1263
1431,名詞,頚部,2,2,0.1263
1432,名詞,頭上,2,2,0.1263
1433,名詞,頭痛,2,2,0.1263
1434,名詞,頭頂,2,2,0.1263
1435,名詞,頸椎,2,2,0.1263
1436,名詞,風,2,2,0.1263
1437,名詞,風呂,2,2,0.1263
1438,動詞,飛びかかる,2,2,0.1263
1439,名詞,養護,2,2,0.1263
1440,動詞,駆け込む,2,2,0.1263
1441,名詞,鼻血,2,2,0.1263
1442,名詞,園児,5,1,0.0632
1443,名詞,丸太,4,1,0.0632
1444,名詞,綱,4,1,0.0632
1445,名詞,ゲージ,3,1,0.0632
1446,名詞,コーン,3,1,0.0632
1447,名詞,ダンベル,3,1,0.0632
1448,名詞,帽子,3,1,0.0632
1449,名詞,杖,3,1,0.0632
1450,名詞,",",2,1,0.0632
1451,名詞,000,2,1,0.0632
1452,名詞,B,2,1,0.0632
1453,名詞,おんぶ,2,1,0.0632
